up,down,timedelta
16,89,1008467
89,84,-381
84,76,-3754
76,84,-365
84,65,-414
65,89,-571
89,74,-314
74,82,-253
82,32,-478
32,70,-665
70,82,-290
82,66,-316
66,78,-222
78,66,-316
66,75,-187
75,74,-307
74,71,-325
71,16,-323
16,13,-2439
16,16,-319
13,66,-1542
66,86,-371
86,70,-349
70,89,-184
89,32,-353
32,67,-187
67,32,-257
32,77,-248
77,67,-169
67,84,-331
84,78,-136
78,66,-263
66,186,-246
186,90,-228
90,68,-311
68,67,-303
67,16,-188
16,91,-494
91,13,-3015
13,190,-2002
190,67,-259
67,78,-266
78,73,-346
16,16,-469
73,91,-1479
91,32,-1076
32,188,-253
188,78,-673
78,8,-677
8,77,-1409
77,79,-277
79,73,-227
73,84,-634
84,65,-270
65,68,-310
68,78,-237
78,85,-259
85,79,-267
79,70,-340
16,16,-230
70,32,-507
32,65,-459
65,73,-228
73,68,-273
68,69,-742
69,77,-632
77,73,-770
73,75,-263
75,73,-350
73,87,-774
16,16,-260
87,91,-460
91,32,-556
32,66,-259
66,66,-215
66,87,-216
87,70,-346
70,80,-197
80,66,-264
66,89,-164
89,70,-406
70,85,-424
85,8,-1126
8,8,-210
8,85,-1076
85,70,-191
70,72,-223
72,74,-309
74,32,-415
32,81,-188
81,74,-243
74,82,-191
82,67,-276
67,84,-291
84,88,-326
88,72,-635
72,84,-305
84,86,-322
86,86,-312
86,74,-289
74,82,-178
82,84,-536
84,89,-179
89,32,-557
32,82,-579
82,70,-277
70,89,-155
89,80,-356
80,32,-337
32,81,-224
81,83,-290
83,89,-261
89,72,-264
72,70,-274
70,68,-332
68,74,-317
74,78,-267
78,32,-397
32,81,-168
81,83,-280
83,89,-203
89,89,-215
89,70,-226
70,68,-307
68,74,-224
74,72,-320
72,66,-256
66,72,-192
72,78,-320
78,67,-297
67,66,-332
66,85,-200
85,84,-230
84,72,-226
72,70,-414
70,80,-232
80,91,-677
91,32,-492
32,189,-425
189,32,-801
32,48,-1364
16,16,-504
48,82,-1194
16,16,-492
82,8,-417
8,82,-484
82,57,-694
16,16,-1268
57,65,-2178
65,73,-360
73,68,-301
68,69,-300
69,80,-197
80,73,-1018
73,75,-220
75,73,-515
73,87,-564
16,16,-244
87,91,-476
91,13,-904
13,90,-846
90,66,-411
66,89,-184
89,70,-240
70,68,-281
68,74,-167
74,80,-332
80,77,-589
77,75,-222
75,74,-237
74,71,-188
71,67,-340
67,66,-838
66,32,-358
32,90,-207
90,66,-430
66,68,-413
68,74,-206
74,75,-261
75,67,-276
67,69,-330
69,16,-240
16,32,-511
32,55,-2133
16,16,-436
55,86,-502
86,67,-254
67,32,-785
32,84,-225
84,84,-276
84,75,-235
75,188,-320
188,74,-431
74,72,-235
72,76,-289
76,74,-283
74,71,-280
71,16,-251
16,32,-471
32,55,-866
16,16,-305
55,90,-460
90,66,-345
66,68,-402
68,74,-211
74,75,-238
75,67,-184
67,69,-305
69,32,-393
32,84,-188
84,83,-360
83,89,-159
89,77,-374
77,75,-250
75,84,-240
84,78,-204
78,66,-286
66,89,-197
89,8,-423
8,66,-520
66,75,-449
75,74,-268
74,71,-149
71,74,-297
74,76,-356
76,32,-354
32,77,-231
77,78,-248
78,70,-251
70,68,-379
68,74,-329
74,68,-196
68,78,-222
78,67,-213
67,81,-387
81,84,-377
84,76,-188
76,32,-322
32,78,-241
78,69,-268
69,8,-687
8,8,-488
8,69,-361
69,32,-117
32,85,-313
85,74,-261
74,86,-196
86,32,-1004
32,219,-531
219,90,-619
90,70,-307
70,88,-303
88,69,-892
69,75,-183
75,67,-203
67,32,-199
32,219,-318
219,83,-296
83,89,-186
89,77,-277
77,75,-241
75,84,-201
84,76,-212
76,78,-512
78,74,-1124
74,32,-392
32,68,-194
68,91,-496
91,32,-387
32,186,-1207
186,69,-1088
69,75,-265
75,73,-288
73,76,-263
76,65,-835
16,16,-413
65,69,-619
69,82,-301
82,65,-443
65,72,-498
72,67,-265
67,83,-559
16,16,-892
83,189,-1383
189,78,-1826
78,79,-314
79,73,-251
73,84,-221
84,85,-196
85,66,-222
66,73,-1059
73,82,-253
82,84,-1276
84,84,-239
84,65,-1069
16,16,-309
65,39,-1434
91,91,-228
79,79,-70
8,8,-59
8,8,-47
8,8,-74
37,37,-68
37,37,-70
37,37,-78
32,32,-59
83,83,-114
78,78,-88
79,79,-83
78,78,-68
79,79,-78
77,77,-82
77,77,-59
79,79,-87
16,67,-74
67,16,-187
32,32,-74
69,69,-99
86,86,-100
73,73,-83
84,84,-79
65,65,-83
69,69,-78
82,82,-111
67,67,-90
16,16,-187
91,91,-162
32,32,-83
66,66,-94
66,66,-67
80,80,-96
89,89,-78
84,84,-84
87,87,-95
66,66,-82
75,75,-90
32,32,-71
74,74,-78
71,71,-91
32,32,-86
89,89,-94
84,84,-79
71,71,-62
69,69,-107
78,78,-75
67,67,-101
74,74,-91
76,76,-92
32,32,-83
74,74,-84
