down,timedelta,up
51,252720,72
50,252728,82
86,252177,78
85,252104,74
78,252136,32
8,251993,70
85,251631,82
16,251654,68
32,251640,74
191,251650,89
16,251736,69
52,252001,72
86,251657,71
85,251496,69
78,251537,67
8,251552,16
85,250504,32
16,250472,90
32,250512,66
191,250704,87
16,250704,89
50,250577,70
8,250648,78
52,250544,67
86,249672,16
222,-7296,51
78,-7520,50
16,-7031,16
16,-6936,86
16,-6722,85
16,-6603,78
16,-6443,8
16,-6067,85
16,-5791,32
16,-5911,191
32,-6199,16
83,-5800,52
80,-5608,16
74,-5608,86
68,-5568,85
74,-5448,78
75,-5544,8
71,-4240,85
84,-4104,32
78,-4121,16
32,-4265,191
77,-4000,50
78,-4080,8
66,-3920,52
78,-3312,16
84,-3272,86
72,-3231,222
78,-2920,78
67,-2264,32
68,-2256,83
32,-2344,80
74,-2176,74
89,-2048,68
186,-2024,74
74,-2048,75
86,-2097,71
32,-2057,84
219,-2137,78
90,-2208,32
78,-2343,77
69,-2232,78
71,-2215,66
32,-2304,78
219,-2248,84
83,-2311,72
89,-2512,78
76,-2472,67
80,-2664,68
84,-2608,32
221,-2775,74
8,-3024,89
186,-3376,186
76,-3152,74
74,-3272,86
71,-3127,32
32,-3199,219
70,-2983,90
89,-2992,78
16,-2968,69
32,-2945,71
191,-2864,32
8,-2919,219
32,-3057,83
48,-3047,89
16,-3024,76
49,-2969,80
49,-2968,84
8,-2856,221
50,-2854,8
189,-2560,186
222,-2905,76
88,-2873,74
8,-3175,71
87,-3552,32
222,-3584,70
57,-3808,89
16,-3888,16
32,-3848,32
90,-3896,191
66,-3831,8
87,-3728,32
89,-3730,16
70,-3856,48
78,-3607,49
67,-3583,49
76,-3640,8
74,-3512,50
71,-3462,189
32,-3288,16
90,-3264,222
70,-3343,88
68,-3016,8
74,-2656,87
85,-2719,222
90,-2376,57
78,-2257,32
32,-2344,90
90,-2240,66
70,-2280,87
89,-2384,89
186,-2376,70
66,-2416,78
68,-2446,67
76,-2721,76
84,-2631,74
72,-2671,71
84,-2664,32
71,-2679,90
32,-2639,70
70,-2672,68
89,-2664,74
70,-2664,85
68,-2608,90
74,-2544,78
72,-2528,32
66,-2616,90
78,-2544,70
89,-2335,89
74,-2553,186
86,-2481,66
67,-2487,68
32,-2400,76
86,-2792,84
82,-2799,72
32,-3768,84
49,-3808,71
49,-3912,32
51,-3976,70
32,-4224,89
78,-4200,70
67,-4256,68
74,-4320,74
71,-4296,72
16,-4198,66
16,-4384,78
32,-4696,89
189,-4607,74
32,-4559,86
70,-4479,67
82,-4344,32
68,-4040,86
74,-4071,82
89,-3016,32
69,-3160,49
72,-3152,49
71,-3055,51
69,-2888,32
67,-2938,78
16,-3000,67
32,-3104,74
84,-3047,16
89,-3144,71
74,-2497,32
85,-2576,189
84,-2576,32
72,-2680,70
84,-2673,82
71,-2600,68
32,-2631,74
70,-2520,89
89,-2544,69
32,-2904,72
191,-2944,71
85,-3057,69
8,-3432,67
8,-3591,16
74,-3543,32
85,-3592,84
32,-3687,89
50,-3705,74
48,-3888,85
48,-3840,84
50,-3848,72
32,-3792,84
68,-3808,71
16,-3800,32
32,-3735,70
191,-3608,89
78,-3256,32
74,-3305,191
188,-3200,85
70,-2832,8
72,-2712,8
32,-2584,74
219,-2672,85
83,-2527,32
89,-2512,50
186,-2679,48
70,-2751,48
68,-2760,50
32,-2735,32
219,-2808,68
66,-2904,16
85,-2911,32
69,-2928,191
72,-2743,78
76,-2662,74
32,-2591,188
76,-2584,70
90,-2633,72
72,-2520,32
32,-2673,219
89,-2800,83
84,-2776,89
89,-2304,186
75,-2216,70
74,-2328,68
71,-2319,32
83,-2424,219
68,-2264,66
32,-2336,85
66,-2344,69
32,-2400,72
66,-2432,76
78,-2416,32
69,-2496,76
71,-2400,90
32,-2400,72
74,-2231,32
85,-2207,89
74,-2194,84
89,-2152,89
68,-2255,75
70,-2112,74
75,-2080,71
85,-2096,83
32,-2168,68
74,-2032,32
85,-2104,66
74,-2048,32
68,-2047,66
72,-2104,78
84,-2008,69
71,-2048,71
32,-2023,32
70,-2064,74
89,-2033,85
66,-2112,74
75,-2008,89
76,-2047,68
32,-2072,70
90,-2119,75
70,-2015,85
89,-2088,32
80,-2096,74
84,-2168,85
75,-2088,74
74,-2096,68
71,-2016,72
32,-2048,84
70,-2071,71
89,-2128,32
84,-2216,70
88,-2233,89
66,-2215,66
75,-2280,75
84,-2176,76
68,-2216,32
69,-2344,90
32,-2223,70
191,-2096,89
16,-2127,80
83,-2152,84
72,-2144,75
74,-2136,74
8,-2376,71
8,-2496,32
74,-2840,70
72,-2791,89
78,-2712,84
89,-2752,88
74,-2655,66
82,-2719,75
32,-2800,84
81,-2832,68
74,-2896,69
89,-2951,32
72,-3033,191
70,-3144,16
68,-3040,83
74,-3088,72
78,-2992,74
32,-2808,8
84,-2711,8
66,-2392,74
89,-2351,72
70,-2576,78
76,-2504,89
80,-2624,74
32,-2807,82
84,-2632,32
8,-2656,81
8,-2537,74
8,-2576,89
32,-2761,72
84,-2712,70
78,-2648,68
74,-2463,74
89,-2592,78
186,-2528,32
70,-2665,84
78,-2760,66
222,-2913,89
219,-3424,70
69,-3423,76
68,-3320,80
76,-3312,32
32,-3328,84
66,-3352,8
32,-4015,8
75,-4079,8
70,-3967,32
80,-3983,84
8,-3975,74
8,-4127,78
80,-4207,89
70,-4247,186
82,-4176,70
74,-4184,78
68,-3912,222
32,-3639,219
89,-3719,69
70,-3776,68
68,-3568,76
74,-3479,32
72,-3584,66
66,-2943,32
69,-2968,75
72,-2792,70
78,-2792,80
67,-2792,8
89,-2824,8
74,-2736,80
8,-2800,70
89,-3335,82
82,-3304,74
84,-3336,68
72,-2840,32
32,-2984,89
191,-2936,70
16,-2992,68
87,-3568,74
222,-3720,72
16,-3696,66
32,-3576,69
78,-3671,72
67,-3912,78
74,-3927,67
71,-3712,89
32,-3744,74
81,-3624,8
83,-3216,89
68,-3208,82
74,-3201,84
89,-3207,72
32,-3153,32
89,-3168,191
84,-3329,16
74,-2711,16
72,-2807,87
78,-2515,222
67,-2303,32
74,-2352,78
71,-2080,67
32,-2103,74
75,-2161,71
83,-2215,32
188,-2248,81
32,-2168,83
70,-2224,68
76,-2168,74
85,-2199,89
74,-2159,32
78,-2167,89
16,-2129,84
32,-2168,74
191,-2079,72
83,-2160,78
89,-2144,67
70,-2224,74
68,-2208,71
74,-2088,32
72,-2184,75
66,-2056,83
87,-2160,188
66,-2185,32
65,-2248,70
66,-2368,76
72,-2263,85
78,-2192,74
82,-2271,78
84,-2223,16
75,-2159,32
222,-2281,191
32,-2569,83
66,-2456,89
75,-2368,70
83,-2448,68
188,-2416,74
32,-2384,72
66,-2378,66
66,-2392,87
