up,timedelta,down
72,-27,84
84,85,72
71,-37,84
32,289,71
74,564,32
68,93,74
78,20,68
67,89,78
84,152,67
88,198,84
72,144,88
74,112,72
68,35,74
78,149,68
32,60,78
74,58,32
85,88,74
16,256,85
84,-51,84
32,19,16
191,1061,32
72,136,191
76,129,72
32,61,76
66,103,32
32,171,66
70,781,32
89,117,70
66,113,89
82,60,66
73,137,82
69,157,73
16,252,69
71,-59,71
191,914,16
16,122,191
70,-69,70
32,128,16
191,21,32
16,-145,191
74,1155,16
85,102,74
74,79,85
82,78,74
67,420,82
68,147,67
74,101,68
72,110,74
78,118,72
67,86,78
16,244,67
74,-56,74
32,60,16
191,108,32
16,141,191
70,-33,70
32,1070,16
191,36,32
16,-146,191
70,1162,16
72,141,70
66,66,72
71,83,66
67,110,71
82,124,67
84,100,82
16,300,84
73,-52,73
191,387,16
16,163,191
68,-64,68
32,114,16
90,995,32
66,183,90
89,92,66
84,110,89
76,10,84
84,111,76
68,216,84
80,166,68
66,228,80
74,108,66
72,84,74
71,140,72
32,161,71
66,91,32
32,161,66
32,5568,32
16,232,32
50,-77,50
76,215,16
70,139,76
67,116,70
32,79,67
81,119,32
83,239,81
68,-56,83
8,795,68
8,79,8
68,571,8
70,-60,68
8,392,70
83,325,8
84,470,83
89,124,84
73,136,89
66,411,73
16,329,66
68,-66,68
50,-41,50
32,80,16
70,584,32
68,141,70
74,136,68
219,195,74
84,133,219
16,458,84
88,-95,88
32,53,16
191,149,32
16,113,191
70,-67,70
32,141,16
69,505,32
67,269,69
84,326,67
77,233,84
71,205,77
32,207,71
82,98,32
83,191,82
80,216,83
90,183,80
32,891,90
81,266,32
66,291,81
82,103,66
67,151,82
89,62,67
66,202,89
68,57,66
69,127,68
78,233,69
32,1068,78
70,17,32
89,39,70
32,146,89
75,26,32
84,104,75
68,163,84
84,449,68
72,13,84
84,-31,72
16,172,84
71,-42,71
32,294,16
191,1144,32
66,81,191
66,113,66
85,124,66
72,110,85
69,90,72
78,119,69
70,98,78
86,-27,70
70,106,86
72,93,70
76,171,72
32,544,76
81,171,32
74,429,81
82,90,74
67,439,82
89,194,67
66,143,89
68,71,66
69,114,68
78,146,69
32,232,78
81,149,32
74,990,81
89,110,74
89,86,89
84,162,89
86,90,84
84,100,86
72,80,84
68,97,72
74,126,68
67,61,74
32,88,67
90,45,32
66,138,90
89,117,66
84,119,89
76,25,84
84,134,76
68,239,84
80,138,68
66,106,80
74,115,66
72,101,74
71,23,72
32,3840,71
84,270,32
83,745,84
89,78,83
77,235,89
75,112,77
84,37,75
78,66,84
66,101,78
88,63,66
70,202,88
89,85,70
80,201,89
32,547,80
189,101,32
32,103,189
83,799,32
67,25,83
8,127,67
86,381,8
84,166,86
77,47,84
71,122,77
32,1537,71
74,349,32
85,114,74
16,264,85
84,-44,84
32,85,16
191,583,32
66,1555,191
75,128,66
70,335,75
72,85,70
74,115,72
86,65,74
32,186,86
83,620,32
86,108,83
78,253,86
84,-41,84
32,90,78
70,27,32
89,19,70
32,59,89
78,5611,32
84,44,78
90,153,84
75,63,90
73,459,75
83,170,73
86,173,83
80,120,86
70,261,80
72,104,70
32,122,72
74,116,32
85,112,74
74,85,85
89,65,74
86,152,89
32,91,86
89,99,32
16,145,89
74,-65,74
32,44,16
191,148,32
90,2397,191
77,149,90
86,121,77
69,443,86
76,265,69
80,188,76
70,288,80
72,134,70
189,275,72
66,360,189
219,167,66
66,316,219
78,91,66
67,99,78
32,298,67
189,121,32
32,114,189
70,1107,32
78,190,70
66,120,78
186,182,66
66,1426,186
16,182,66
86,-52,86
32,98,16
191,534,32
222,194,191
16,-122,222
32,109,16
66,812,32
219,24,66
66,124,219
78,166,66
16,173,78
67,-64,67
32,120,16
191,935,32
16,274,191
48,-78,48
54,102,16
56,995,54
57,506,56
49,193,57
16,312,49
57,-67,57
32,93,16
16,577,32
50,-108,50
83,191,16
72,183,83
70,101,72
78,145,70
82,1354,78
90,310,82
83,1336,90
89,159,83
70,264,89
32,672,70
89,911,32
83,76,89
89,173,83
70,183,89
68,100,70
83,258,68
16,331,83
78,-64,78
50,-78,50
32,115,16
84,250,32
78,52,84
84,78,78
80,60,84
70,180,80
85,153,70
32,201,85
68,66,32
32,408,68
16,966,32
50,-112,50
83,196,16
89,125,83
67,78,89
84,201,67
68,168,84
32,119,68
74,34,32
75,102,74
70,105,75
88,141,70
70,166,88
16,199,70
89,-86,89
50,-66,50
32,154,16
86,123,32
84,140,86
66,80,84
89,132,66
70,77,89
68,97,70
80,87,68
70,67,80
89,155,70
32,109,89
76,50,32
74,138,76
71,90,74
32,2849,71
74,169,32
89,348,74
8,492,89
75,313,8
70,63,75
78,15,70
70,81,78
88,144,70
84,449,88
71,-65,84
8,39,71
84,419,8
70,335,84
89,81,70
32,110,89
74,96,32
75,85,74
83,111,75
188,117,83
32,426,188
84,83,32
66,41,84
89,121,66
84,229,89
72,57,84
74,108,72
68,141,74
78,100,68
74,97,78
219,184,74
66,400,219
78,102,66
67,56,78
32,55,67
84,101,32
74,16,84
68,74,74
72,265,68
84,118,72
16,124,84
71,-57,71
32,77,16
191,72,32
70,1194,191
76,309,70
74,151,76
85,113,74
32,64,85
54,93,32
56,562,54
57,128,56
49,225,57
32,858,49
67,31,32
32,171,67
75,70,32
70,96,75
88,155,70
70,181,88
89,64,70
32,491,89
77,3069,32
78,94,77
67,101,78
74,204,67
89,115,74
77,22,89
75,111,77
84,81,75
78,91,84
90,139,78
84,294,90
76,511,84
32,55,76
190,81,32
69,88,190
89,251,69
72,100,89
69,66,72
78,164,69
70,51,78
72,124,70
84,152,72
78,93,84
66,145,78
16,258,66
75,-48,75
32,84,16
191,750,32
16,186,191
78,-81,78
72,-59,72
32,1756,16
84,617,32
68,231,84
78,81,68
67,1330,78
77,64,67
75,112,77
84,74,75
78,115,84
66,102,78
68,58,66
70,121,68
72,181,70
16,348,72
71,-73,71
32,475,16
66,95,32
72,99,66
71,53,72
32,109,71
16,23211,32
66,-69,66
71,-79,71
85,-48,85
66,-94,66
16,392,16
78,-64,78
32,205,16
83,1544,32
72,81,83
69,105,72
78,319,69
70,87,78
72,64,70
84,84,72
78,62,84
66,69,78
75,104,66
32,172,75
70,60,32
72,65,70
74,861,72
78,76,74
82,215,78
84,154,82
67,216,84
32,413,67
86,750,32
74,103,86
82,87,74
66,63,82
89,103,66
76,124,89
69,79,76
72,137,69
78,90,72
74,101,78
67,98,74
32,123,67
86,133,32
83,219,86
89,216,83
88,100,89
69,188,88
70,104,69
89,102,70
32,2503,89
16,703,32
191,-166,191
16,177,16
50,-77,50
83,454,16
72,161,83
70,117,72
78,117,70
82,2872,78
90,294,82
83,1519,90
89,270,83
70,228,89
32,724,70
16,2225,32
78,-64,78
8,141,16
89,3121,8
83,34,89
89,39,83
70,311,89
68,-36,70
83,937,68
78,374,83
16,806,78
50,-53,50
32,169,16
83,719,32
78,468,83
84,161,78
80,104,84
70,468,80
85,176,70
32,260,85
86,152,32
74,106,86
72,81,74
74,106,72
78,80,74
82,239,78
70,135,82
76,70,70
84,161,76
72,-24,84
32,311,72
191,35,32
16,-109,191
16,1103,16
50,-54,50
86,168,16
84,-58,86
16,299,84
219,-81,219
189,263,16
85,1252,189
69,67,85
75,151,69
16,281,75
69,-48,69
50,-51,50
32,121,16
70,442,32
75,119,70
70,141,75
89,147,70
72,101,89
69,99,72
186,151,69
32,897,186
86,191,32
74,98,86
75,115,74
84,122,75
76,111,84
78,153,76
74,100,78
32,712,74
86,605,32
66,171,86
79,167,66
190,262,79
69,97,190
76,221,69
84,182,76
68,156,84
70,205,68
80,134,70
32,421,80
191,78,32
16,-122,191
70,1365,16
72,62,70
78,99,72
70,61,78
84,151,70
78,50,84
32,54,78
74,54,32
85,159,74
74,84,85
82,71,74
67,162,82
84,25,67
88,112,84
66,61,88
78,88,66
70,51,78
86,-34,70
70,115,86
72,109,70
76,203,72
189,315,76
74,290,189
89,67,74
77,183,89
75,104,77
70,14,75
82,127,70
83,193,82
80,107,83
69,130,80
86,236,69
32,277,86
74,5008,32
85,127,74
74,135,85
82,80,74
67,98,82
89,225,67
66,118,89
68,90,66
69,134,68
16,400,69
78,-62,78
32,125,16
190,1722,32
77,275,190
78,121,77
67,77,78
70,106,67
88,159,70
32,115,88
81,85,32
74,228,81
89,142,74
72,102,89
69,96,72
78,146,69
70,106,78
72,86,70
84,551,72
78,184,84
66,126,78
75,126,66
32,675,75
86,1301,32
66,123,86
79,107,66
190,182,79
69,377,190
76,135,69
84,111,76
68,138,84
70,102,68
80,91,70
