down,up,timedelta
68,66,740115
78,66,739995
16,76,739956
32,84,739528
68,71,739402
74,66,739455
188,82,739328
86,66,739180
70,68,739172
78,16,738808
16,8,738968
32,8,738944
82,66,739171
67,68,739096
89,32,739075
84,80,739098
75,66,739154
74,32,739190
86,75,739166
67,70,739262
16,66,739173
32,72,738210
75,84,738124
192,78,738088
72,70,738083
74,86,738179
16,16,737853
32,13,737060
39,39,737437
77,90,738018
89,66,737877
70,89,737841
80,70,737650
90,71,737676
8,8,737662
70,70,737575
72,86,737519
16,74,737514
37,82,737195
48,74,737167
57,66,737210
16,76,737080
32,70,736947
70,72,736497
82,84,736493
74,75,736334
16,84,736227
32,78,735993
82,37,736162
87,48,736260
84,57,736241
71,16,736280
66,32,736400
75,82,737250
16,74,737737
16,78,736498
32,67,735911
82,74,735913
67,68,735822
72,66,736134
69,76,736206
82,70,736119
16,75,736150
32,68,735448
70,16,735430
86,18,735421
74,16,735363
72,8,735424
78,8,735406
67,8,735436
74,8,735476
82,8,735384
16,76,735623
32,70,735286
70,75,735219
85,68,735381
69,16,735250
75,84,-23549
70,68,-23482
82,16,-23415
16,78,-23454
32,32,-22907
74,68,-22776
66,74,-22837
76,188,-22994
70,86,-22906
72,70,-22788
84,16,-22681
75,78,-22695
84,32,-22187
78,82,-21955
68,67,-21899
66,89,-21983
16,84,-22284
32,75,-22690
186,74,-22747
84,86,-22722
89,67,-22751
74,16,-22976
72,32,-21896
74,75,-21831
68,192,-21937
16,72,-21852
32,74,-21807
72,16,-21995
8,32,-20574
74,39,-20726
66,77,-20534
86,89,-20400
66,70,-20336
76,80,-20252
70,90,-20261
75,8,-20169
68,70,-19284
16,16,-19172
32,72,-19587
82,37,-19270
67,16,-19420
89,48,-19550
90,57,-19518
72,32,-18944
188,70,-18717
16,82,-18642
32,16,-18747
76,74,-18867
74,32,-18494
72,82,-18380
74,87,-18375
85,84,-18301
75,71,-19171
84,66,-19281
188,75,-18912
16,16,-19306
32,16,-18645
74,32,-17894
65,82,-18341
16,67,-18236
32,72,-18362
81,69,-18392
83,16,-18381
89,82,-18433
77,32,-17696
75,70,-17594
70,86,-17545
72,74,-17554
78,72,-17527
89,78,-17528
84,67,-17573
87,74,-18103
16,82,-17954
13,16,-18354
82,32,-22677
72,70,-22792
78,85,-22942
85,69,-22995
68,75,-23249
16,70,-23487
32,16,-23870
83,82,-24067
75,32,-23876
70,74,-23806
66,66,-23687
75,76,-23540
66,70,-24309
65,72,-24378
32,84,-24680
84,75,-24816
8,84,-25039
32,78,-25337
83,68,-25512
89,16,-25378
77,66,-25554
75,32,-24761
70,186,-24636
89,84,-24610
74,89,-24601
66,74,-24578
85,72,-24555
84,74,-24578
72,68,-24574
16,16,-24577
16,32,-24251
16,72,-24514
13,8,-25690
82,74,-26223
72,66,-26156
78,86,-26324
85,66,-26574
68,76,-26937
16,70,-27052
13,75,-27462
39,68,-27817
82,16,-28281
74,32,-27878
78,82,-27783
67,67,-27495
74,89,-27460
68,90,-28146
66,72,-28013
76,188,-27973
70,16,-27992
75,32,-27651
68,76,-27726
16,74,-27667
37,72,-27761
50,74,-27983
50,85,-28006
16,75,-27099
32,84,-27342
82,188,-27410
72,16,-27670
78,32,-26985
85,16,-26933
16,74,-27258
111,65,-27269
39,32,-27987
39,81,-28094
39,83,-28067
39,89,-28128
39,77,-28158
39,75,-28053
39,70,-27951
39,72,-27879
39,78,-28263
50,89,-28533
16,84,-28492
37,87,-28193
37,16,-28361
37,13,-28024
37,16,-23282
37,82,-23243
37,72,-22947
37,78,-22731
37,85,-22507
37,68,-22650
50,32,-22076
16,83,-21942
16,75,-21790
16,70,-21694
16,66,-21600
16,75,-21414
16,66,-20977
49,65,-21223
32,32,-20848
90,84,-21684
66,8,-21479
67,32,-21339
67,83,-21335
74,89,-21369
72,77,-21437
16,75,-21399
32,70,-21645
70,89,-21670
75,74,-21613
70,66,-21713
89,85,-21646
70,84,-21630
82,72,-21547
84,16,-21740
75,13,-19964
84,16,-19255
78,82,-19289
32,72,-19584
90,78,-19580
66,85,-19415
87,68,-19009
90,13,-18548
75,39,-18119
67,82,-18305
89,74,-18410
70,78,-18429
72,67,-18598
78,74,-18651
16,68,-18140
13,66,-18494
39,76,-18798
82,70,-19303
74,75,-19288
78,68,-19183
67,16,-19253
74,37,-19070
68,16,-18929
66,50,-19331
76,50,-19351
70,32,-18852
75,16,-18726
68,82,-18893
16,72,-18671
37,78,-18706
50,85,-18790
50,111,-17943
16,39,-17090
32,39,-16968
82,39,-17263
72,39,-17372
78,39,-17314
85,50,-16607
16,16,-16819
32,37,-16816
78,37,-16750
81,37,-16722
70,37,-16616
67,16,-15918
32,50,-16081
81,49,-15080
83,32,-14967
89,90,-14038
77,66,-14027
75,67,-13958
70,67,-14073
66,74,-14079
87,72,-13929
66,16,-14078
65,32,-13752
74,70,-13701
32,75,-13770
81,70,-13564
83,89,-13605
8,70,-13547
8,82,-13459
8,84,-13407
81,75,-13634
83,84,-13637
89,78,-13633
72,32,-13194
70,90,-13115
78,66,-13032
67,87,-13083
16,90,-12969
13,75,-13205
39,67,-14002
39,89,-14032
39,70,-14461
39,72,-14240
39,16,-14081
39,78,-14077
39,13,-13462
39,39,-13029
39,82,-12428
39,74,-12377
39,78,-12266
39,67,-12222
39,74,-12086
39,68,-11970
39,66,-11963
50,76,-12086
16,70,-12136
37,75,-12335
37,68,-12223
37,16,-12376
37,37,-12085
37,16,-11890
37,50,-11849
37,50,-11687
37,32,-11414
37,16,-11117
37,82,-11006
37,72,-10747
37,78,-11064
50,85,-11087
16,32,-10499
82,78,-10761
74,81,-10713
78,70,-10695
67,67,-10623
74,32,-10634
68,81,-10684
66,83,-11154
76,89,-11300
70,77,-11236
75,75,-11177
68,70,-10904
16,66,-10855
32,87,-10864
82,66,-10910
72,65,-11084
16,74,-11110
39,32,-12166
90,81,-13901
17,83,-14001
90,8,-14246
17,8,-14492
82,8,-16913
72,81,-16987
16,83,-17156
78,89,-19001
85,72,-19041
16,70,-19125
32,78,-19341
78,67,-19510
81,16,-19695
70,13,-19454
67,39,-18277
32,39,-18393
81,39,-17874
83,50,-16926
89,16,-16993
77,37,-16759
75,37,-16736
70,37,-16670
66,16,-15873
87,50,-15946
66,82,-15563
65,74,-15649
74,78,-16360
16,67,-16555
13,74,-16784
39,68,-18484
76,66,-18397
74,76,-18286
82,70,-18253
32,75,-18418
77,68,-18394
78,16,-18481
66,32,-18505
68,16,-18440
70,82,-18525
72,72,-18308
71,39,-17180
16,17,-16172
18,90,-15886
220,17,-15749
16,90,-15824
16,16,-13689
