up,down,timedelta
16,74,962657
16,72,962538
16,71,962442
16,67,961564
16,70,961380
16,72,961021
16,32,960270
16,74,960136
16,82,960025
16,74,959811
16,72,959683
16,66,959136
96,73,959590
103,32,959166
32,8,959823
74,8,959933
75,32,959056
8,74,959318
72,75,959575
74,83,959591
82,188,959551
74,32,959383
32,78,959693
74,89,959616
89,84,959638
88,67,959705
83,188,959752
188,70,959847
74,32,959529
32,69,960014
81,76,960438
66,74,960462
79,85,960367
70,32,960295
186,104,959903
72,104,960208
84,104,960470
76,97,960512
74,32,960144
67,68,959446
32,16,959704
191,32,959247
16,191,959047
8,78,960509
82,89,964230
74,84,964112
78,67,964975
66,188,964712
71,70,964677
70,32,964864
89,70,964903
32,89,965040
81,32,964863
83,70,965103
89,76,965193
77,74,964951
75,86,964734
74,32,964543
85,77,964519
8,67,965653
75,70,966119
74,75,965720
82,66,965581
77,89,965824
75,70,965840
70,72,965385
32,78,965422
189,67,965375
32,74,965954
78,72,967222
89,71,967833
84,67,967360
67,70,966434
188,72,966928
70,32,966849
16,84,966926
67,186,-26544
74,74,-26767
72,78,-26743
71,32,-26801
67,84,-26041
70,72,-26006
72,66,-25877
32,186,-25232
74,75,-25472
82,70,-25663
74,16,-25784
72,32,-25944
66,68,-25104
73,32,-25600
32,68,-25320
8,74,-25281
8,78,-25274
32,8,-25352
74,67,-25697
75,89,-25921
83,70,-25872
188,72,-25777
32,85,-25672
78,66,-25847
89,86,-25767
84,222,-26103
67,32,-26384
188,66,-26216
70,32,-26097
32,68,-25488
69,74,-25440
76,78,-25552
74,67,-25527
85,66,-25528
32,89,-24984
104,74,-24791
104,75,-24793
104,74,-24792
97,82,-24800
32,66,-28152
16,70,-30041
68,32,-33640
32,219,-33032
191,86,-33121
78,82,-32679
89,67,-32512
84,80,-32936
67,69,-33418
188,87,-33519
70,89,-33648
32,69,-34070
70,72,-34024
89,65,-34465
32,32,-34504
70,66,-34552
76,76,-34639
74,84,-34263
86,72,-34041
32,67,-34117
77,16,-34064
67,32,-37456
70,191,-37737
75,191,-37440
66,8,-41568
89,39,-41984
70,39,-42001
72,39,-41560
78,39,-41427
67,39,-42224
74,39,-42217
72,39,-42161
71,39,-42185
67,8,-41567
70,37,-41433
72,37,-41361
32,37,-40704
84,37,-40714
186,37,-40701
74,32,-44103
78,90,-44089
32,67,-44224
84,81,-44319
72,84,-44945
66,66,-44920
186,73,-44954
75,68,-44928
16,70,-44831
70,68,-44919
32,83,-44760
68,80,-44807
32,70,-44913
68,89,-44833
74,32,-45049
78,191,-45033
8,16,-44152
67,66,-43897
89,66,-43721
70,89,-43647
72,84,-43736
85,72,-43648
66,65,-43544
86,74,-43800
222,80,-43648
32,66,-43503
66,73,-43479
32,32,-48167
68,81,-48176
74,74,-48232
78,89,-48207
67,8,-48774
66,70,-52176
89,76,-52239
74,66,-52336
75,74,-52434
74,89,-52417
82,70,-52655
66,72,-48792
70,39,-48887
32,39,-45705
219,39,-45562
86,39,-45281
82,39,-45247
67,39,-45122
80,39,-44564
69,39,-43885
87,39,-43335
89,39,-42981
69,39,-42120
72,39,-42040
65,39,-41489
32,39,-41207
66,39,-41009
76,39,-41384
84,39,-41296
72,72,-41319
67,37,-42354
16,37,-42505
32,37,-38855
191,37,-38528
191,37,-38495
8,39,-36745
39,39,-36384
39,39,-36344
39,37,-36588
39,37,-36405
39,37,-35471
39,37,-35336
39,37,-35248
39,37,-35138
8,37,-34626
37,37,-33730
37,37,-33625
37,37,-34009
37,37,-34009
37,37,-34007
32,37,-30409
90,37,-30336
67,37,-30176
81,70,-31175
84,71,-30583
66,32,-30905
73,66,-30928
68,70,-30710
70,88,-30968
68,69,-31104
83,75,-31368
80,67,-31617
70,32,-31113
89,90,-31120
32,67,-30944
16,77,-31056
191,78,-31255
66,70,-30919
66,88,-32065
89,8,-32097
84,72,-32302
72,84,-32408
65,78,-32407
74,67,-32169
80,68,-32360
66,32,-33640
73,84,-33608
32,79,-28954
81,70,-28841
74,88,-29904
89,32,-29976
8,84,-29269
70,67,-25943
76,68,-26033
66,32,-25823
74,66,-25784
89,75,-25728
70,70,-25537
72,78,-25521
39,67,-22857
39,32,-22776
39,66,-22768
39,82,-22831
39,66,-22984
39,72,-22888
39,65,-22505
72,70,-22561
37,16,-21295
37,8,-21423
37,65,-22072
37,16,-22064
37,32,-22795
39,81,-20215
39,74,-20392
39,89,-20495
37,72,-20464
37,84,-19815
37,68,-19848
37,84,-20591
37,67,-20752
37,32,-21033
70,219,-19952
71,70,-20528
32,82,-20271
66,67,-20426
70,81,-20521
88,74,-20152
69,68,-20608
75,32,-20184
67,68,-19679
32,32,-20408
90,90,-20337
67,86,-20392
77,84,-20408
78,72,-20280
70,68,-20465
88,32,-19472
8,84,-19456
72,186,-19215
84,32,-19480
78,74,-19327
67,78,-19289
68,32,-18983
32,68,-18072
84,16,-18007
79,32,-29664
70,191,-29743
88,90,-28848
32,8,-28759
84,190,-29527
67,70,-29680
68,78,-29520
32,66,-29608
66,82,-29592
75,74,-29927
70,76,-29912
78,89,-29912
67,66,-30647
32,16,-30653
66,32,-30886
82,74,-30822
66,76,-30655
72,32,-31752
65,70,-31497
70,72,-31409
16,70,-31952
8,82,-31656
65,67,-31160
16,70,-31319
32,85,-31297
81,70,-31447
74,76,-31295
89,70,-31247
72,86,-31200
84,16,-31247
68,32,-32640
84,78,-31888
67,74,-32318
32,32,-32463
219,77,-32343
70,89,-31855
82,80,-32143
67,66,-32239
81,186,-32111
74,32,-33624
68,190,-33048
32,69,-33214
68,82,-33112
32,67,-32751
90,81,-33032
86,8,-33015
84,8,-32926
72,81,-33486
68,82,-33263
32,84,-33408
84,86,-33359
186,72,-33553
32,70,-33470
74,32,-35784
78,190,-35751
32,69,-35999
68,82,-35392
16,67,-35904
32,80,-24464
191,69,-24600
90,87,-24617
8,89,-24976
190,70,-24512
70,8,-24383
78,8,-24473
66,89,-25031
82,69,-25519
74,72,-25207
76,65,-25680
89,32,-26016
66,74,-25234
16,68,-25344
32,32,-25201
74,75,-25250
76,84,-25361
32,73,-24335
70,74,-24473
72,68,-24513
70,32,-24193
82,74,-24168
67,89,-24104
70,88,-24224
85,74,-23472
70,72,-23279
76,71,-23377
70,32,-24000
16,74,-23769
86,78,-23928
32,88,-22325
78,32,-22347
74,191,-21751
32,16,-21496
77,86,-21592
89,83,-21491
80,89,-21439
66,68,-21215
186,66,-21393
32,78,-19888
190,82,-20105
69,84,-20040
82,65,-20184
67,65,-19839
81,222,-20007
8,32,-20567
8,74,-20561
81,82,-19968
82,77,-20273
84,75,-19976
86,74,-20201
72,78,-20095
70,67,-19952
32,70,-17727
190,89,-17649
69,32,-17648
82,90,-17729
67,67,-17318
80,75,-17326
69,70,-17479
87,80,-17352
89,70,-17151
70,82,-16663
8,74,-16771
8,32,-16928
89,78,-16790
69,89,-16391
72,84,-16544
65,67,-16136
32,188,-16280
74,70,-16544
68,16,-16616
32,32,-17263
75,191,-17375
84,83,-17424
73,8,-17720
74,8,-17559
68,191,-18208
32,8,-18288
74,32,-18535
89,69,-18440
88,76,-18239
74,74,-18718
72,68,-18640
71,32,-18782
32,81,-18239
74,74,-18336
78,68,-18447
88,8,-18439
32,83,-18705
191,8,-18805
16,84,-19227
86,84,-18879
83,8,-18887
89,71,-19137
68,77,-19767
66,78,-19783
78,66,-19991
82,71,-19769
84,32,-19767
65,66,-19728
65,66,-19712
222,87,-19247
32,82,-19104
74,84,-20048
82,65,-20064
77,89,-20112
75,66,-20417
74,80,-20249
78,84,-20473
67,76,-20424
70,8,-20752
89,8,-20744
32,8,-20609
90,8,-20568
67,8,-20553
75,89,-21777
70,66,-21448
80,80,-21470
70,84,-21716
82,186,-21688
74,32,-22088
32,90,-21895
78,75,-21257
89,76,-21448
84,32,-21474
67,84,-21432
188,186,-20849
70,82,-20783
16,70,-20944
32,78,-19967
191,32,-21824
83,70,-21599
8,32,-21687
8,191,-21737
191,16,-20977
8,81,-21015
32,84,-20855
69,89,-20786
76,80,-21000
74,84,-20743
68,75,-20799
32,74,-20768
81,188,-20502
74,32,-21033
68,219,-20903
8,66,-21200
83,85,-20880
8,69,-21072
84,72,-20712
84,76,-21090
8,32,-21296
71,66,-20832
77,32,-20087
78,39,-21232
66,39,-20984
71,39,-20952
32,39,-20821
66,39,-20703
66,89,-20960
87,37,-20927
82,39,-20871
84,37,-20607
65,37,-20527
89,37,-20265
66,37,-19991
80,37,-19966
84,37,-19616
76,32,-20624
8,66,-20223
8,66,-20216
8,72,-20193
8,84,-20257
8,78,-20567
89,84,-20167
66,80,-20073
80,66,-20672
84,8,-20302
186,84,-21007
32,76,-20543
90,32,-21909
75,191,-21951
76,16,-21616
32,66,-21617
84,66,-21591
186,72,-21631
82,90,-21495
70,75,-21400
78,70,-21855
32,86,-19847
70,32,-20535
32,66,-20224
16,82,-20256
191,66,-20559
81,78,-20256
84,82,-20271
89,70,-20457
80,75,-20368
84,66,-20129
75,65,-20194
74,74,-20152
188,72,-20176
32,71,-19623
219,32,-19743
66,90,-19465
85,75,-19528
69,76,-19376
72,32,-19560
76,70,-19209
32,78,-18992
66,89,-19048
32,84,-19073
39,67,-17823
39,188,-18111
39,70,-18230
39,32,-18535
39,74,-18560
89,68,-18330
37,78,-18496
39,67,-18200
37,84,-17608
37,88,-17664
37,66,-17848
37,75,-17896
37,74,-18009
37,82,-18001
32,32,-17913
66,84,-17951
66,74,-17949
