down,timedelta,up
74,1077150,51
72,1077388,57
74,1077559,49
68,1077660,32
74,1078234,70
85,1078324,78
74,1078426,72
80,1078447,70
84,1078239,86
188,1078186,32
32,1077078,52
74,1077053,50
76,1077071,32
32,1077892,67
69,1077327,32
73,1078937,70
77,1078583,68
75,1078637,78
74,1078611,67
71,1078329,72
16,1078334,70
32,1077259,76
70,1077423,69
89,1077486,67
32,1077394,74
90,1077431,85
66,1078170,32
89,1078204,74
84,1078276,85
76,1078362,74
70,1078155,82
71,1078282,67
70,1078242,89
89,1078282,70
32,1076823,86
78,1076877,72
74,1076851,84
32,1076347,85
69,1075755,16
89,1075453,16
81,1075138,16
74,1075005,16
68,1075321,16
32,1076073,32
190,1076018,84
69,1075911,66
68,1075793,89
74,1075829,70
72,1075731,68
66,1075393,80
86,1075313,70
32,1074652,89
190,1075127,32
69,1074936,84
72,1074802,74
74,1073978,89
78,1074036,77
68,1073587,75
16,1073905,70
8,1073893,66
8,1073975,87
8,1074118,66
74,1073713,65
78,1073752,74
68,1073560,84
32,1072852,89
90,1072100,32
188,1072119,189
84,1072499,32
67,1074142,219
32,1074608,81
68,1074631,84
32,1074247,72
78,1074470,32
84,1074375,81
70,1074255,66
88,1074191,78
190,1074109,84
75,1074767,72
82,1074513,78
68,1074305,16
32,-30660,88
76,-31154,74
74,-31462,72
66,-31620,74
72,-31713,68
84,-31526,74
71,-31428,85
32,-31513,74
81,-31344,80
66,-31109,84
78,-31016,188
84,-29910,32
72,-29827,74
78,-29837,76
16,-29498,32
13,-29161,69
191,-30059,73
81,-30366,77
70,-30432,75
72,-30368,74
82,-30163,71
39,-31007,16
39,-29631,32
37,-29776,70
37,-29901,89
39,-30240,32
39,-30141,90
39,-30035,66
39,-29910,89
39,-29796,84
39,-29703,76
39,-29256,70
39,-29139,71
39,-28775,70
39,-28635,89
39,-27069,32
39,-26807,78
39,-26663,74
39,-25922,32
39,-25834,69
82,-25828,89
16,-25589,81
8,-25687,74
37,-25915,68
37,-25606,32
37,-25600,190
37,-25508,69
37,-25448,68
37,-25301,74
37,-25267,72
37,-24876,66
37,-24690,86
37,-24067,32
37,-23963,190
32,-24902,69
81,-24740,72
66,-23894,74
82,-23955,78
67,-23654,68
76,-23870,16
84,-25528,8
71,-25557,8
81,-29247,8
70,-29210,74
75,-29039,78
82,-28715,68
32,-29712,32
66,-28801,90
32,-29053,188
39,-30062,84
70,-30974,67
76,-31071,32
74,-31085,68
85,-30818,32
32,-30957,78
56,-32117,84
51,-33160,70
57,-33277,88
49,-33631,190
32,-34668,75
84,-34443,82
66,-34245,68
89,-33917,32
84,-33136,76
73,-32765,74
70,-33120,66
75,-32998,72
85,-33275,84
74,-33534,71
67,-33485,32
32,-33661,81
84,-33649,66
74,-33621,78
82,-33547,84
67,-33933,72
89,-33915,78
84,-34173,16
219,-33820,13
89,-33641,191
190,-33532,81
86,-33624,70
16,-33721,72
37,-35370,82
17,-34788,39
17,-35091,39
48,-36156,37
57,-36122,37
16,-35469,39
16,-34315,82
16,-34326,16
16,-33903,8
16,-33559,37
16,-33408,37
16,-33763,37
32,-33881,37
90,-34105,37
66,-34132,37
219,-34278,37
84,-34662,37
88,-34894,37
16,-34995,37
32,-37095,37
70,-35996,32
89,-36520,81
84,-36610,66
89,-36547,82
66,-36564,67
8,-37056,76
8,-35200,84
8,-35312,71
8,-31670,81
8,-34889,70
8,-35001,75
32,-35203,82
70,-33418,32
89,-33389,66
84,-34068,32
8,-32930,39
66,-32614,70
89,-32398,76
84,-32383,74
76,-32475,85
84,-32837,32
74,-31676,56
67,-30672,51
66,-30814,57
72,-30325,49
71,-29227,32
32,-29418,84
70,-29435,66
75,-29464,89
83,-29478,84
188,-29498,73
32,-29620,70
66,-30508,75
66,-30199,85
89,-30097,74
70,-30151,67
86,-29978,32
72,-30081,84
84,-30094,74
85,-30230,82
16,-29853,67
32,-29997,89
82,-30007,84
32,-30195,219
70,-30585,89
76,-30146,190
74,-30060,86
85,-30199,16
32,-28594,37
57,-28574,17
51,-28960,17
57,-27973,16
49,-28216,48
32,-28906,57
84,-29405,32
78,-29235,90
72,-29554,66
70,-29487,219
86,-29130,84
32,-29168,88
189,-29327,16
32,-28329,32
56,-29408,70
51,-29465,89
57,-29438,84
49,-29766,89
32,-32034,66
84,-31557,8
72,-31473,8
188,-31666,8
90,-31805,8
78,-28288,8
89,-28232,8
84,-27836,32
67,-27979,70
32,-28061,89
68,-27163,84
32,-27482,8
191,-26908,66
16,-26845,89
66,-28334,84
66,-28251,76
72,-27741,84
78,-27771,74
67,-27781,67
68,-27905,66
70,-28055,72
16,-28009,71
8,-27788,32
68,-28008,70
16,-28068,75
32,-28121,83
67,-28209,188
190,-28795,32
75,-28142,66
73,-28368,66
89,-28682,89
70,-28640,70
32,-30868,86
89,-32556,72
84,-32705,84
75,-32724,16
68,-33693,85
78,-33433,32
67,-33439,82
84,-33292,32
79,-32142,70
69,-32341,76
67,-32290,74
74,-32311,85
32,-32373,32
75,-32419,57
83,-32081,51
188,-31994,57
32,-32327,49
70,-31781,32
76,-30548,84
74,-30645,78
85,-30278,72
32,-30727,70
56,-30923,86
51,-31146,32
57,-31894,189
49,-30852,32
32,-29968,56
84,-30120,51
78,-30061,57
72,-30318,49
70,-28046,32
86,-27933,84
32,-28108,72
68,-27986,188
8,-27762,90
8,-27764,78
32,-29121,89
68,-29586,84
16,-29429,67
16,-29606,32
18,-29416,68
32,-29160,32
186,-29387,16
16,-29437,191
8,-27644,66
16,-27973,66
186,-27747,72
18,-27748,78
16,-27487,67
8,-27043,68
186,-27149,70
16,-27428,16
8,-27471,8
8,-27491,16
32,-29329,68
191,-29235,32
83,-29413,67
89,-28259,190
81,-28308,75
74,-28030,73
68,-27648,89
32,-27787,70
81,-25746,32
84,-24204,89
79,-24013,84
69,-25582,75
76,-24802,68
69,-24820,78
188,-24860,67
32,-27278,84
90,-27317,79
75,-27104,69
76,-27050,67
32,-27633,74
86,-28658,32
72,-28772,75
70,-29175,83
76,-29216,188
87,-29165,32
70,-29083,70
75,-29180,76
71,-29107,74
32,-29463,85
89,-30439,32
70,-30537,56
76,-30138,51
80,-29567,57
74,-29780,49
8,-29600,32
72,-29111,84
67,-29065,78
32,-28750,72
75,-28671,70
83,-28656,86
188,-28485,32
32,-28618,68
81,-28922,8
84,-29050,8
66,-27597,32
89,-27053,68
70,-27187,16
86,-27073,18
72,-27394,16
84,-27500,32
85,-27386,16
16,-27832,186
32,-28581,8
81,-28572,16
74,-28498,186
82,-28506,16
67,-28882,17
78,-29207,18
67,-29405,8
66,-29352,16
87,-29424,186
70,-29054,8
89,-29080,8
32,-27463,32
83,-27792,191
76,-27704,83
74,-27854,89
85,-27552,81
32,-27874,74
66,-27879,68
78,-27597,32
222,-27616,81
32,-27757,84
68,-27699,79
16,-26039,69
32,-26140,76
191,-29381,69
74,-29411,188
68,-26979,32
78,-26957,90
67,-27045,75
77,-27076,76
75,-26472,32
84,-25119,86
78,-24854,72
70,-24208,70
73,-24163,76
70,-23977,87
75,-23847,70
85,-25124,75
74,-25124,71
67,-24816,32
32,-23366,89
66,-23061,70
32,-23152,76
66,-24790,80
82,-24256,74
71,-25190,8
69,-25064,72
78,-25153,67
67,-25228,32
69,-25275,75
32,-26369,83
70,-26344,188
89,-25949,32
32,-25704,81
66,-25519,84
78,-25555,66
76,-25661,89
66,-25948,70
32,-26283,86
68,-27175,72
74,-26981,84
82,-26830,16
74,-27350,85
72,-26084,32
85,-26027,81
66,-26232,74
72,-26382,82
78,-29032,67
89,-29101,78
74,-28990,67
82,-28976,66
32,-30443,87
219,-31103,70
83,-31323,89
89,-31055,32
76,-30580,83
74,-30561,76
72,-30364,74
70,-30835,85
89,-30649,32
69,-31018,66
76,-31061,78
186,-31068,222
84,-30922,32
86,-30948,68
32,-31800,16
90,-42216,32
70,-38988,191
76,-38846,74
186,-39171,68
69,-39264,78
89,-39276,67
83,-39557,77
68,-39625,75
32,-39664,84
74,-39648,78
89,-39477,70
89,-39492,73
90,-39377,70
74,-39525,75
78,-38044,85
67,-38089,74
74,-38126,67
71,-38150,32
32,-39283,66
191,-39307,32
16,-37216,66
16,-37063,82
16,-35990,71
16,-35779,69
16,-35612,78
16,-35156,67
16,-34940,69
16,-33745,32
16,-33682,70
16,-33520,89
16,-33373,32
16,-33278,66
16,-33137,78
16,-32921,76
16,-32454,66
16,-32026,32
16,-30791,68
16,-30653,74
16,-30526,82
16,-29968,74
16,-29821,72
16,-29648,85
16,-29293,66
16,-29014,72
16,-26054,78
16,-25638,89
16,-25390,74
16,-25235,82
16,-24077,32
69,-25445,219
82,-25216,83
66,-25412,89
78,-25366,76
66,-25353,74
75,-25348,72
74,-24884,70
71,-24740,89
32,-31370,69
190,-31354,76
190,-31279,186
89,-31431,84
73,-32056,86
84,-31534,32
89,-20820,90
68,-21034,70
32,-21260,76
