down,timedelta,up
89,580315,74
16,580226,71
32,580109,67
89,580486,32
66,580433,74
76,580304,71
74,580261,32
68,580343,70
84,580070,72
74,579984,8
68,580098,70
16,580142,66
32,580099,86
81,579280,32
84,579357,82
67,579377,74
82,579364,188
84,579289,69
75,579402,82
70,579421,16
16,579395,8
32,579802,69
89,-4956,89
83,-5180,32
87,-5255,89
66,-5538,66
71,-5432,76
67,-5390,74
16,-5437,68
32,-5226,84
81,-5043,74
66,-5040,68
72,-5189,16
84,-5319,32
75,-4428,81
70,-4541,84
68,-4437,67
16,-4288,82
32,-4331,84
90,-4341,75
66,-4308,70
67,-4440,16
67,-4287,32
74,-4102,89
72,-3843,83
16,-3721,87
32,-3422,66
68,-3463,71
74,-3440,67
82,-3591,16
88,-3452,32
74,-3526,81
32,-3676,66
54,-3617,72
50,-3816,84
52,-3976,75
32,-4168,70
89,-5951,68
66,-6131,16
78,-6014,32
72,-6155,90
70,-6174,66
86,-6240,67
16,-6163,67
32,-6260,74
70,-6322,72
219,-6477,16
74,-6474,32
78,-6558,68
89,-6814,74
70,-6753,82
71,-6867,88
16,-6744,74
32,-6669,32
74,-6641,54
78,-6306,50
72,-6328,52
84,-5965,32
188,-4147,89
75,-4225,66
66,-4270,78
65,-4246,72
16,-4349,70
32,-4335,86
67,-4512,16
84,-4579,32
88,-4747,70
89,-4756,219
70,-4657,74
67,-4661,78
16,-4251,89
32,-4298,70
89,-4255,71
70,-4385,16
86,-4342,32
72,-4501,74
84,-4424,78
219,-4322,72
16,-4260,84
16,-4132,188
16,-3878,75
16,-3668,66
16,-3547,65
16,-3578,16
16,-3634,32
32,-3702,67
74,-3709,84
66,-3513,88
72,-3463,89
70,-3442,70
89,-3418,67
8,-3582,16
72,-3648,32
84,-3646,89
67,-3697,70
72,-3699,86
84,-3474,72
86,-3587,84
16,-3435,16
32,-3671,219
67,-2907,32
74,-2665,74
75,-2633,66
72,-2707,72
70,-2728,70
82,-2766,89
16,-2613,8
32,-2536,72
67,-2515,84
84,-2583,67
85,-2508,72
66,-2556,84
72,-2502,86
76,-2714,16
74,-2614,32
72,-2665,67
16,-2609,74
32,-2558,75
77,-2480,72
75,-2611,70
84,-2519,82
85,-2728,16
8,-2730,32
75,-2908,67
66,-2793,84
86,-2789,85
16,-2724,66
32,-2760,72
70,-2670,76
82,-2641,74
66,-2595,72
67,-2699,16
82,-2708,32
84,-2677,77
86,-2677,75
16,-2903,84
32,-2982,85
48,-3408,8
16,-3194,75
83,-3231,66
76,-3283,86
89,-3475,16
70,-3296,32
86,-3375,70
74,-3326,82
82,-3302,66
57,-4331,67
16,-4390,82
32,-4436,84
86,-4392,86
82,-4599,16
32,-4181,32
48,-3831,16
53,-3891,48
13,-4260,83
48,-4984,76
53,-4820,89
191,-5521,70
50,-6222,86
8,-6162,74
49,-6294,82
52,-5409,16
54,-5753,57
16,-5492,32
51,-5645,86
32,-6139,82
90,-6041,32
8,-5951,48
32,-6139,53
66,-5762,13
76,-5145,48
89,-5289,53
90,-4747,191
75,-4004,50
89,-4094,8
66,-3996,49
65,-4091,52
16,-3810,54
32,-3938,16
89,-3773,51
84,-3372,32
89,-3441,90
74,-3601,8
89,-3460,32
74,-3468,66
8,-3480,76
8,-3381,89
8,-3279,90
8,-3302,75
89,-3408,89
74,-3368,66
89,-3471,65
74,-3661,16
82,-3463,32
16,-3157,89
32,-2952,84
89,-2996,89
66,-2897,74
78,-2838,89
89,-2768,74
84,-2802,8
75,-2864,8
70,-2846,8
68,-2926,8
16,-2720,89
32,-2719,74
52,-2940,89
53,-3269,74
191,-3647,82
49,-4731,16
52,-4641,32
54,-4860,89
16,-4956,66
51,-5509,78
32,-5687,89
90,-5546,84
66,-5426,75
89,-5494,70
70,-5463,68
71,-5598,16
67,-5463,32
66,-5260,52
16,-4773,53
32,-4622,191
90,-3734,49
66,-3774,52
67,-3417,54
72,-3586,16
70,-2766,51
85,-2564,32
8,-2648,90
70,-2832,66
16,-2840,89
32,-2837,70
77,-2855,71
75,-2878,67
84,-2835,66
219,-2983,16
89,-2907,32
70,-2948,90
16,-2816,66
32,-2907,67
67,-2839,72
69,-2950,70
67,-3053,16
84,-3331,85
219,-3397,8
16,-3123,70
8,-3245,32
221,-5739,77
16,-5704,75
18,-6010,84
16,-5928,219
32,-5974,89
82,-6086,70
67,-6280,16
16,-6234,32
32,-6197,67
82,-6109,69
65,-6087,67
16,-5899,84
32,-6264,16
48,-6703,219
50,-6715,8
190,-4556,16
49,-5561,221
52,-5082,18
186,-5713,16
16,-5525,32
18,-5585,16
16,-5636,82
51,-5898,67
16,-6007,32
16,-6094,16
32,-6876,82
81,-6809,65
70,-6148,32
78,-5805,48
66,-5453,50
82,-5136,190
16,-4171,49
32,-4169,52
89,-4122,16
222,-4471,186
73,-4458,18
89,-4768,17
190,-5026,16
16,-4722,51
32,-4529,16
74,-4805,16
70,-4275,32
186,-4281,81
88,-5027,70
16,-5302,78
32,-5461,66
86,-5470,82
82,-5692,16
32,-5657,32
48,-5222,89
53,-4936,222
13,-5176,73
68,-6047,89
74,-6132,16
82,-6229,190
88,-5934,32
74,-5552,74
32,-5480,70
48,-5580,186
50,-4821,88
52,-4973,16
32,-4646,32
70,-4715,86
67,-4622,82
74,-4906,32
76,-5009,48
8,-4977,53
188,-4666,13
89,-3731,68
84,-3495,74
86,-3580,82
16,-3645,88
32,-3724,74
78,-3866,32
70,-4352,48
76,-4374,50
70,-4392,52
73,-4118,32
16,-4106,70
32,-4054,67
67,-3789,74
66,-3879,76
75,-3908,8
74,-3819,188
67,-3669,89
16,-3658,84
32,-3578,86
77,-3701,16
8,-3427,32
32,-3501,78
75,-3147,70
84,-3157,76
85,-3056,70
66,-3297,73
8,-3355,16
8,-3218,32
84,-3333,67
85,-3067,66
8,-3022,75
66,-3569,74
86,-3598,67
16,-3882,16
32,-3882,32
67,-3917,77
84,-3957,8
71,-3814,32
74,-3787,75
75,-3903,84
16,-3804,85
16,-3912,66
32,-3964,8
74,-4080,8
72,-4032,84
76,-4205,85
89,-4275,8
70,-3920,66
219,-3972,16
84,-4187,86
75,-3864,32
70,-3941,67
16,-3808,84
32,-3840,71
90,-3791,74
66,-4235,16
67,-4293,75
72,-3764,32
70,-3587,74
85,-3537,72
16,-3326,76
32,-3202,89
77,-3000,70
75,-3012,219
8,-2871,84
8,-2874,75
75,-2969,70
73,-3365,16
222,-3375,32
66,-3417,90
89,-2894,66
70,-2985,67
76,-2949,72
16,-2974,70
32,-3001,16
70,-3249,85
72,-3197,32
69,-3392,77
85,-3333,75
8,-3336,8
72,-3549,8
84,-3458,75
67,-3219,73
16,-3061,222
32,-2921,66
74,-2840,89
76,-2928,70
72,-3128,76
70,-3223,16
89,-3084,32
72,-3015,70
84,-2953,72
188,-2810,69
16,-2764,85
32,-2748,8
70,-2517,72
82,-2558,84
66,-2518,67
67,-2628,16
82,-2575,32
84,-2729,74
86,-2744,76
16,-2674,72
32,-2936,70
70,-3816,89
82,-3915,72
8,-4041,84
8,-4044,16
82,-4332,188
70,-4272,32
88,-4759,70
74,-4668,82
32,-4654,66
50,-4869,67
50,-4750,82
52,-4697,84
32,-4848,16
70,-5023,86
87,-4575,32
87,-3654,70
84,-3542,82
86,-3538,8
16,-3486,8
32,-3364,82
66,-3371,70
76,-3065,88
16,-2945,74
32,-2964,32
74,-2859,50
72,-2856,50
69,-2885,52
78,-2686,32
72,-2762,70
70,-2746,87
16,-3083,87
32,-3067,84
66,-3225,16
75,-3451,86
75,-3336,32
84,-3250,66
88,-3256,16
66,-3458,76
72,-3496,32
72,-3547,74
84,-3474,72
71,-3532,69
16,-3695,78
32,-3790,72
66,-4484,16
89,-4702,70
89,-4158,32
70,-3943,66
68,-3845,75
74,-3859,75
186,-3951,84
76,-4042,88
16,-3746,66
16,-3571,72
16,-3346,72
16,-3743,84
32,-3647,71
85,-3874,16
89,-3516,32
70,-2943,66
75,-2837,89
16,-2792,89
32,-2865,70
74,-2818,68
82,-2730,74
66,-2713,186
72,-2681,16
89,-2854,76
222,-2459,32
16,-2340,85
32,-2261,89
70,-2061,70
89,-2027,75
84,-2323,16
72,-2231,32
70,-2286,74
16,-2254,82
32,-2207,66
72,-2162,72
84,-2082,89
78,-2095,16
77,-2227,222
75,-2100,32
70,-2106,70
68,-2165,89
16,-2021,84
32,-2044,72
66,-2030,70
89,-2161,16
74,-2130,32
76,-2184,72
66,-2290,84
76,-2320,78
16,-2184,77
32,-2161,75
84,-2277,70
75,-2168,68
84,-2287,16
82,-2208,32
66,-2186,66
86,-2118,89
16,-2056,74
32,-2095,76
90,-1958,66
66,-1876,16
75,-2034,76
70,-1962,32
78,-1897,84
66,-1953,75
16,-1972,84
32,-1938,82
68,-2248,66
74,-2336,86
82,-2427,16
8,-2213,32
84,-2571,90
88,-2590,66
74,-2506,75
32,-2566,70
54,-2751,78
51,-2805,16
52,-3040,66
32,-3529,32
77,-3386,68
89,-3311,74
190,-3483,82
80,-3693,8
87,-3993,84
16,-4006,88
32,-3996,74
89,-4073,32
90,-4098,54
16,-4140,51
32,-4030,52
81,-3625,32
70,-3530,77
87,-3430,89
89,-3294,190
66,-3188,80
86,-2688,87
16,-2944,16
32,-2876,32
66,-2735,89
75,-2630,90
16,-2758,16
32,-2511,32
89,-2376,81
70,-2387,70
78,-2351,87
89,-2371,89
66,-2395,66
75,-2477,86
16,-2529,16
32,-2244,32
74,-2231,66
188,-2263,16
16,-2331,75
32,-2204,32
74,-2127,89
85,-2123,70
74,-2242,78
70,-2174,89
73,-2105,66
16,-2170,16
32,-2334,75
77,-2304,32
89,-2373,74
222,-2477,16
88,-2720,188
16,-2857,32
32,-2966,74
77,-3075,85
89,-3176,74
222,-3341,70
68,-3465,16
8,-3641,73
89,-3682,32
222,-3892,77
80,-3922,89
87,-4324,222
16,-4230,88
32,-4429,16
66,-4119,32
75,-4066,77
16,-3767,89
32,-3638,222
72,-3699,68
89,-3769,8
82,-3553,89
16,-3220,222
32,-3090,80
48,-2710,16
16,-3024,87
83,-2951,32
76,-2640,66
89,-2738,16
70,-2770,75
86,-2732,32
74,-2732,16
82,-2654,72
57,-3023,89
32,-3039,82
16,-2741,32
16,-2814,16
86,-2999,48
82,-2755,83
32,-2785,76
48,-2747,89
50,-3393,70
13,-5573,86
50,-5905,74
51,-6064,82
191,-5971,16
48,-6251,57
50,-6211,32
54,-6294,16
16,-6275,86
49,-6312,82
32,-6371,32
70,-6264,48
82,-5749,50
