down,timedelta,up
56,788156,32
16,788352,84
16,788495,78
16,789037,89
16,789285,66
16,789468,72
16,789692,71
16,789763,67
16,790386,32
16,790496,68
16,790895,32
16,791062,89
16,791333,66
16,791389,79
16,792331,89
16,792467,84
16,792633,186
16,793817,32
16,793935,66
16,795375,32
16,795438,89
16,795717,66
16,795812,88
16,796555,186
16,796698,69
16,797826,86
16,797984,32
16,798405,8
16,798590,8
16,799813,32
16,800060,86
16,800140,69
16,801219,32
16,801314,53
16,803416,32
16,803535,74
16,803589,71
16,804421,32
16,805517,191
16,805812,16
16,805982,8
16,808106,32
16,808241,81
16,808616,84
16,809135,75
16,809221,70
16,809866,76
16,810027,84
16,810442,86
16,811266,32
16,810965,68
50,811038,74
187,808565,78
16,808661,82
8,808613,84
32,806893,75
54,807533,71
56,805261,86
16,805549,74
16,805668,82
16,807202,32
16,807345,49
16,807456,49
16,808657,32
16,808847,74
16,808990,89
16,809069,70
16,809476,72
16,809651,85
16,809842,83
16,810048,80
16,810711,70
16,810870,72
16,812542,32
16,812701,74
16,812740,75
16,812923,83
16,813491,188
16,813873,16
16,815024,191
16,816399,70
16,816566,76
16,817318,74
16,817428,85
16,819194,32
16,819955,51
16,820042,49
16,820513,48
16,821055,50
16,822022,32
16,822678,90
16,823397,75
16,823668,70
16,823842,72
16,824793,68
16,825161,84
16,825440,65
16,826575,32
16,826974,55
16,827165,49
16,828524,32
16,829131,84
16,829466,77
16,829694,89
16,827489,84
16,827912,67
16,828422,84
16,828589,72
16,828748,82
16,829275,67
16,829474,74
16,829601,68
16,831120,32
16,831239,74
16,831358,71
16,833276,32
16,833380,90
16,833699,75
16,833834,70
16,834377,72
16,834640,68
16,835095,84
16,835191,65
16,836806,32
16,836853,54
16,837467,32
16,837506,83
16,837705,76
16,839040,84
16,839951,72
16,840094,67
16,841062,32
16,841148,74
16,841267,67
16,843194,32
16,844177,74
16,844232,78
16,844567,67
16,844799,84
16,846677,86
16,847053,16
16,847916,189
16,850018,84
16,850146,68
16,850266,74
16,851040,89
16,851014,16
16,851015,16
16,851015,16
16,851014,16
16,851015,16
16,851482,16
16,852568,32
16,854960,84
16,855110,76
16,855790,74
16,855861,72
16,856403,74
16,856435,85
16,857642,32
16,857777,86
16,857920,74
16,858047,82
16,858535,67
16,858701,73
16,859516,84
16,859691,88
16,860522,32
16,860570,68
16,862241,32
16,862559,75
16,862726,84
16,862869,73
16,864004,74
16,864171,72
16,864266,71
16,865433,32
16,865696,69
16,866597,89
16,866934,74
16,866990,75
16,868756,78
16,868899,70
16,868903,66
50,868895,188
18,868535,32
16,868967,74
32,867783,71
191,868367,32
16,868335,70
18,867838,72
16,868031,66
8,867879,86
191,869728,32
16,869703,78
8,869135,70
191,868456,89
18,868070,74
16,869207,66
8,868839,71
191,868112,86
8,867552,84
32,866454,88
70,868104,32
78,868264,81
84,868263,18
65,868086,16
70,867888,8
78,868583,81
67,869047,189
222,870023,56
32,868510,52
90,-34817,16
70,-34913,56
89,-33009,50
89,-30585,16
70,-30785,187
73,-30696,8
84,-29633,54
86,-29753,32
67,-27937,16
16,-28129,56
32,-24993,16
39,-22113,50
18,-22905,16
16,-22912,17
48,-23385,18
51,-22193,32
186,-22729,16
16,-22945,191
8,-22433,18
186,-23753,16
16,-23865,8
18,-23201,16
8,-23401,191
186,-23457,8
8,-22993,191
186,-23520,17
16,-23712,18
48,-24393,16
50,-23914,8
37,-24129,191
48,-25040,8
57,-23873,32
16,-23722,70
16,-23666,78
16,-22820,84
16,-22644,65
16,-22520,70
48,-25466,78
51,-25233,67
18,-26393,222
16,-24592,32
186,-24888,90
16,-24920,70
16,-24873,89
18,-24728,89
55,-25272,70
49,-25200,73
32,-25793,84
90,-26082,86
75,-25553,16
70,-26041,67
72,-24633,32
68,-24921,39
84,-23065,18
65,-23745,16
32,-24177,48
55,-24185,51
13,-24353,16
70,-25729,186
89,-25977,8
66,-25001,186
75,-24731,17
71,-25371,18
66,-25721,16
87,-25553,8
67,-25209,186
66,-24873,8
76,-24785,16
16,-24977,186
32,-26817,48
90,-26824,50
86,-25873,37
84,-24697,16
72,-24800,48
68,-24897,57
32,-27457,48
70,-27440,51
78,-26375,18
70,-26793,16
76,-27208,16
16,-27584,186
13,-28960,16
39,-31287,17
48,-34049,18
48,-33257,55
16,-33849,49
18,-32369,32
186,-32449,90
16,-32295,75
16,-31809,70
16,-31730,72
16,-31082,68
16,-30939,84
16,-30284,65
16,-29237,32
16,-29215,55
16,-27360,13
16,-25913,70
16,-25122,89
16,-24803,66
16,-24772,75
16,-24085,71
16,-24217,66
18,-24449,87
16,-23705,67
8,-23945,66
186,-24383,16
16,-24337,76
16,-21322,32
16,-21211,90
16,-21156,86
16,-20501,84
16,-20326,72
16,-20263,68
16,-13400,32
16,-13329,70
16,-13209,78
16,-12811,70
16,-12172,16
16,-12036,76
16,-9837,13
16,-7574,39
16,-4751,48
16,-4648,48
16,-4133,16
16,-4130,18
16,-3699,16
16,-3613,186
16,-2857,18
51,-3648,17
48,-3928,16
187,-5312,8
16,-4591,16
16,-4224,186
16,-2304,51
16,-2041,48
16,-307,16
16,-251,187
16,1396,16
16,1264,78
78,304,84
84,48,67
67,1080,187
16,2409,16
16,2688,82
16,2856,67
16,3024,86
16,5662,37
16,6405,16
16,6396,48
16,5928,57
187,7776,16
82,6361,78
67,6287,84
86,6840,67
16,9815,32
16,9935,74
16,9950,89
16,10325,70
16,10715,80
16,11075,70
16,11257,82
16,11257,69
16,13048,32
16,13167,81
16,13774,66
16,14005,89
16,14156,70
16,14218,68
16,14786,74
16,14848,89
16,15335,68
16,15886,84
16,16253,72
16,16413,74
16,16225,67
37,16673,32
48,16041,70
57,16145,75
16,16967,70
16,17094,88
16,17885,70
16,17537,89
78,16337,32
84,16257,90
67,15672,86
16,16309,84
16,15937,72
32,15105,16
74,15032,68
89,15545,16
70,16256,13
80,17545,39
70,18225,76
82,18033,74
69,18145,82
32,17057,32
81,17065,77
66,16593,78
89,16401,66
70,16777,68
68,17905,70
74,17513,72
89,17537,71
68,20682,18
84,20146,16
72,20097,37
74,20809,39
67,22466,39
32,21193,8
70,21353,37
75,22609,16
70,21970,220
88,22506,16
70,22273,220
89,22522,8
32,23113,220
90,23411,16
86,23243,17
84,22658,18
72,23210,8
68,22610,220
16,23746,77
16,23474,78
13,22810,66
39,21441,68
76,20737,70
74,20825,72
82,20721,71
32,22649,37
77,23178,16
78,23009,18
66,23369,221
68,22857,219
70,22007,16
72,21775,17
71,21689,18
18,18417,8
16,18509,8
37,19529,221
39,18680,219
39,19713,32
8,19153,81
37,19192,66
220,17905,89
16,17840,70
16,17777,68
220,17536,74
8,17208,89
220,16392,68
16,16400,84
18,16664,72
8,16056,74
220,15664,67
77,15393,32
78,15288,84
66,15456,66
68,15168,89
70,15768,70
72,15776,67
71,15896,66
37,13480,71
16,13551,67
18,13712,70
221,14248,16
219,14264,72
16,18504,13
18,20009,39
8,20416,8
8,21308,32
221,19961,68
219,20081,74
32,17289,75
81,17425,84
66,17225,72
89,17297,78
70,17273,67
68,17177,83
74,16865,68
89,18217,32
68,18057,48
84,17561,57
72,18016,32
74,18177,84
67,17657,84
32,17097,89
84,17057,84
66,17097,86
89,17297,32
70,16689,84
67,16561,89
66,17145,37
71,17537,16
67,16713,48
70,16584,57
72,17537,32
16,17683,84
16,17754,72
16,18161,66
16,18376,89
16,18535,72
16,18663,69
16,19438,78
16,19629,32
16,19748,70
16,19867,89
16,21802,32
16,21961,89
16,21991,66
16,22438,88
16,23462,186
16,23573,69
16,23673,86
13,20752,32
39,19336,69
8,18849,32
32,18072,83
68,18264,188
74,18192,77
75,18168,75
84,18376,84
72,18385,72
78,18696,78
67,18640,67
83,19880,32
68,19912,70
32,18592,82
48,18960,66
57,19056,78
32,18488,67
84,18504,66
84,18872,78
89,18184,70
84,18216,78
86,18936,16
32,18624,67
84,18977,32
89,21833,56
37,21656,191
48,21257,52
57,23608,13
16,23544,39
32,28865,68
84,29065,74
72,29001,75
66,28761,84
89,28889,72
72,29513,78
69,29505,67
78,29385,83
32,29185,68
70,30185,32
89,30289,48
32,28385,57
89,29481,32
66,29585,84
88,29321,84
186,28705,89
69,28777,84
86,28305,86
32,28025,32
69,28129,84
32,27945,89
83,29561,37
188,31057,16
77,30969,48
75,30953,57
84,34257,32
72,34193,84
78,33658,72
67,33921,66
32,32858,89
70,32890,72
82,32938,69
66,32666,78
78,33538,32
67,33554,70
66,33649,89
78,34746,32
70,34858,89
78,35202,66
67,34242,79
16,35090,89
32,35082,84
56,32378,186
191,33545,32
52,33569,83
13,31441,188
39,31354,77
68,24680,75
74,24481,84
75,25065,72
84,25121,78
72,24857,67
78,25441,32
67,25425,70
83,24826,82
68,25297,66
32,24303,78
48,24297,67
57,24369,66
32,24057,78
84,24009,70
84,23993,78
89,24929,16
84,24793,67
86,26009,32
32,27089,55
84,27209,191
89,27313,52
37,27905,13
48,28778,83
57,29144,89
16,29346,66
16,29441,88
16,30272,186
16,30439,69
16,31126,16
16,31133,86
16,31209,32
32,29496,50
84,29865,191
72,29904,54
66,29809,191
89,29617,52
72,31097,32
69,31185,32
78,31296,32
32,30504,32
70,30936,13
89,31241,83
32,29873,89
89,29944,66
66,29504,79
79,30481,89
89,29416,84
84,29864,16
186,29720,186
32,28593,32
83,29568,49
188,29969,191
77,29873,54
75,30008,191
84,30056,52
72,31481,32
78,31641,32
67,32009,32
32,30864,32
70,31881,13
82,32793,8
66,34321,39
78,35977,32
67,36241,39
66,36465,39
78,35681,39
70,35657,39
78,35697,39
67,34625,38
16,36993,13
16,37280,83
16,37760,78
16,37918,72
16,38037,70
16,38372,78
16,38017,67
32,38073,189
55,37177,67
191,36961,67
52,37033,70
13,35377,16
83,32585,86
89,35153,54
66,35209,191
88,35177,52
186,35041,32
69,35050,32
86,36657,13
16,37681,83
32,37817,89
50,36833,66
191,36522,88
54,37050,186
191,36865,69
52,38258,16
32,36554,86
32,37258,32
32,38058,50
32,38554,191
13,38169,53
83,37705,191
89,38954,8
66,38762,8
79,38866,8
89,37978,8
84,39410,50
186,39170,190
16,39105,53
32,39218,190
49,38194,52
191,38625,32
54,38746,32
191,38938,32
52,39017,32
32,37634,13
32,38377,83
32,38074,89
32,38361,66
13,37193,79
8,37778,89
39,35951,84
39,36638,16
39,36676,186
39,37979,32
39,38394,49
39,38529,191
39,40313,53
39,40576,191
39,40703,52
39,42630,32
39,42957,32
39,43105,32
32,42313,32
39,43081,13
39,43385,66
39,43353,82
39,43457,89
39,43481,74
38,43193,85
13,43825,32
83,43730,84
78,43257,83
72,44025,89
70,44257,78
78,44057,84
67,44417,65
189,43754,70
67,45105,78
67,45113,67
70,45770,16
86,45105,222
16,46450,32
54,48082,53
191,47930,191
52,47970,52
32,48994,32
32,49298,32
13,47481,13
83,46186,83
89,47394,8
66,47298,8
88,47521,8
186,46970,8
69,46962,8
86,46209,32
16,46189,66
16,45833,32
32,46178,8
50,45353,8
191,46169,8
53,46969,52
191,46810,191
8,45441,52
8,46641,13
8,49417,83
8,49657,89
50,48265,66
190,48025,88
53,48601,186
190,48289,69
52,48825,16
32,47730,86
32,48794,32
32,49281,39
32,49578,39
13,48986,39
83,47946,39
89,47922,39
66,47634,39
79,48001,32
89,46682,37
84,47050,37
186,46474,37
16,46648,37
16,46783,37
16,47258,50
32,48434,191
49,48258,52
191,49226,191
53,47642,52
191,48706,32
52,48898,32
32,47202,32
32,47906,13
32,47546,8
32,48667,32
13,47643,83
66,47283,89
82,47459,66
89,47186,79
74,48083,89
85,48130,84
32,45875,16
84,45691,186
83,47907,32
89,48547,49
78,48283,191
84,49931,8
