down,up,timedelta
70,8,892494
78,8,892443
74,8,892336
0,8,892098
8,8,891559
67,8,890609
70,8,890472
72,8,890389
32,8,890210
66,8,890086
32,8,890371
190,82,891740
16,67,892093
8,16,891489
190,57,889067
16,16,889151
76,32,887798
39,67,888617
0,82,886129
8,84,885954
81,75,883910
74,71,883986
85,86,884375
69,74,884598
72,82,884568
32,32,884781
70,81,884829
80,83,884903
32,68,884681
70,74,884700
89,78,884653
76,72,884612
74,70,884566
32,78,884390
83,67,884282
89,57,884179
84,16,884101
76,32,884741
74,51,885893
75,51,886034
74,49,886308
71,18,886879
67,16,886796
70,51,887713
72,16,887832
32,16,887865
66,18,887229
89,8,887209
84,51,887875
71,16,887609
69,16,887454
78,16,887393
67,16,887291
32,16,887152
81,16,886178
74,16,886081
72,16,886008
74,16,885888
78,16,885818
74,16,885765
82,16,885724
32,16,885613
69,16,885572
32,16,885514
190,16,885291
48,16,884927
16,16,884620
8,16,884357
57,16,883923
16,16,883755
90,16,883065
70,16,882572
89,16,882506
86,16,882339
84,16,882138
76,16,882035
89,16,881816
70,16,881686
78,16,881607
8,16,881508
89,16,881316
57,18,881009
16,8,881674
32,50,882431
70,16,882186
82,16,882325
68,18,882142
74,8,882275
89,51,882963
74,16,882849
71,16,883095
86,18,882950
74,32,883763
82,70,884481
32,82,884403
32,76,881382
48,70,881201
16,79,881925
49,74,882028
37,75,881785
90,71,879611
70,16,879392
89,0,-38301
77,70,-38301
75,78,-38262
74,74,-38255
76,0,-38229
74,8,-37941
72,67,-37031
71,70,-36900
13,72,-37523
54,32,-37918
16,66,-37783
86,32,-39140
66,190,-39037
79,16,-39273
0,8,-38755
69,190,-36386
76,16,-36564
84,76,-35252
75,39,-36301
67,0,-33723
32,8,-33558
77,81,-31487
78,74,-31445
83,85,-31453
0,69,-31488
32,72,-31423
78,32,-31167
84,70,-31210
0,80,-31132
74,32,-31051
86,70,-30959
32,89,-30920
81,76,-31864
84,74,-31847
