down,timedelta,up
16,772340,32
32,772340,173
68,772432,32
8,772368,70
32,771878,68
70,771848,82
78,771880,67
67,771846,74
74,771874,86
67,772088,16
32,-2538,86
68,-2634,16
32,-2570,32
0,-2540,68
83,-2510,8
89,-2022,32
89,-1836,70
84,-1714,78
88,-1808,67
0,-1828,74
75,-1808,67
82,-1752,32
68,-1810,68
32,-1784,32
190,-1754,0
16,-1842,83
0,-1882,89
90,-2066,89
66,-2220,84
72,-2260,88
74,-2356,0
78,-2288,75
66,-3264,82
72,-3294,68
72,-3080,32
84,-3296,190
78,-4286,16
32,-4092,0
70,-3884,90
89,-3762,66
32,-3746,72
90,-3766,74
70,-3818,78
86,-2830,66
84,-2860,72
69,-2890,72
80,-2706,84
8,-2304,78
69,-2766,32
8,-2952,70
80,-3676,89
70,-3644,32
72,-3744,90
0,-3738,70
74,-3648,86
32,-4482,84
190,-4404,69
16,-4370,80
83,-4134,8
68,-3570,69
82,-3538,8
67,-2890,80
74,-2914,70
86,-2894,72
16,-2890,0
32,-2976,74
70,-2180,32
87,-2892,16
66,-3354,190
89,-2966,83
66,-3062,68
76,-2910,82
84,-2844,67
32,-2898,74
90,-2968,86
70,-3084,16
89,-2812,32
77,-2782,70
75,-2196,87
70,-1796,66
66,-1890,89
72,-1920,66
74,-1898,76
78,-1926,84
66,-1866,32
72,-1928,90
72,-1834,70
84,-1804,89
78,-1772,77
32,-1812,75
173,-1876,70
32,-1794,66
84,-1702,72
66,-1716,74
89,-1756,78
84,-1638,66
75,-1570,72
84,-1510,72
67,-1664,84
74,-1642,78
71,-1574,32
16,-1700,173
13,-5700,32
190,-6046,84
66,-6136,66
66,-6106,89
72,-6176,84
74,-6240,75
78,-6204,84
66,-6204,67
72,-6204,74
72,-6288,71
84,-6356,16
78,-2174,13
32,-2378,190
81,-2316,66
84,-2312,66
78,-2312,72
67,-2374,74
74,-2588,78
89,-2554,66
89,-2496,72
84,-2472,72
0,-2504,84
74,-2650,78
67,-2158,32
74,-2142,81
32,-2236,84
0,-2188,78
66,-2372,67
85,-2190,74
69,-2156,89
72,-2218,89
76,-2558,84
32,-2578,0
66,-2424,74
32,-2454,67
83,-2456,74
72,-2366,32
69,-2548,0
78,-2534,66
82,-2474,85
69,-2534,69
72,-2534,72
78,-2350,76
67,-2290,32
70,-2450,66
72,-2358,32
65,-2512,83
35,-2782,72
46,-2824,69
39,-2978,78
84,-3608,82
89,-3578,69
37,-4586,72
37,-4492,78
37,-4518,67
37,-4434,70
37,-4466,72
37,-4500,65
37,-4086,35
37,-3954,46
89,-4540,39
