,avg_duration1,avg_duration2,avg_duration3,avg_duration4,avg_duration5,avg_interval1,avg_interval2,avg_interval3,avg_interval4,avg_interval5,med_duration1,med_duration2,med_duration3,med_duration4,med_duration5,med_interval1,med_interval2,med_interval3,med_interval4,med_interval5,mistaken_shift_duration,shift_first_interval_avg1,shift_first_interval_avg2,shift_first_interval_avg3,shift_first_interval_avg4,shift_first_interval_avg5,shift_first_interval_med1,shift_first_interval_med2,shift_first_interval_med3,shift_first_interval_med4,shift_first_interval_med5,shift_last_interval_avg1,shift_last_interval_avg2,shift_last_interval_avg3,shift_last_interval_avg4,shift_last_interval_avg5,shift_last_interval_med1,shift_last_interval_med2,shift_last_interval_med3,shift_last_interval_med4,shift_last_interval_med5,shift_mistakes,typos_center_edge,typos_left_right,typos_per_presses1,typos_per_presses2,typos_per_presses3,typos_per_presses4,typos_per_presses5,words_in_memory,class,lang_alt,lang_cmd,lang_ctrl_shift,lang_ctrl_space
0,93.83333333333333,87.2421052631579,91.68181818181819,94.73684210526316,90.75675675675676,101.48148148148148,91.16666666666667,95.64444444444445,100.75,89.54285714285714,96.0,96.0,96.0,96.0,96.0,92.0,92.0,90.0,113.0,60.0,342.0,247.33333333333334,278.0,110.0,295.2,,186.0,308.0,110.0,308.0,,49.0,54.666666666666664,82.0,108.0,43.0,49.0,64.0,82.0,66.0,43.0,0.07142857142857142,inf,0.0,0.0,0.0,0.010638297872340425,0.0,0.05405405405405406,0.2138728323699422,1,0,0,0,1
1,94.7,89.07407407407408,88.48780487804878,85.41176470588235,94.0625,102.27272727272727,90.78504672897196,94.86046511627907,95.07692307692308,96.3125,96.0,96.0,96.0,96.0,96.0,122.0,122.0,92.0,30.0,32.0,,186.0,242.0,159.0,262.6666666666667,,186.0,186.0,159.0,247.0,,34.0,59.6,88.0,36.0,20.8,34.0,66.0,88.0,36.0,14.0,0.0,2.0,0.5,0.0,0.00909090909090909,0.011111111111111112,0.05263157894736842,0.0,0.2391304347826087,1,0,0,0,1
2,89.17647058823529,85.56435643564356,78.6923076923077,81.66666666666667,88.71428571428571,95.1,87.94285714285714,85.21951219512195,95.76470588235294,93.54838709677419,96.0,96.0,68.0,78.0,96.0,62.0,92.0,92.0,92.0,32.0,281.0,186.0,204.4,131.6,220.57142857142858,,186.0,216.0,132.0,252.0,,34.0,194.4,114.8,132.5,27.0,34.0,96.0,104.0,120.0,24.0,0.09523809523809523,inf,inf,0.0,0.009259259259259259,0.0,0.0,0.0,0.2152777777777778,1,0,0,0,1
3,94.38095238095238,89.33884297520662,84.22222222222223,93.0,87.15151515151516,96.0,91.03333333333333,91.86666666666666,90.76923076923077,88.41176470588235,96.0,96.0,95.0,97.0,96.0,81.0,92.0,92.0,246.0,58.0,,,196.44444444444446,190.0,155.0,,,186.0,190.0,155.0,,,58.4,128.0,132.0,58.0,,66.0,128.0,132.0,58.0,0.0,inf,1.0,0.0,0.007874015748031496,0.012345679012345678,0.0,0.0,0.26153846153846155,1,0,0,0,1
4,98.52631578947368,94.09174311926606,91.38095238095238,97.22222222222223,99.37142857142857,107.52380952380952,94.33644859813084,99.79310344827586,101.76470588235294,101.16129032258064,98.0,96.0,96.0,97.0,96.0,92.0,92.0,92.0,154.0,30.0,,216.0,229.71428571428572,352.8,94.0,,216.0,218.0,186.0,94.0,,70.0,66.66666666666667,88.33333333333333,,28.666666666666668,70.0,80.0,69.0,,40.0,0.0,inf,inf,0.0,0.017857142857142856,0.0,0.0,0.0,0.24305555555555555,1,0,0,0,1
5,91.33333333333333,92.22429906542057,88.96551724137932,88.63157894736842,97.93939393939394,98.6,93.82857142857142,96.92307692307692,91.125,100.5625,96.0,96.0,96.0,96.0,96.0,92.0,122.0,92.0,137.0,31.0,,,170.66666666666666,132.0,162.8,,,157.0,132.0,186.0,,,112.66666666666667,67.0,98.0,22.0,,97.0,67.0,100.0,22.0,0.0,inf,1.0,0.0,0.018018018018018018,0.02127659574468085,0.0,0.0,0.25757575757575757,1,0,0,0,1
6,96.3,95.94915254237289,86.52272727272727,93.52941176470588,95.79310344827586,96.21052631578948,99.32231404958678,91.91111111111111,101.66666666666667,96.55172413793103,97.0,96.0,96.0,96.0,96.0,62.0,92.0,62.0,41.0,26.0,,,185.0,,109.5,,,185.0,,109.0,,,51.0,,,38.5,,51.0,,,39.0,0.0,inf,0.5,0.0,0.007936507936507936,0.02127659574468085,0.0,0.0,0.17142857142857143,1,0,0,0,1
7,90.47619047619048,91.68316831683168,86.46464646464646,86.0,85.2,90.47619047619048,97.94444444444444,90.73469387755102,84.25,85.5,96.0,96.0,96.0,96.0,91.0,60.0,92.0,62.0,159.0,32.0,,,126.0,310.0,163.0,,,126.0,310.0,171.0,,,64.0,111.0,,88.5,,64.0,111.0,,50.0,0.0,4.0,4.0,0.047619047619047616,0.02727272727272727,0.009615384615384616,0.0,0.0,0.16304347826086957,1,0,0,0,1
8,68.5,72.1413043478261,67.3855421686747,75.3,65.96875,68.5,73.87096774193549,67.13414634146342,77.95454545454545,69.10344827586206,66.0,72.0,67.0,77.0,68.5,215.0,130.0,90.0,147.5,209.0,93.0,,185.0,238.75,123.5,,,217.0,203.5,123.5,,,92.0,71.4,111.5,,,87.0,83.0,111.5,,0.05555555555555555,0.5,0.5,0.0625,0.0,0.012048192771084338,0.043478260869565216,0.02857142857142857,0.28225806451612906,2,0,0,0,1
9,68.10526315789474,59.37234042553192,64.97435897435898,65.77777777777777,62.87179487179487,68.10526315789474,61.947916666666664,65.81818181818181,67.73684210526316,66.89189189189189,67.0,58.5,67.0,67.0,61.0,187.0,146.0,110.0,150.0,195.0,,,241.2,168.66666666666666,125.25,,,227.5,163.0,118.5,,,83.63636363636364,86.33333333333333,91.75,,,84.0,89.0,83.5,,0.0,5.0,1.0,0.0,0.03,0.025,0.047619047619047616,0.0,0.35294117647058826,2,0,0,0,1
