down,timedelta,up
78,113,84
84,-11,88
88,79,67
67,12,8
8,248,88
88,35,32
32,67,66
66,79,72
72,34,71
71,180,32
32,34,84
84,68,78
78,45,69
69,34,89
89,101,66
66,79,86
86,248,32
32,91,81
81,102,189
189,225,50
50,23,56
56,495,32
32,101,70
70,191,89
89,-22,16
16,1992,32
32,304,16
55,-44,55
16,170,83
83,34,76
76,124,89
89,12,70
70,68,86
86,34,74
74,361,82
82,226,32
32,57,81
81,79,84
84,57,74
74,12,68
68,79,67
67,158,32
32,270,70
70,192,78
78,90,74
74,90,72
72,90,74
74,642,68
68,237,32
32,112,75
75,79,70
70,34,79
79,158,66
66,158,79
79,56,70
70,80,80
80,417,32
32,91,78
78,45,69
69,57,89
89,113,66
66,68,86
86,124,32
32,158,219
219,0,83
83,80,68
68,35,72
72,80,84
84,102,71
71,349,32
32,23,67
67,113,32
32,125,77
77,90,68
68,46,74
74,135,89
89,282,68
68,597,32
32,1396,89
89,101,66
66,34,82
82,67,73
73,203,190
190,416,72
72,90,78
78,754,66
66,652,16
86,-55,86
16,124,32
32,3510,68
68,22,74
74,68,82
82,34,66
66,91,89
89,158,188
188,45,69
69,67,75
75,34,82
82,57,74
74,68,89
89,124,76
76,113,74
74,180,32
32,203,219
219,192,66
66,146,73
73,124,68
68,34,8
8,788,73
73,158,83
83,45,188
188,181,32
32,113,219
219,619,66
66,146,74
74,35,68
68,68,67
67,124,32
32,34,68
68,57,66
66,102,78
78,79,74
74,90,72
72,12,71
71,2768,32
32,68,69
69,45,89
89,102,74
74,214,16
76,-56,76
16,169,189
189,349,16
16,236,70
70,45,89
89,236,189
189,552,84
84,135,68
68,57,74
74,90,78
78,57,67
67,102,74
74,101,72
72,-56,16
16,90,32
32,68,68
68,900,32
32,90,84
84,34,72
72,91,85
85,124,66
66,158,32
32,23,81
81,90,84
84,34,79
79,147,190
190,68,69
69,68,76
76,56,84
84,124,75
75,57,67
67,68,32
32,979,68
68,57,32
32,113,84
84,23,186
186,135,69
69,-78,16
16,394,32
32,203,55
55,-35,16
16,225,86
86,12,74
74,90,78
78,113,84
84,12,88
88,90,67
67,57,32
32,68,86
86,34,83
83,23,89
89,102,77
77,89,75
75,-11,70
70,68,86
86,45,66
66,79,89
89,91,66
66,34,86
86,101,32
32,146,67
67,1103,32
32,68,66
66,101,75
75,57,70
70,-11,72
72,68,85
85,102,66
66,23,83
83,80,68
68,1351,32
32,719,16
50,-124,50
16,1495,16
50,-101,50
16,67,37
37,428,8
8,518,16
50,-101,50
16,1620,32
32,968,84
84,112,83
83,79,75
75,45,84
84,35,188
188,304,189
189,541,74
74,316,89
89,22,67
67,102,70
70,35,72
72,90,82
82,79,32
32,1441,190
190,57,69
69,46,72
72,67,74
74,79,78
78,90,74
74,11,82
82,46,32
32,90,54
54,-59,16
16,720,16
50,-101,50
16,90,66
66,91,89
89,79,70
70,57,188
188,136,69
69,833,16
82,-22,82
16,765,16
50,-124,50
