down,up,timedelta
32,67,819099
74,32,820498
85,189,820802
74,107,821616
78,17,821620
32,109,822657
90,17,821893
72,109,821916
188,18,821883
90,17,821777
74,17,821551
89,17,821969
32,32,823260
49,66,823428
49,66,823423
32,76,823163
191,84,823201
70,71,822837
72,66,822917
74,82,822887
78,66,822971
77,68,822989
75,16,823123
66,32,823019
68,80,822883
16,66,822832
32,32,823413
70,75,823373
89,70,823222
84,66,822461
68,72,822392
77,84,821559
75,78,821541
66,70,821473
67,86,821408
16,16,821390
32,13,822223
84,84,823050
78,79,822084
69,66,822080
89,188,821911
66,76,822162
86,70,821756
32,75,821684
81,82,821625
189,32,821597
51,84,821424
32,74,819489
70,82,819462
89,87,819508
32,66,819825
68,68,819748
66,74,819662
89,78,819384
84,70,819215
86,188,819297
70,16,819386
80,186,-19622
32,32,-19705
191,74,-19758
16,85,-19706
50,74,-19707
16,78,-19809
70,32,-19740
8,90,-19183
16,72,-18999
68,188,-19287
89,90,-19866
84,74,-19893
77,89,-20043
78,32,-19818
222,49,-20569
16,49,-20720
189,32,-20484
78,191,-20730
89,70,-20288
84,72,-20323
67,74,-20479
50,78,-20837
16,77,-20852
32,75,-21252
68,66,-21367
66,68,-21924
78,16,-22057
74,32,-22005
72,70,-21890
71,89,-21752
32,84,-21004
84,68,-20957
68,77,-20254
70,75,-20415
78,66,-20321
67,16,-20436
74,67,-20482
67,32,-20069
32,84,-20215
86,78,-19536
74,69,-19607
89,89,-19506
68,66,-19485
74,86,-19096
89,32,-19054
67,81,-19093
74,189,-18435
32,51,-18315
68,32,-16412
32,70,-16459
76,89,-17440
70,32,-17358
68,68,-17059
74,66,-16371
72,89,-16114
66,84,-15940
78,86,-15857
190,70,-16099
188,80,-16271
84,32,-15988
76,191,-15950
32,16,-16264
89,16,-16192
74,50,-16253
32,70,-16362
191,8,-16465
16,16,-16273
90,68,-16370
72,89,-15938
188,84,-16061
90,77,-15982
78,78,-16038
82,16,-15779
74,222,-15742
32,189,-15363
52,78,-15570
49,89,-15621
32,84,-15774
191,16,-15654
16,67,-15691
90,50,-15401
89,32,-14999
76,68,-14813
32,66,-14605
51,78,-15752
32,74,-16403
90,72,-17256
78,71,-17422
67,32,-17414
69,84,-17487
71,68,-17438
67,70,-17453
16,78,-17585
32,67,-17497
191,74,-17635
70,67,-19856
76,32,-19736
74,86,-19531
85,74,-19456
32,89,-19923
51,68,-19932
32,74,-20326
70,89,-20291
89,67,-20229
32,74,-20219
86,32,-20145
74,68,-20259
82,32,-20159
74,76,-19327
