up,timedelta,down
84,640221,70
86,640383,72
16,640319,32
89,-743,84
70,-855,83
72,-1607,8
32,-1487,8
84,-1536,8
83,-1456,8
8,-1255,32
8,-1215,84
8,-1319,83
8,-1319,86
32,-751,86
84,-831,70
83,-823,67
86,-873,16
86,-4472,13
70,-6600,82
67,-6745,74
16,-6918,78
13,-3183,69
82,-1184,67
74,-976,32
78,-912,66
69,-1014,89
67,-832,84
32,-848,86
66,-879,84
89,-948,72
84,-1024,68
86,-1176,32
84,-1143,66
72,-1968,32
68,-2947,78
32,-2823,70
66,-2815,89
32,-1975,66
78,-1143,76
70,-1343,72
89,-1335,74
66,-1263,74
76,-1207,82
72,-927,32
74,-931,219
74,-1063,83
82,-1159,89
32,-1135,67
219,-1200,84
83,-1070,188
89,-1103,84
67,-1359,89
84,-2607,32
188,-2711,83
84,-2671,86
89,-2479,84
32,-1071,78
83,-1023,67
86,-927,66
84,-1176,67
78,-1671,32
67,-1855,81
66,-1799,74
67,-1575,89
32,-1215,77
81,-999,75
74,-1039,70
89,-1039,66
77,-983,72
75,-989,74
70,-2982,78
66,-3047,70
72,-2991,68
74,-3607,82
78,-1759,222
70,-3495,32
68,-3680,86
82,-2999,70
222,-2815,75
32,-1288,85
86,-1239,69
70,-1335,32
75,-1399,86
85,-1321,83
69,-1287,68
32,-1271,74
86,-1231,67
83,-1033,70
68,-1231,88
74,-2135,32
67,-2103,86
70,-2142,83
88,-2167,89
32,-1214,88
86,-1375,84
83,-1311,89
89,-1223,75
88,-1191,74
84,-1024,67
89,-2224,32
75,-3079,83
74,-3183,89
67,-3216,70
32,-2152,66
83,-1248,76
89,-1342,66
70,-1319,72
66,-1167,84
76,-1167,86
66,-2893,32
72,-2848,84
84,-2999,83
86,-2895,89
32,-896,89
84,-960,90
83,-1359,74
89,-1334,78
89,-1344,67
90,-1439,74
74,-998,71
78,-2511,32
67,-2567,78
74,-2511,84
71,-2607,90
32,-1087,75
78,-1128,68
84,-1023,70
90,-959,78
75,-919,67
68,-871,74
70,-855,71
78,-934,74
67,-967,67
74,-1415,32
71,-2670,66
74,-2743,186
67,-2895,77
32,-2775,89
66,-1470,70
186,-1367,85
77,-4841,32
89,-4457,70
70,-4441,86
85,-4409,84
32,-831,78
70,-911,67
86,-1095,66
84,-1151,67
78,-1463,32
67,-1408,90
66,-1422,70
67,-1407,89
32,-1247,77
90,-1231,75
70,-1087,70
89,-1081,82
77,-1270,70
75,-1374,66
70,-1494,76
82,-1568,74
70,-2109,80
66,-3463,32
76,-3366,90
74,-3519,70
80,-3145,89
32,-1343,72
90,-1327,70
70,-1031,76
89,-1383,89
72,-1343,84
70,-1295,75
76,-1239,70
89,-871,82
84,-3431,32
75,-3510,90
70,-3759,70
82,-3750,82
32,-2071,67
90,-2127,81
70,-1977,70
82,-1927,78
67,-1135,66
81,-983,82
70,-2239,32
78,-2327,219
66,-2286,8
82,-2607,80
32,-1407,70
219,-1320,78
8,-1255,67
80,-1039,82
70,-871,84
78,-855,78
67,-1048,32
82,-951,219
84,-1169,66
78,-1079,82
32,-1095,67
219,-1230,89
66,-1407,66
82,-1487,87
67,-1479,66
89,-1415,76
66,-1119,84
87,-1175,86
66,-1452,8
76,-5499,68
84,-5731,32
86,-5652,219
8,-5315,66
68,-1144,82
32,-999,67
219,-1079,84
66,-1078,88
82,-1343,66
67,-1328,67
84,-1222,67
88,-1159,70
66,-887,75
67,-910,82
67,-1135,32
70,-1120,68
75,-1224,16
82,-1616,32
32,-1455,190
68,-1564,16
16,-1848,8
32,-1503,32
55,-1576,90
16,-1767,66
8,-1403,89
32,-1079,84
90,-1079,75
66,-1063,68
89,-1054,70
84,-1177,78
75,-911,67
68,-964,76
70,-1055,84
78,-1079,72
67,-1103,71
76,-1119,32
84,-983,84
72,-876,66
71,-816,82
32,-847,67
84,-887,84
66,-974,88
82,-1457,66
67,-1367,80
84,-1495,66
88,-1503,65
66,-1287,70
80,-1209,78
