down,timedelta,up
32,1107606,70
75,1107624,87
74,1107710,66
68,1107637,68
86,1107915,192
8,1109924,77
68,1109412,188
66,1109542,74
67,1109468,74
32,1108449,72
189,1109002,68
32,1108318,16
66,1109477,16
66,1109338,18
89,-6073,85
74,-5472,32
71,-5332,75
90,-5346,74
16,-5425,68
32,-5531,86
72,-5394,8
74,-4776,68
78,-4475,66
70,-4481,67
72,-3531,32
84,-3488,189
71,-2754,32
86,-2691,66
66,-2739,66
32,-4611,89
110,-4668,74
8,-4743,71
96,-5782,16
70,-6070,90
76,-5703,32
74,-6007,72
85,-6009,74
32,-6349,78
103,-7124,70
100,-7228,72
105,-7629,84
8,-8545,71
32,-9273,86
32,-9454,66
90,-8080,32
70,-7900,110
86,-7889,8
32,-6659,96
99,-6820,70
32,-8378,76
69,-8119,74
75,-8093,85
66,-7938,32
67,-7102,103
32,-7016,100
68,-6582,105
32,-5668,8
81,-4968,32
84,-4618,32
8,-4810,90
144,-5108,70
81,-5893,86
8,-6213,32
8,-6236,99
8,-4595,32
8,-4595,69
8,-4682,75
8,-4582,66
67,-5531,67
32,-5535,32
68,-5574,68
32,-6497,32
81,-6516,81
66,-6514,84
73,-5998,8
68,-6022,144
66,-5296,81
71,-4934,8
69,-4771,8
78,-5008,8
67,-5220,8
68,-5018,8
32,-5581,8
46,-4719,67
66,-5499,32
66,-5492,68
87,-4657,32
69,-5291,81
78,-5307,66
66,-5247,73
78,-4903,68
67,-4975,66
89,-4915,71
74,-4883,69
82,-4690,78
16,-4621,67
32,-4803,68
74,-4245,32
89,-4124,46
67,-3515,66
70,-3434,66
75,-3284,87
85,-2616,69
74,-2619,78
67,-2756,66
16,-3447,78
32,-3462,67
191,-3680,89
8,-3784,74
32,-4591,82
90,-4643,16
66,-4360,32
219,-4529,74
72,-4753,89
70,-4699,67
89,-4683,70
74,-4796,75
86,-5966,85
32,-5902,74
90,-5924,67
8,-5988,16
32,-5925,32
70,-5723,191
89,-5525,8
89,-4702,32
74,-4768,90
66,-4897,66
87,-4810,219
69,-4738,72
78,-4752,70
66,-4734,89
78,-4717,74
67,-3551,86
89,-4385,32
74,-4314,90
82,-4411,8
32,-3912,32
109,-3949,70
32,-4048,89
90,-4175,89
66,-4182,74
89,-4036,66
74,-4012,87
71,-3855,69
90,-4029,78
16,-4169,66
16,-26478,78
32,-28995,67
191,-28850,89
83,-29502,74
72,-30663,82
69,-30316,32
78,-30468,109
77,-30455,32
75,-30311,90
69,-30334,66
82,-30213,89
32,-30489,74
81,-30621,71
8,-30385,90
8,-30437,16
81,-9627,16
32,-5708,32
74,-5002,191
82,-4298,83
67,-3229,72
84,-3113,69
88,-3003,78
66,-4443,77
86,-4365,75
70,-4819,69
8,-4859,82
86,-4887,32
72,-4981,81
84,-5051,8
82,-5040,8
74,-4771,81
76,-4891,32
32,-5087,74
70,-5078,82
76,-5013,67
74,-5245,84
66,-5391,88
72,-3983,66
84,-4029,86
71,-3581,70
32,-6077,8
84,-5820,86
66,-5591,72
89,-5600,84
70,-5679,82
68,-5506,74
80,-5436,76
70,-5372,32
89,-5397,70
32,-5354,76
78,-5188,74
66,-4992,66
67,-4989,72
74,-5007,84
89,-5376,71
32,-4532,32
84,-4405,84
186,-4486,66
82,-4705,89
70,-4752,70
78,-5332,68
8,-5672,80
8,-5770,70
32,-7682,89
68,-7818,32
32,-7881,78
76,-8328,66
74,-9176,67
66,-9240,74
72,-8859,89
84,-7299,32
71,-7206,84
32,-7640,186
69,-7540,82
86,-7625,70
74,-7140,78
78,-6682,8
222,-6558,8
74,-4907,32
71,-4848,68
32,-6994,32
46,-7991,76
8,-7317,74
32,-8073,66
90,-8195,72
66,-8286,84
75,-8494,71
84,-7996,32
76,-7874,69
80,-7902,86
66,-7973,74
32,-8129,78
84,-8004,222
66,-7722,74
82,-7737,71
67,-5574,32
84,-4174,46
88,-4074,8
66,-3406,32
86,-3314,90
70,-3373,66
72,-3228,75
84,-3210,84
82,-3178,76
32,-4476,80
78,-4387,66
190,-4465,32
69,-4691,84
68,-4693,66
78,-5206,82
67,-5163,67
78,-5393,84
69,-5440,88
67,-5465,66
78,-5521,86
74,-5406,70
32,-7406,72
84,-7548,84
76,-7689,82
74,-6550,32
66,-6482,78
72,-6398,190
84,-6544,69
71,-6399,68
32,-6392,78
86,-7273,67
8,-7417,78
81,-7796,69
74,-7594,67
78,-7343,78
222,-7549,74
32,-6212,32
68,-6193,84
16,-6274,76
32,-6090,74
191,-6068,66
8,-6130,72
32,-6554,84
81,-7567,71
74,-7100,32
82,-6190,86
78,-5944,8
74,-5530,81
188,-5610,74
70,-5957,78
72,-5713,222
188,-5150,32
74,-5331,68
32,-5560,16
81,-5162,32
74,-5084,191
188,-5017,8
69,-4498,32
72,-3592,81
85,-3520,74
32,-5593,82
70,-6978,78
76,-6955,74
69,-6911,188
72,-7016,70
78,-6973,72
32,-7413,188
90,-7287,74
66,-7141,32
76,-7251,81
69,-7404,74
72,-7407,188
74,-7199,69
32,-8287,72
84,-8226,85
83,-6175,32
89,-4573,70
89,-4502,76
84,-4500,69
86,-4141,72
70,-4270,78
82,-3719,32
32,-3658,90
84,-3595,66
83,-3616,76
68,-3353,69
72,-3857,72
84,-3857,74
71,-2718,32
32,-4285,84
74,-4396,83
75,-4267,89
70,-4327,89
68,-4290,84
66,-4294,86
75,-4653,70
68,-6206,82
70,-6291,32
78,-6363,84
74,-6280,83
85,-6342,68
80,-5979,72
66,-6235,84
32,-8968,71
46,-7504,32
86,-8450,74
74,-8569,75
68,-8570,70
78,-8669,68
67,-8606,66
77,-8098,75
75,-6674,68
84,-6648,70
78,-6575,78
70,-6607,74
72,-6578,85
66,-6456,80
188,-6353,66
74,-3860,32
67,-3811,46
32,-2780,86
66,-2704,74
32,-3132,68
81,-3239,78
74,-3367,67
78,-3317,77
74,-3523,75
219,-3567,84
74,-3824,78
32,-5785,70
77,-5820,72
67,-5850,66
74,-5786,188
75,-5518,74
70,-5586,67
86,-5497,32
66,-5475,66
89,-5068,32
70,-4898,81
80,-5757,74
32,-6831,78
66,-7177,74
66,-7065,219
89,-6838,74
74,-4897,32
71,-4757,77
90,-4926,67
16,-5198,74
32,-5331,75
81,-5340,70
84,-5542,86
89,-5446,66
68,-5425,89
84,-5401,70
72,-4499,80
76,-3713,32
32,-3747,66
84,-3865,66
66,-3815,89
89,-3847,74
84,-3970,71
75,-3754,90
84,-3845,16
67,-3466,32
70,-3881,81
89,-4040,84
16,-4265,89
32,-4642,68
191,-5569,84
222,-5550,72
191,-6253,76
89,-5851,32
32,-6125,84
74,-6129,66
76,-6202,89
32,-7040,84
90,-7131,75
66,-7105,84
78,-6943,67
84,-7233,70
75,-7001,16
84,-7109,89
88,-7715,32
90,-7102,191
67,-7044,222
83,-6816,191
8,-6784,89
90,-7917,32
78,-8092,74
32,-8092,76
45,-7666,32
37,-7564,90
32,-8163,66
74,-8240,78
75,-7577,84
74,-7576,75
82,-7488,84
74,-6279,88
32,-7391,90
77,-7448,67
67,-6846,83
66,-6742,8
75,-5350,90
66,-5263,78
68,-5285,32
90,-5075,45
74,-5251,37
71,-4704,32
32,-5269,74
70,-5571,75
85,-5668,74
70,-5729,82
75,-5800,74
84,-4539,32
71,-4490,77
66,-4451,67
219,-4599,66
72,-5011,75
70,-4916,66
32,-4823,68
74,-4646,90
85,-4536,74
74,-4526,71
82,-3911,32
67,-3670,70
89,-3613,85
74,-3550,70
71,-3426,75
90,-3643,84
16,-3761,71
32,-4873,66
90,-4737,219
66,-4373,72
89,-4367,70
84,-4540,32
75,-4896,74
84,-6359,85
8,-6373,74
89,-6924,82
67,-7012,67
70,-7097,89
80,-7198,74
32,-8143,71
66,-7866,90
82,-7990,16
70,-6492,32
89,-6430,90
80,-6349,66
66,-6489,89
72,-6372,84
71,-5956,75
32,-4447,84
84,-4418,8
83,-3976,89
68,-3841,67
72,-4181,70
84,-4073,80
71,-3436,32
16,-3523,66
13,-4013,82
191,-46180,70
8,-46272,89
32,-48476,80
70,-49383,66
82,-49347,72
84,-49544,71
68,-49656,32
74,-50754,84
75,-50612,83
84,-50944,68
88,-50419,72
32,-50373,84
66,-50254,16
72,-50281,71
78,-49543,13
32,-7454,191
78,-7348,8
90,-5044,32
67,-3987,70
84,-4152,82
76,-4187,84
77,-4437,68
78,-3258,74
90,-3484,75
71,-3198,84
32,-4479,88
78,-4474,32
74,-4497,66
67,-4531,72
77,-4714,78
78,-4630,32
90,-4681,78
71,-4670,90
32,-4771,67
88,-4738,84
90,-4893,76
67,-4432,77
83,-4665,78
78,-4698,90
8,-5440,71
8,-4412,32
8,-4376,78
8,-4322,74
77,-6196,67
90,-14175,77
67,-14196,78
83,-14195,90
78,-14154,71
32,-14062,32
77,-14056,88
86,-13903,90
84,-14214,67
67,-14105,83
32,-13867,78
78,-13071,8
90,-13237,8
67,-13228,8
84,-13354,8
76,-11457,77
86,-3615,90
84,-3664,67
67,-3551,83
32,-4648,78
78,-4727,32
84,-4709,77
90,-4807,86
75,-4628,84
68,-4598,67
70,-4614,32
78,-4553,78
67,-4281,90
74,-4339,67
67,-4445,84
32,-4502,76
70,-4263,86
76,-4896,84
74,-5272,67
72,-4104,32
74,-4720,78
85,-4717,84
32,-4627,90
84,-4542,75
66,-4510,68
89,-4472,70
84,-5031,78
75,-4996,67
84,-4846,74
67,-4750,67
70,-4627,32
89,-4766,70
16,-4387,76
32,-4365,74
191,-4608,72
66,-4338,74
67,-4490,85
81,-4812,32
70,-6054,84
78,-6495,66
16,-6815,89
32,-6552,84
46,-6667,75
192,-7475,84
72,-7787,67
74,-7840,70
82,-8285,16
16,-8465,89
32,-7777,32
46,-7603,191
66,-8454,66
82,-8331,67
70,-7949,81
86,-6961,70
86,-6641,16
70,-6783,78
82,-6425,32
16,-6906,46
32,-6319,192
46,-5978,72
66,-6982,74
80,-6807,16
76,-6896,82
74,-6906,32
16,-7242,46
32,-6258,66
66,-6310,82
82,-6411,70
75,-6563,86
192,-6599,86
67,-7802,70
74,-7919,16
71,-8050,82
32,-7346,32
66,-7283,46
32,-6932,66
78,-7778,80
70,-8031,76
88,-8027,16
66,-8667,74
89,-7938,32
70,-7845,66
72,-7821,82
85,-7290,75
8,-7583,192
89,-6632,67
32,-6955,74
86,-6943,71
66,-6756,32
89,-6775,66
32,-7052,32
67,-6511,78
16,-6498,70
32,-6467,88
191,-5759,66
66,-6406,89
82,-6498,70
89,-6571,72
66,-6542,85
82,-6405,8
16,-6301,89
32,-6140,32
70,-6082,86
89,-6069,66
74,-6030,89
66,-5125,32
85,-4895,16
84,-4901,67
72,-4288,32
32,-5005,191
70,-4802,66
72,-4749,82
70,-4534,89
89,-4675,66
16,-4849,82
8,-5000,16
16,-4494,32
144,-4512,70
84,-4947,89
16,-5030,74
32,-5044,66
84,-5055,85
72,-5045,84
69,-5067,72
78,-4320,32
82,-3867,70
84,-3968,72
65,-4102,70
84,-4701,16
72,-4900,89
71,-4422,8
32,-4074,16
68,-4055,144
32,-4297,16
