down,up,timedelta
72,67,128
67,32,618
16,8,652
32,32,101
8,86,161
32,84,256
86,89,272
84,89,262
89,70,267
89,72,241
70,32,328
72,68,339
32,32,119
68,74,1522
32,82,1423
74,77,164
82,75,260
77,74,272
75,78,298
74,32,441
78,16,356
32,191,43
191,74,290
16,89,362
74,78,260
89,90,316
78,74,400
90,72,338
74,84,260
72,68,330
84,32,357
68,16,184
32,191,-2
191,8,147
16,32,333
8,8,315
32,32,92
8,70,89
32,75,271
70,83,351
75,188,191
83,32,264
188,70,331
32,8,206
70,83,301
8,89,389
83,70,280
89,67,151
70,66,220
67,71,180
66,70,487
71,80,508
70,8,262
80,68,481
8,32,509
68,8,271
32,32,120
8,84,73
32,83,231
84,68,308
83,72,369
68,84,312
72,71,158
84,8,237
71,72,354
8,68,290
72,32,407
68,66,429
32,32,702
66,8,650
32,32,115
8,66,154
32,66,227
66,87,181
66,66,290
87,76,410
66,70,722
76,72,609
70,78,217
72,32,288
78,8,201
32,32,100
8,81,65
32,74,182
81,89,302
74,78,447
89,67,479
78,69,428
67,32,667
69,68,496
32,32,635
68,8,630
32,32,104
8,74,137
32,82,142
74,77,172
82,75,254
77,74,271
75,78,271
74,32,836
78,8,788
32,32,89
8,77,172
32,67,168
77,70,332
67,75,370
70,90,449
75,89,435
90,70,457
89,72,477
70,219,1178
72,74,1346
219,67,300
74,32,6076
67,8,6071
32,32,122
8,70,103
32,89,150
70,74,270
89,32,342
74,8,199
32,32,109
8,66,178
32,86,231
66,70,227
86,82,559
70,84,850
82,16,597
84,68,141
68,32,150
16,191,217
32,8,439
191,8,735
8,8,592
8,32,581
8,191,523
32,8,6044
191,32,10301
8,32,7118
32,8,2787
32,32,90
8,219,81
32,8,524
219,8,527
8,8,717
8,32,751
8,219,357
32,80,89
219,66,306
80,73,460
66,81,429
73,84,570
81,89,319
84,68,281
89,84,1395
68,72,1267
84,8,239
72,68,370
8,76,392
68,32,589
76,8,521
32,32,95
8,80,111
32,66,143
80,32,846
66,8,882
32,32,121
8,86,63
32,66,141
86,89,218
66,76,385
89,74,699
76,32,1409
74,8,1026
32,32,72
8,90,71
32,67,94
90,78,349
67,84,369
78,90,2095
84,75,2095
90,68,169
75,90,312
68,32,428
90,66,319
32,32,1216
66,191,1277
32,8,380
191,190,1149
8,222,1045
190,32,1436
222,8,1376
32,32,109
8,191,154
32,89,401
191,8,441
89,85,421
8,32,1802
85,8,1764
32,32,268
8,74,205
32,76,326
74,32,631
76,8,487
32,32,132
8,85,509
32,85,540
85,32,311
85,48,471
32,48,430
48,49,1464
48,49,1495
49,189,581
49,48,998
189,48,727
48,55,328
48,49,588
55,32,947
49,74,669
32,75,270
74,74,428
75,82,369
74,74,241
82,32,1025
74,8,933
32,32,90
8,74,136
32,86,178
74,66,219
86,76,231
66,66,930
76,68,901
66,32,534
68,70,501
32,89,767
70,84,791
89,75,220
84,68,240
75,70,381
68,78,371
70,67,217
78,74,211
67,67,543
74,32,737
67,70,309
32,75,213
70,83,244
75,188,239
83,32,487
188,8,521
32,32,221
8,70,118
32,76,158
70,84,258
76,68,888
84,66,1263
68,16,614
66,72,104
72,32,1646
16,191,1446
32,8,262
191,32,203
8,83,82
32,76,83
83,84,255
76,68,400
84,16,188
68,32,590
16,82,528
32,70,78
82,82,128
70,32,255
82,8,314
32,32,97
8,219,110
32,8,201
219,8,231
8,219,736
8,8,827
219,32,201
8,81,178
32,83,232
81,89,133
83,78,540
89,67,657
78,84,357
67,68,290
84,80,329
68,66,381
80,32,558
66,16,401
32,191,-4
191,8,1099
16,32,1010
8,68,102
32,74,108
68,8,170
74,8,237
8,74,718
8,68,703
74,78,269
68,67,540
78,84,560
67,78,251
84,32,441
78,8,432
32,32,91
8,219,122
32,83,220
219,89,211
83,80,447
89,74,549
80,66,741
74,85,637
66,66,1846
85,75,1826
66,84,558
75,72,560
84,32,1676
72,8,1699
32,32,96
8,219,164
32,66,337
219,82,319
66,67,277
82,78,486
67,67,976
78,66,792
67,69,2370
66,76,3021
69,89,1096
76,66,522
89,32,2043
66,219,1971
32,84,318
219,72,312
84,83,549
72,78,628
83,84,252
78,88,282
84,32,339
88,8,190
32,32,112
8,74,178
32,75,300
74,67,343
75,66,358
67,88,322
66,32,308
88,68,270
32,32,140
68,8,142
32,32,108
8,78,148
32,66,182
78,76,172
66,74,237
76,219,340
74,68,422
219,32,539
68,16,377
32,50,46
50,8,204
16,32,188
8,70,73
32,76,140
70,84,223
76,68,311
84,85,307
68,8,368
85,68,929
8,66,1118
68,16,508
66,72,121
72,16,210
16,50,191
50,32,1086
16,191,458
32,8,291
191,32,199
8,84,52
32,82,216
84,83,374
82,80,331
83,90,202
80,32,318
90,8,289
32,32,91
8,86,114
32,74,140
86,82,131
74,67,357
82,81,670
67,66,766
81,76,440
66,84,299
76,68,360
84,32,303
68,70,189
32,89,120
70,32,222
89,8,210
32,32,89
8,83,100
32,72,127
83,69,367
72,78,503
69,70,282
78,72,180
70,84,302
72,78,301
84,66,172
78,75,198
66,32,608
75,8,613
32,32,97
8,81,92
32,74,512
81,82,540
74,67,262
82,81,590
67,66,520
81,76,615
66,89,960
76,66,790
89,32,989
66,82,737
32,8,83
82,8,612
8,32,609
8,69,77
32,66,331
69,89,372
66,78,267
89,90,358
78,86,243
90,70,758
86,71,819
70,32,502
71,8,666
32,32,361
8,81,47
32,83,64
81,89,123
83,78,229
89,8,944
78,8,869
8,8,229
8,81,290
8,83,248
81,89,108
83,67,721
89,84,771
67,68,318
84,80,391
68,66,572
80,32,1024
66,8,776
32,32,126
8,81,36
32,83,175
81,68,296
83,72,212
68,84,853
72,71,827
84,32,490
71,16,451
32,191,31
191,68,150
16,8,662
68,8,1135
8,8,679
8,32,1395
8,8,1351
32,32,129
8,191,141
32,8,667
191,32,588
8,68,73
32,74,240
68,89,357
74,86,241
89,66,309
86,85,319
66,32,440
85,8,391
32,32,114
8,219,224
32,8,348
219,8,297
8,32,945
8,8,908
32,32,110
8,80,156
32,83,250
80,89,202
83,80,311
89,74,989
80,66,1338
74,85,757
66,66,456
85,75,368
66,84,845
75,72,871
84,32,1353
72,8,1362
32,32,108
8,74,153
32,68,291
74,78,318
68,67,747
78,84,720
67,79,212
84,69,237
79,86,370
69,66,406
86,84,582
66,72,429
84,71,132
72,32,660
71,8,669
32,32,128
8,84,106
32,66,141
84,89,171
66,70,240
89,72,198
70,188,231
72,74,314
188,67,207
74,32,1034
67,8,1020
32,32,123
8,70,183
32,84,419
70,68,529
84,85,528
68,8,3209
85,85,3430
8,66,1825
85,16,1495
66,72,149
72,13,1339
16,13,1272
13,13,9600
13,13,9570
13,8,398
13,32,332
8,191,147
32,8,341
191,32,290
8,66,213
32,86,300
66,90,370
86,75,313
90,70,1007
75,76,1057
70,84,380
76,86,356
84,32,411
86,191,321
32,16,70
191,8,261
16,32,1160
8,8,1078
32,32,119
8,70,114
32,78,159
70,84,238
78,88,349
84,74,290
88,16,179
74,71,79
71,32,429
16,8,349
32,32,119
8,82,65
32,70,199
82,89,212
70,16,198
89,80,140
80,32,550
16,8,611
32,32,334
8,86,48
