down,up,timedelta
32,16,632766
219,8,629437
66,8,629089
85,69,626762
69,82,626562
72,16,625633
76,32,-8932
32,219,-6347
68,66,-5962
32,85,-3158
70,69,-3006
32,72,-2222
39,76,-3737
78,32,-3440
190,68,-3563
69,32,-3752
68,70,-3695
78,32,-3561
67,39,-2335
78,78,-2871
69,190,-3065
67,69,-3088
8,68,-5148
8,78,-5285
8,67,-4936
8,78,-3934
8,69,-3545
8,67,-3287
8,8,-1137
8,8,-1152
39,8,-1525
39,8,-1513
39,8,-1506
39,8,-1485
39,8,-1459
39,8,-1311
8,39,-2084
8,39,-2206
39,39,-2655
39,39,-2888
39,39,-7841
78,39,-8441
190,8,-7988
69,8,-8337
68,39,-7982
78,39,-7944
67,39,-2994
78,78,-5369
8,190,-5723
8,69,-5374
8,68,-5311
8,78,-5189
8,67,-5104
8,78,-2090
8,8,-1144
37,8,-1392
191,8,-2901
16,8,-2861
78,8,-3298
190,8,-3365
69,8,-3437
68,37,-3042
78,16,-2451
67,191,-2553
78,78,-3327
69,190,-3223
78,69,-3141
67,68,-3114
78,78,-2396
74,67,-2439
32,78,-1188
84,69,-2849
79,78,-2898
188,67,-2913
74,78,-3771
74,74,-3698
68,32,-3612
32,84,-2005
83,79,-3152
72,188,-3092
70,74,-2149
76,74,-2124
32,68,-2577
84,32,-2712
83,83,-1664
89,72,-1691
8,70,-3127
89,76,-3560
77,32,-4014
75,84,-3869
70,83,-3768
188,89,-3746
84,8,-2414
72,89,-2740
85,77,-1890
74,75,-2043
71,70,-2012
32,188,-2017
219,84,-5826
70,72,-5264
75,85,-5226
66,74,-5220
85,71,-5297
8,32,-5934
89,219,-2375
74,70,-2572
86,75,-2543
32,66,-4346
219,85,-4371
66,8,-3849
8,89,-3626
8,74,-3957
81,86,-5164
74,32,-3076
89,219,-2983
76,66,-3018
74,8,-2910
32,8,-2301
68,81,-1047
32,74,-1077
69,89,-1142
82,76,-1121
8,74,-2864
82,32,-3461
77,68,-3474
75,32,-3523
74,69,-3428
82,82,-3460
67,8,-1566
