up,down,timedelta
89,89,48
74,89,200
66,74,202
87,66,52
70,87,314
72,70,37
68,72,167
70,68,131
78,70,267
8,78,1295
78,8,323
67,78,102
84,67,293
72,84,25
32,72,282
77,32,31
78,77,82
66,78,125
222,66,550
74,222,997
68,74,22
74,68,820
72,74,67
71,72,31
32,71,94
74,32,-48
89,74,78
222,89,311
74,222,419
86,74,59
32,86,328
69,32,45
86,69,59
84,86,192
89,84,16
32,89,87
74,32,-54
71,74,27
32,71,527
74,32,-48
89,74,67
77,89,10
75,77,83
84,75,1
78,84,36
70,78,56
68,70,85
74,68,95
76,74,200
84,76,47
75,84,82
67,75,0
32,67,261
191,32,101
16,191,-58
78,16,352
89,78,128
84,89,100
86,84,116
69,86,129
82,69,70
74,82,118
76,74,123
32,76,713
189,32,-42
32,189,182
81,32,230
84,81,262
74,84,68
68,74,71
67,68,124
32,67,125
66,32,-22
78,66,88
69,78,177
67,69,188
32,67,144
74,32,-49
71,74,50
32,71,249
74,32,-48
78,74,-64
222,78,226
32,222,1187
74,32,-47
78,74,-80
88,78,16
32,88,-4
191,32,104
16,191,-74
86,16,406
84,86,125
78,84,73
32,78,257
89,32,-16
84,89,153
222,84,216
70,222,294
68,70,78
32,68,169
89,32,-36
74,89,119
16,74,-86
32,16,427
16,32,-58
55,55,-97
89,16,247
84,89,145
222,84,181
70,222,290
68,70,55
32,68,204
89,32,5
74,89,359
32,74,197
84,32,78
222,84,225
32,222,675
86,32,50
84,86,115
88,84,175
16,88,-85
16,16,300
32,16,564
191,32,121
90,191,273
66,90,81
89,66,112
70,89,49
89,70,34
80,89,188
74,80,2175
68,74,46
78,68,78
67,78,104
67,67,74
69,67,204
82,69,472
67,82,215
66,67,355
32,66,1916
90,32,41
75,90,138
76,75,57
32,76,94
75,32,746
70,75,66
66,70,620
72,66,84
84,72,40
78,84,42
70,78,105
86,70,89
32,86,173
81,32,16
83,81,163
89,83,320
222,89,620
70,222,2139
68,70,78
32,68,848
77,32,-42
89,77,30
84,89,117
88,84,210
74,88,210
32,74,72
74,32,-31
78,74,-63
222,78,196
32,222,27
66,32,940
86,66,118
90,86,210
66,90,196
87,66,72
82,87,318
69,82,120
72,69,105
78,72,168
67,78,53
89,67,272
74,89,121
82,74,38
84,82,101
72,84,42
189,72,208
66,189,482
86,66,88
90,86,241
66,90,745
71,66,121
74,71,138
82,74,81
32,82,74
67,32,15
32,67,170
84,32,49
78,84,53
74,78,98
188,74,70
70,188,84
72,70,55
32,72,64
74,32,-52
71,74,30
32,71,56
75,32,17
70,75,136
66,70,47
72,66,87
84,72,82
78,84,43
70,78,90
86,70,89
16,86,-47
