up,down,timedelta
75,84,63
70,75,35
66,70,60
72,66,74
84,72,183
8,84,503
82,8,332
8,82,38
8,8,49
82,8,229
82,82,862
78,82,526
70,78,48
86,70,16
32,86,61
86,32,43
74,86,87
82,74,91
70,82,103
8,70,426
8,8,55
8,8,61
74,8,623
82,74,126
74,82,131
82,74,116
32,82,110
70,32,-97
89,70,77
32,89,60
74,32,-43
89,74,87
222,89,215
70,222,265
68,70,60
32,68,234
77,32,-48
89,77,34
84,89,100
88,84,163
74,88,67
32,74,761
77,32,-69
78,77,-75
67,78,-3
84,67,530
32,84,-15
74,32,-36
78,74,-31
32,78,87
191,32,83
16,191,-59
70,16,95
82,70,90
66,82,51
89,66,99
90,89,52
74,90,143
78,74,65
67,78,63
66,67,527
8,66,200
78,8,573
32,78,204
84,32,16
66,84,41
89,66,98
84,89,51
88,84,189
69,88,225
80,69,147
66,80,346
32,66,316
84,32,29
74,84,129
89,74,85
77,89,163
75,77,86
84,75,31
78,84,23
66,78,104
72,66,82
70,72,55
68,70,138
76,68,97
84,76,212
72,84,57
71,72,48
32,71,5
74,32,-32
89,74,72
222,89,191
70,222,230
68,70,68
32,68,186
77,32,-46
89,77,54
84,89,104
88,84,197
74,88,123
32,74,172
66,32,-5
66,66,73
87,66,71
82,87,259
69,82,210
72,69,18
8,72,195
78,8,319
67,78,53
89,67,51
74,89,88
82,74,32
84,82,131
72,84,66
189,72,663
66,189,254
66,66,74
71,66,82
74,71,167
82,74,77
32,82,237
66,32,45
66,66,93
89,66,105
70,89,109
80,70,767
74,80,502
67,74,66
32,67,86
66,32,-31
72,66,87
71,72,63
16,71,11
32,16,-15
191,32,54
83,191,135
67,83,314
89,67,312
70,89,95
190,70,252
89,190,392
32,89,282
84,32,29
66,84,45
82,66,-4
67,82,91
84,67,57
88,84,65
66,88,106
78,66,80
67,78,5
66,67,93
72,66,88
74,72,184
75,74,68
74,75,191
82,74,97
32,82,-75
66,32,23
32,66,99
84,32,15
83,84,181
89,83,53
89,89,61
74,89,136
66,74,133
87,66,60
66,87,151
80,66,184
74,80,309
71,74,47
86,71,133
74,86,102
82,74,40
32,82,-9
84,32,51
67,84,123
68,67,67
32,68,36
78,32,211
84,78,65
70,84,121
68,70,57
83,68,120
72,83,105
82,72,152
67,82,113
70,67,162
72,70,16
32,72,1065
74,32,-48
89,74,16
77,89,226
75,77,76
70,75,11
78,70,39
84,78,338
76,84,16
32,76,636
84,32,40
84,84,74
75,84,69
74,75,82
188,74,90
32,188,262
84,32,11
222,84,139
69,222,448
32,69,330
89,32,224
8,89,351
32,8,291
74,32,353
8,74,210
89,8,257
32,89,296
84,32,11
76,84,40
85,76,218
32,85,88
191,32,98
16,191,-70
80,16,242
70,80,237
72,70,37
188,72,196
74,188,216
219,74,1750
8,219,743
32,8,2968
86,32,-10
74,86,322
82,74,52
66,82,23
89,66,88
222,89,240
74,222,401
76,74,154
69,76,409
8,69,24
82,8,251
222,82,173
32,222,1650
81,32,26
83,81,189
89,83,59
89,89,57
70,89,89
78,70,-5
74,78,882
188,74,1673
70,188,165
72,70,39
74,72,87
72,74,85
71,72,-16
32,71,81
81,32,16
8,81,363
8,8,64
32,8,393
87,32,29
8,87,10
32,8,292
74,32,183
188,74,133
74,188,151
67,74,40
32,67,53
78,32,-31
84,78,35
90,84,183
75,90,11
68,75,124
70,68,106
78,70,505
67,78,69
8,67,61
86,8,329
76,86,201
84,76,103
72,84,66
71,72,57
32,71,75
81,32,5
84,81,208
74,84,64
68,74,33
67,68,94
32,67,76
66,32,-21
78,66,96
69,78,211
67,69,130
32,67,80
74,32,-31
71,74,55
32,71,142
75,32,-5
70,75,124
66,70,28
72,66,79
84,72,28
78,84,55
70,78,53
86,70,49
32,86,108
78,32,-37
74,78,10
78,74,-48
16,78,130
222,222,-96
32,16,253
191,32,84
82,191,47
84,82,639
75,84,197
70,75,168
82,70,79
32,82,83
84,32,23
68,84,296
74,68,17
89,74,90
67,89,88
74,67,74
32,74,121
70,32,16
89,70,16
32,89,72
84,32,221
222,84,179
69,222,304
32,69,250
90,32,29
67,90,42
78,67,171
84,78,60
70,84,113
75,70,178
84,75,68
76,84,51
32,76,119
81,32,5
83,81,138
72,83,261
74,72,83
78,74,45
74,78,64
82,74,54
32,82,-4
191,32,108
16,191,-60
75,16,225
70,75,152
66,70,-42
72,66,78
84,72,57
78,84,26
70,78,106
86,70,44
32,86,355
74,32,-37
78,74,-31
222,78,158
32,222,298
90,32,34
66,90,50
87,66,143
82,87,313
69,82,110
72,69,53
78,72,181
67,78,59
89,67,55
74,89,100
82,74,4
84,82,93
72,84,15
189,72,268
8,189,325
187,8,983
90,187,446
66,90,86
71,66,65
74,71,154
82,74,36
32,82,34
70,32,11
16,70,-80
32,16,7535
191,32,102
66,191,269
66,66,86
89,66,101
66,89,92
75,66,115
32,75,149
86,32,40
74,86,81
72,74,73
74,72,146
78,74,106
82,78,39
70,82,40
72,70,42
70,72,58
219,70,41
32,219,334
90,32,16
70,90,205
68,70,60
66,68,77
88,66,33
89,88,330
70,89,877
82,70,262
70,82,47
80,70,16
32,80,259
66,32,-36
32,66,365
66,32,159
66,66,61
87,66,71
8,87,95
69,8,647
66,69,69
80,66,218
74,80,342
71,74,17
86,71,154
8,86,638
71,8,751
74,71,301
82,74,745
32,82,731
78,32,-38
74,78,94
32,74,58
90,32,17
70,90,222
89,70,10
66,89,144
88,66,224
70,88,154
89,70,35
32,89,87
191,32,83
16,191,-70
70,16,141
82,70,72
66,82,51
89,66,98
88,89,49
74,88,444
78,74,62
67,78,70
66,67,45
32,66,358
83,32,10
67,83,228
89,67,397
70,89,146
190,70,279
89,190,422
8,89,44
72,8,249
32,72,222
84,32,37
67,84,103
68,67,66
32,68,15
78,32,-37
84,78,30
90,84,202
72,90,40
74,72,70
78,74,77
68,78,65
74,68,123
71,74,71
32,71,-27
70,32,42
89,70,-4
74,89,76
32,74,109
191,32,131
16,191,-90
84,16,226
66,84,44
89,66,98
84,89,65
73,84,5
74,73,194
89,74,93
78,89,114
74,78,98
32,74,315
84,32,37
74,84,5
86,74,40
90,86,148
72,90,100
71,72,81
32,71,102
84,32,-86
74,84,30
86,74,4
70,86,48
67,70,63
32,67,119
69,32,24
86,69,75
84,86,103
89,84,30
32,89,77
82,32,47
32,82,84
78,32,-31
84,78,217
84,84,240
86,84,65
66,86,38
32,66,232
66,32,11
32,66,86
70,32,-15
75,70,46
70,75,72
89,70,50
66,89,88
85,66,102
66,85,91
72,66,83
74,72,88
32,74,34
67,32,4
32,67,165
74,32,-32
89,74,98
89,89,52
84,89,53
68,84,126
78,68,26
67,78,62
76,67,155
84,76,97
72,84,46
67,72,453
74,67,142
71,74,54
84,71,101
89,84,44
32,89,48
90,32,26
67,90,35
78,67,191
84,78,58
70,84,148
86,70,66
66,86,149
89,66,95
67,89,51
77,67,1801
75,77,104
8,75,816
8,8,86
32,8,4135
74,32,-71
78,74,-87
88,78,-9
32,88,479
191,32,133
16,191,-90
8,16,176
32,8,258
74,32,-19
78,74,-64
222,78,176
32,222,547
70,32,99
82,70,27
188,82,242
76,188,94
70,76,58
82,70,84
16,82,-48
32,16,28
191,32,82
8,191,335
32,8,268
81,32,284
74,81,110
82,74,148
77,82,166
75,77,79
70,75,41
82,70,88
8,82,25
69,8,232
32,69,503
66,32,-42
32,66,137
81,32,-4
84,81,384
66,84,108
87,66,48
8,87,919
81,8,903
82,81,286
69,82,168
72,69,90
78,72,100
67,78,5
89,67,74
74,89,133
82,74,-55
84,82,98
72,84,49
8,72,851
8,8,773
8,8,104
8,8,553
72,8,714
82,72,66
84,82,162
74,84,62
189,74,252
81,189,489
84,81,325
66,84,66
71,66,77
74,71,219
82,74,96
32,82,88
69,32,9
76,69,58
222,76,660
84,222,263
86,84,109
32,86,135
69,32,108
87,69,145
66,87,129
89,66,99
80,89,201
70,80,137
72,70,82
32,72,56
77,32,-31
78,77,81
70,78,41
86,70,-3
66,86,68
89,66,91
74,89,97
71,74,55
32,71,26
74,32,-54
89,74,64
222,89,239
70,222,518
68,70,68
32,68,283
84,32,9
222,84,150
32,222,424
82,32,35
70,82,36
78,70,-4
32,78,86
84,32,23
8,84,1126
8,8,95
8,8,56
32,8,636
84,32,-6
8,84,37
32,8,149
82,32,38
67,82,105
74,67,9
72,74,56
71,72,28
74,71,96
68,74,26
32,68,449
86,32,131
74,86,41
89,74,79
89,89,49
70,89,113
76,70,36
32,76,331
68,32,218
16,68,-85
32,16,189
191,32,119
81,191,106
84,81,249
67,84,178
66,67,846
71,66,89
8,71,224
89,8,849
67,89,0
74,67,49
72,74,87
32,72,110
219,32,40
66,219,209
78,66,75
222,78,213
32,222,789
90,32,16
66,90,0
89,66,1
70,89,424
68,70,59
74,68,127
68,74,88
78,68,51
67,78,-10
84,67,141
79,84,35
69,79,366
67,69,363
32,67,254
70,32,844
68,70,70
78,68,368
67,78,73
77,67,83
75,77,91
84,75,25
78,84,60
84,78,52
8,84,660
8,8,74
8,8,68
84,8,447
77,84,27
8,77,172
75,8,436
84,75,48
76,84,-4
66,76,321
68,66,-42
67,68,70
32,67,45
84,32,31
83,84,204
89,83,66
89,89,53
84,89,23
68,84,143
78,68,340
67,78,9
89,67,48
66,89,80
76,66,141
84,76,81
32,84,750
74,32,-64
78,74,-42
222,78,168
32,222,305
189,32,-26
32,189,278
8,32,248
8,8,78
8,8,79
8,8,65
32,8,620
189,32,-53
32,189,-4
32,32,526
88,32,347
66,88,76
68,66,48
84,68,329
70,84,153
75,70,-3
74,75,129
82,74,42
66,82,32
16,66,66
89,89,-75
32,16,53
65,32,33
77,65,379
75,77,89
74,75,98
76,74,126
70,76,79
16,70,-79
32,16,259
75,32,-5
66,75,234
68,66,-10
70,68,174
78,70,10
67,78,1590
74,67,132
32,74,73
86,32,16
70,86,84
89,70,34
32,89,682
84,32,25
83,84,205
72,83,218
74,72,85
78,74,67
74,78,80
82,74,39
32,82,864
191,32,126
16,191,-64
83,16,58
78,83,427
89,78,108
84,89,4
86,84,98
69,86,96
82,69,85
74,82,168
76,74,148
32,76,177
84,32,42
78,84,53
32,78,858
74,32,-70
78,74,-75
88,78,-31
32,88,43
191,32,80
16,191,-76
90,16,221
67,90,5
78,67,163
84,78,28
70,84,152
88,70,122
69,88,154
75,69,29
74,75,334
71,74,49
32,71,62
66,32,-5
32,66,405
8,32,127
191,8,370
83,191,422
78,83,248
70,78,126
72,70,63
78,72,106
69,78,50
32,69,180
84,32,50
66,84,65
73,66,128
77,73,87
75,77,65
74,75,66
188,74,71
32,188,134
77,32,-64
89,77,64
84,89,96
88,84,179
74,88,92
32,74,137
