up,timedelta,down
67,701950,89
16,701665,186
66,-1255,74
89,-1036,76
186,-911,8
74,-1006,186
76,-1085,69
8,-1054,219
186,-1012,32
69,-916,74
219,-836,85
32,-682,74
74,-590,78
85,-704,222
74,-1022,32
78,-1468,74
222,-1200,72
32,-1264,71
74,-1237,16
72,-6076,32
16,-6367,191
71,-6749,68
32,-1581,78
191,-970,67
68,-605,76
78,-683,84
67,-608,72
76,-664,67
84,-560,32
72,-581,219
67,-864,83
32,-815,89
219,-818,89
83,-649,84
89,-684,68
89,-718,78
84,-686,67
68,-710,84
78,-656,186
67,-754,74
84,-768,76
186,-864,8
74,-988,186
76,-983,69
8,-948,219
186,-1687,32
69,-1576,70
219,-1568,72
32,-650,74
70,-688,188
72,-803,83
74,-761,68
188,-5549,32
83,-5437,66
68,-5615,32
32,-733,66
66,-701,66
32,-1375,87
66,-1654,66
66,-1816,80
87,-1286,74
66,-941,71
80,-951,86
74,-768,74
71,-776,82
86,-3930,32
74,-3846,86
82,-3782,74
32,-627,86
86,-635,80
74,-949,66
86,-1002,75
80,-1240,70
66,-872,89
75,-957,74
70,-735,66
89,-753,87
74,-1406,70
66,-1231,72
87,-4269,32
70,-3564,8
72,-3600,8
32,-3500,32
8,-3374,66
8,-3351,86
32,-553,66
66,-690,85
86,-868,74
66,-850,72
85,-767,78
74,-618,67
72,-761,32
78,-581,83
67,-586,89
32,-649,84
83,-760,88
89,-932,84
84,-860,86
88,-1080,78
84,-896,74
86,-899,32
78,-612,191
74,-753,16
32,-858,8
16,-3078,32
191,-3154,83
8,-2706,78
32,-902,84
83,-913,186
78,-1088,190
84,-889,67
186,-1078,32
190,-950,84
67,-833,66
32,-749,82
84,-772,67
66,-807,81
82,-1075,84
67,-1152,75
81,-1106,188
84,-1086,66
75,-1025,188
188,-1082,32
66,-835,66
188,-766,32
32,-648,84
66,-618,66
32,-667,82
84,-613,67
66,-635,84
82,-672,88
67,-832,66
84,-768,85
88,-1019,74
66,-916,75
85,-871,74
74,-1015,65
75,-1312,66
74,-1335,86
65,-1000,189
66,-1209,74
86,-1334,82
189,-1317,66
74,-817,72
82,-719,74
66,-596,78
72,-610,67
74,-523,66
78,-3516,32
67,-3514,70
66,-3476,89
32,-4867,32
70,-4832,83
89,-4922,89
32,-832,84
83,-791,89
89,-1268,75
84,-1242,74
89,-1463,71
75,-1071,83
