down,up,timedelta
78,16,1074200
66,57,1074298
67,16,1074276
72,83,1074822
84,83,1074708
68,69,1074584
66,76,1074666
89,66,1075274
69,16,1075156
32,16,1074940
0,18,1074804
66,78,-3062
82,66,-2938
67,67,-2956
84,72,-3002
88,84,-3008
66,68,-2760
89,66,-2820
8,89,-2926
85,69,-3164
0,32,-3092
84,0,-3146
78,66,-2780
32,82,-4350
66,67,-4332
66,84,-4234
87,88,-4138
70,66,-4328
66,89,-4518
87,8,-4832
74,85,-4884
67,0,-4802
67,84,-4738
70,78,-4872
16,32,-3348
32,66,-4356
86,66,-4502
74,87,-4468
80,70,-4726
69,66,-4626
68,87,-4506
16,74,-4312
32,67,-4576
86,67,-4608
83,70,-4490
89,16,-4676
68,32,-3504
74,86,-3374
75,74,-3420
74,16,-3192
85,80,-3174
32,69,-4794
90,68,-4714
67,32,-3894
78,86,-3866
84,83,-3904
90,89,-5522
75,68,-5406
68,74,-5414
90,75,-5510
32,74,-6066
78,85,-6118
84,32,-4378
75,90,-4266
32,67,-4484
48,78,-4432
49,84,-4376
32,90,-3418
86,75,-3612
84,68,-3666
88,90,-3736
32,32,-3654
84,78,-3770
84,84,-3800
75,75,-3898
74,32,-4462
0,48,-4458
32,49,-5512
84,32,-5038
66,86,-4800
89,84,-4758
84,88,-4704
88,32,-4364
84,84,-4436
78,84,-4482
8,75,-4372
84,74,-3926
32,0,-4022
68,32,-2992
32,84,-4244
70,66,-4660
89,89,-4636
70,84,-4804
86,88,-4684
69,84,-4512
70,78,-4464
0,8,-4624
16,84,-4294
32,32,-4448
190,68,-4768
0,32,-4058
16,70,-3602
190,89,-3982
89,70,-3954
16,86,-3986
8,69,-3804
85,70,-4036
16,16,-3966
32,0,-4252
86,32,-4240
66,190,-3854
32,16,-3684
69,0,-4010
78,190,-3862
85,16,-3798
16,89,-3978
86,8,-4094
16,16,-4002
32,85,-4064
190,32,-3838
8,86,-3700
32,66,-4986
66,32,-4632
86,16,-4568
70,69,-4560
78,78,-4186
72,85,-4216
70,16,-3846
76,86,-3934
89,32,-4062
70,190,-4246
78,8,-4542
67,32,-3300
32,66,-3184
66,86,-3064
86,70,-3028
83,78,-3002
89,72,-2900
76,70,-2984
74,76,-3246
72,89,-2864
70,70,-2544
89,78,-2118
69,67,-2178
76,32,-2260
0,66,-2328
84,86,-2516
86,83,-2742
32,89,-2954
67,76,-2886
32,74,-4342
66,72,-4408
66,70,-4420
68,89,-4496
78,69,-4446
67,76,-4432
78,0,-5020
84,84,-5322
68,86,-5204
78,32,-5536
74,67,-5698
74,32,-4010
67,66,-3966
32,66,-4044
68,68,-3990
32,78,-4600
85,67,-4584
69,78,-4072
75,84,-3554
67,68,-3458
69,78,-3070
32,74,-3516
0,74,-3594
83,67,-3820
8,32,-3788
8,68,-3742
83,32,-3466
89,85,-3354
89,69,-3664
77,75,-3604
75,67,-3616
84,69,-3532
8,32,-2888
75,0,-3194
78,83,-2986
70,8,-3352
68,8,-3332
8,83,-3076
78,89,-3304
74,89,-2964
80,77,-3124
70,75,-3456
72,84,-3432
0,8,-3550
74,75,-3162
32,78,-3780
70,70,-3518
68,68,-3594
78,8,-3572
67,78,-3378
84,74,-3458
88,80,-3528
70,70,-3398
82,72,-3524
32,0,-3958
74,74,-3986
85,32,-3360
74,70,-3404
82,68,-4402
74,78,-4442
67,67,-4430
83,84,-4400
68,88,-4222
32,70,-4708
77,82,-4656
88,32,-4176
66,74,-5144
78,85,-5166
67,74,-4968
74,82,-4080
76,74,-3976
32,67,-5676
84,83,-5662
66,68,-5768
89,32,-4996
84,77,-4898
75,88,-4876
8,66,-3860
76,78,-4168
8,67,-4472
8,74,-4458
75,76,-4938
84,32,-3148
86,84,-3128
84,66,-3348
72,89,-3414
78,84,-3444
67,75,-3446
32,8,-3368
70,76,-3022
80,8,-2676
32,8,-3036
39,75,-2560
74,84,-3094
68,86,-3126
78,84,-2890
67,72,-2838
84,78,-3090
88,67,-3258
70,32,-3486
82,70,-3940
32,80,-4290
84,32,-4032
74,39,-3944
82,74,-3374
67,68,-3314
81,78,-3672
84,67,-4110
71,84,-3918
74,88,-3810
72,70,-4108
81,82,-3766
84,32,-3656
85,84,-3582
16,74,-3608
37,82,-4112
50,67,-5278
