down,timedelta,up
78,584853,89
0,584771,78
0,584786,66
84,584822,79
76,584956,70
32,584751,80
82,585835,69
66,586097,75
89,586061,74
78,586159,71
66,586011,32
79,585940,69
70,586124,76
80,585996,89
69,586051,70
75,584976,86
74,585224,74
71,585110,82
32,585169,32
69,584642,0
76,584794,69
89,585038,89
70,585267,68
86,585156,74
74,585144,89
82,585298,67
32,585684,74
0,585790,32
69,585802,70
89,585912,80
68,585905,16
74,586026,13
89,586155,190
67,587268,50
74,587245,16
32,587507,83
70,587493,76
80,587400,80
16,588418,8
13,588564,76
50,587678,84
16,587715,68
83,587428,80
8,587405,16
76,587308,32
80,587752,83
84,587701,89
68,587617,68
80,587389,84
16,587697,72
16,588713,87
16,588367,16
32,589170,50
83,588833,16
89,589907,32
84,589874,86
68,589975,74
72,589913,82
8,589681,66
8,589758,89
68,588939,89
72,588705,70
87,588529,78
16,588944,66
16,588687,71
32,588742,67
50,588521,74
16,588198,68
32,587722,32
86,587734,90
74,587773,67
82,587891,78
66,588835,84
89,589056,90
89,589144,75
70,589170,68
78,589125,90
66,589171,32
71,589089,72
67,588955,76
74,588909,89
68,588843,70
32,588824,67
90,588968,82
67,589248,84
78,589367,75
84,589359,70
90,589221,16
75,-30075,78
68,-29672,0
90,-29817,0
32,-30054,84
72,-30095,76
76,-29891,32
89,-29904,82
70,-29827,66
67,-29931,89
82,-30284,78
8,-29986,66
67,-30366,79
84,-30899,70
75,-30965,80
70,-31286,69
16,-29941,75
16,-29707,74
16,-29469,71
16,-29211,32
16,-28447,69
16,-28310,76
16,-28104,89
16,-28427,70
13,-30110,86
66,-30547,74
82,-30697,82
75,-30673,32
83,-30760,0
67,-30958,69
8,-31586,89
67,-31811,68
67,-31582,74
16,-31660,89
13,-30800,67
90,-31366,74
66,-31476,32
89,-31347,70
70,-31365,80
88,-31586,16
84,-31362,13
86,-30607,16
66,-31072,50
72,-30434,83
71,-30429,8
16,-30182,76
13,-30232,80
90,-30897,84
66,-31059,68
89,-30860,16
84,-32094,80
0,-31557,32
66,-31436,83
78,-31465,89
67,-31449,84
74,-31621,68
76,-31601,72
16,-31301,8
13,-31399,8
81,-32362,16
74,-32353,68
89,-32106,72
72,-31984,87
74,-31422,32
0,-31194,16
67,-31576,50
32,-30591,32
68,-30584,86
32,-30596,74
70,-30636,82
72,-30475,66
84,-30360,89
77,-30753,89
72,-30861,70
70,-30739,78
82,-31240,66
16,-31212,71
13,-31347,67
70,-31599,74
72,-31610,68
84,-31599,32
77,-31767,90
72,-31835,67
70,-31704,78
8,-31698,84
72,-32007,90
82,-31545,75
32,-32299,68
90,-31743,90
70,-31383,32
89,-31281,72
0,-31361,76
69,-31625,89
75,-32006,70
82,-32023,67
16,-31305,82
16,-31216,8
16,-30598,67
16,-29949,84
