down,up,timedelta
89,76,92
76,74,78
74,16,-88
16,32,130
32,190,1936
190,81,57
81,84,18
84,75,-26
75,84,-4
84,78,11
78,70,43
70,71,16
71,69,556
69,82,-79
82,74,-15
74,71,-80
71,32,77
32,90,-31
90,75,-59
75,76,-75
76,32,1525
32,81,29
81,74,19
74,89,-21
89,77,110
77,75,-58
75,84,6
84,78,328
78,70,57
70,82,-74
82,84,434
84,75,56
75,68,16
68,66,97
66,72,-36
72,71,-31
71,32,109
32,84,-2
84,84,61
84,75,75
75,74,-43
74,0,-21
0,32,198
32,0,-36
0,66,125
66,72,-79
72,84,-58
84,67,-3
67,32,86
32,77,-68
77,78,-120
78,70,-43
70,75,34
75,84,-15
84,76,5
76,67,147
67,32,156
32,83,-12
83,0,-23
0,74,-95
74,78,-72
78,88,-52
88,32,156
32,16,-47
190,190,-165
16,66,715
66,72,-47
72,84,11
84,65,487
65,81,381
81,84,-53
84,75,48
75,16,131
82,82,-96
16,32,174
32,74,1870
74,89,-85
89,89,52
89,84,-4
84,86,-38
86,66,72
66,8,153
8,86,576
86,32,125
32,78,-42
78,84,-32
84,76,31
76,69,-34
69,0,4
0,32,101
32,86,-58
86,83,11
83,89,24
89,68,29
68,70,-80
70,75,-36
75,85,-74
85,32,2071
32,86,-69
86,84,-36
84,88,-58
88,66,46
66,72,-70
72,71,-36
71,32,107
32,16,-66
190,190,-143
16,66,605
66,72,-58
72,81,288
81,84,87
84,65,-47
65,84,82
84,75,718
75,16,469
82,82,-112
16,32,287
32,173,-52
173,32,-28
32,86,2886
86,74,358
74,89,-64
89,74,-25
74,86,17
86,84,198
84,82,65
82,74,37
74,71,-47
71,32,279
32,86,-42
86,66,67
66,85,-53
85,69,-15
69,72,11
72,76,-47
76,32,50
32,67,-32
67,32,162
32,84,-4
84,78,-18
78,67,66
67,84,-21
84,86,-22
86,68,-18
68,32,540
32,66,258
66,66,63
66,72,-36
72,84,-36
84,67,-42
67,32,207
32,86,-32
86,74,150
74,89,-63
89,70,24
70,86,-75
86,67,966
67,66,147
66,75,-57
75,70,17
70,78,15
78,32,468
32,78,-63
78,84,-32
84,76,41
76,69,-31
69,0,5
0,32,197
32,69,5
69,88,-74
88,70,6
70,82,-74
82,66,244
66,16,121
71,71,-101
16,32,199
32,74,-90
74,78,-111
78,88,-31
88,32,22
32,190,-50
190,16,-154
16,77,183
77,67,-32
67,74,301
74,75,-64
75,70,10
70,85,770
85,70,136
70,75,81
75,74,-69
74,71,-37
71,76,102
76,84,45
84,72,33
72,71,-47
71,32,336
32,84,12
84,75,26
75,70,70
70,88,-64
88,70,-26
70,89,40
89,16,157
68,68,-144
16,13,587
13,8,413
8,32,845
32,190,23
190,70,7
70,82,-84
82,88,56
88,74,168
74,0,93
0,69,-5
69,72,16
72,82,32
82,32,266
32,0,-32
