down,timedelta,up
70,765914,89
68,765871,70
74,765857,72
80,765788,84
77,766239,8
75,766288,8
74,766924,72
71,767082,70
67,766547,86
66,767530,74
32,767373,71
90,767417,16
66,767590,32
68,767604,90
74,767653,90
75,767838,89
67,767662,76
69,768052,84
16,767848,72
32,767546,84
191,768276,71
86,768618,16
67,769067,32
32,767954,189
84,767916,8
84,768072,32
89,768115,85
188,768152,72
74,768064,69
72,768249,188
8,767975,89
8,767480,84
86,768034,82
74,769079,84
76,769594,86
74,769730,16
71,769851,32
16,769635,84
32,769087,75
191,769032,86
90,769017,84
66,768967,80
68,769929,32
74,769951,68
75,770272,32
67,770228,191
69,770172,16
32,770232,66
84,770312,66
83,770303,89
89,770191,70
77,770302,86
75,770435,72
84,770457,84
78,770658,85
66,770647,16
89,771043,32
75,770930,68
74,771030,32
71,771065,70
74,771068,89
76,771124,69
32,769443,86
77,769193,86
78,769385,74
70,769033,82
68,769158,32
74,767832,189
68,768021,87
78,768915,70
67,768901,68
81,768764,74
84,768616,75
76,769183,188
32,769165,16
78,-20840,70
69,-20791,68
85,-20791,74
74,-20731,80
86,-20359,77
32,-20807,75
219,-21889,74
90,-22520,71
70,-22005,67
88,-22249,66
69,-21772,32
75,-21781,90
67,-21599,66
32,-21894,68
219,-21913,74
83,-22077,75
89,-21953,67
77,-21758,16
75,-21832,69
84,-21176,32
76,-21138,191
78,-21247,86
74,-21321,67
32,-20299,32
68,-19902,84
32,-22334,84
66,-22209,89
66,-22013,188
80,-22030,74
89,-22552,72
84,-21944,8
87,-21358,8
66,-21237,86
75,-21036,74
32,-21060,76
74,-20954,74
71,-20797,16
32,-23181,71
89,-22375,32
84,-22358,191
71,-22317,90
69,-22303,66
78,-22231,68
67,-22262,74
74,-22330,75
76,-22307,67
32,-22346,69
78,-22240,32
67,-22264,84
82,-22214,83
84,-22170,89
78,-22358,77
16,-22597,75
13,-22744,84
191,-23119,78
51,-23202,66
48,-23378,89
54,-25941,75
16,-25914,74
16,-26133,71
18,-26014,74
8,-26233,76
54,-24806,32
16,-24571,77
8,-25873,78
16,-25763,70
18,-25616,68
54,-24825,74
16,-24750,68
16,-24711,78
16,-24632,67
16,-24391,81
16,-24180,84
16,-24161,76
16,-23962,32
16,-23904,78
16,-23809,69
16,-23767,85
16,-23660,74
16,-23629,86
16,-23184,32
16,-21947,219
16,-21755,90
16,-21738,70
18,-21329,88
48,-21798,69
50,-21840,75
32,-22395,67
68,-22043,32
32,-22943,219
55,-23899,83
49,-23912,89
48,-23999,77
50,-24011,75
32,-24482,84
90,-24504,76
89,-24404,78
190,-24729,74
66,-25031,32
32,-25275,68
49,-22778,32
32,-23514,66
70,-23439,66
89,-23322,80
70,-22860,89
68,-22933,84
74,-22861,87
72,-22661,66
66,-22768,75
78,-22742,32
82,-22781,74
70,-22859,71
76,-20615,32
84,-20626,89
72,-20530,84
78,-20506,71
74,-20526,69
32,-21646,78
70,-21688,67
75,-22031,74
83,-22080,76
188,-21892,32
32,-21963,78
80,-21995,67
70,-22108,82
72,-21998,84
32,-21936,78
81,-22018,16
66,-21596,13
89,-21256,191
76,-21236,51
84,-21086,48
75,-18754,16
67,-18556,54
74,-18330,16
71,-18340,18
32,-18362,8
70,-18148,16
8,-18121,54
68,-17340,8
87,-17576,16
66,-17816,17
89,-17850,18
70,-17468,16
72,-17294,54
78,-16286,18
67,-16331,17
32,-16515,16
70,-15897,48
78,-15912,50
222,-15591,32
16,-15905,68
13,-15440,32
191,-15700,55
66,-16188,49
66,-16154,48
89,-16154,50
70,-15711,32
72,-15701,90
84,-15650,89
86,-15341,190
74,-15054,66
71,-14975,32
16,-14957,49
32,-14354,32
81,-14369,70
84,-14476,89
89,-14470,70
76,-14568,68
84,-14557,74
72,-14595,72
84,-14553,66
71,-14681,78
16,-14650,82
32,-14646,70
189,-14648,76
70,-14758,84
85,-14771,72
8,-14788,78
82,-14995,74
72,-14179,32
69,-14213,70
188,-13882,75
89,-14033,83
84,-14201,188
75,-14157,32
84,-14232,80
82,-14185,70
8,-14327,72
76,-14496,32
84,-14849,81
86,-15000,66
16,-15030,89
32,-15106,76
70,-15116,84
76,-15137,75
74,-15264,67
72,-15234,74
74,-15335,71
85,-15371,32
16,-15587,70
32,-15772,8
69,-15517,68
78,-15229,87
66,-15069,66
68,-15183,89
70,-15384,70
65,-15646,72
75,-15747,78
70,-16016,67
32,-16047,32
74,-16083,70
71,-15987,78
32,-15843,16
83,-16842,222
78,-16128,13
82,-14838,191
89,-14142,66
69,-14164,66
71,-14315,89
32,-14409,70
84,-14382,72
83,-14499,84
89,-14446,86
89,-14471,74
84,-14450,16
75,-14505,71
84,-14267,32
67,-14357,81
70,-14295,84
89,-14594,89
16,-14586,76
32,-14824,84
66,-16236,72
66,-16300,84
72,-16173,16
74,-16328,71
85,-16403,32
84,-16413,189
78,-16246,70
70,-16225,85
82,-16282,8
16,-16272,82
13,-16378,72
191,-17203,69
84,-18063,188
84,-17917,89
32,-17889,84
68,-17858,75
66,-17985,84
89,-17776,82
75,-17775,8
74,-17605,76
71,-17283,84
74,-17135,16
76,-17148,86
32,-17312,32
191,-19669,70
16,-19589,76
69,-19567,74
8,-20238,72
16,-20318,74
8,-20198,16
32,-20487,85
87,-20003,32
78,-20107,69
82,-20085,78
84,-20172,66
74,-20084,68
72,-19843,70
71,-19535,65
32,-19462,75
77,-19254,70
88,-19086,32
74,-19169,74
86,-19125,71
74,-19245,32
71,-18291,83
32,-19356,78
84,-19243,82
78,-19164,89
84,-19094,69
186,-18982,71
74,-19137,32
86,-19143,84
32,-19096,83
83,-19143,89
68,-19237,89
16,-19211,84
32,-19342,75
191,-19309,84
66,-19926,67
66,-19875,70
89,-19591,89
70,-19706,16
72,-19185,32
84,-17756,66
86,-17732,66
74,-17692,72
71,-17923,74
16,-17579,85
16,-17942,84
32,-18237,78
81,-18166,70
84,-18269,16
89,-18326,82
76,-17730,13
84,-16906,191
72,-15984,84
84,-15932,84
71,-16145,32
16,-16191,68
32,-15986,66
