timedelta,down,up
1185184,80,37
1184761,66,37
1184297,75,37
1184027,70,37
1183853,89,37
1183646,74,37
1183479,66,37
1183143,87,37
1182456,70,37
1182297,72,37
1179873,32,37
1180175,66,37
1182309,32,219
1181798,82,66
1181878,84,82
1181957,186,67
1181863,72,89
1181870,84,66
1181894,76,87
1181406,80,66
1181629,66,76
1178422,32,84
1178352,190,86
1178238,66,189
1177958,87,189
1177604,70,189
1177830,80,74
1177525,66,89
1177486,86,89
1177390,66,84
1177478,78,74
1177454,71,68
1178015,74,76
1177966,32,90
1177998,70,72
1178126,89,69
1175495,32,70
1175303,70,80
1181440,8,32
1181080,66,90
1181046,89,66
1181047,84,89
1180911,75,70
1180686,68,68
1180713,70,74
1180528,72,89
1180520,71,84
1180543,70,86
1180543,89,66
1180679,32,70
1180661,70,89
1180879,82,32
1180677,66,90
1180463,78,75
1180341,67,76
1181936,66,32
1181902,85,90
1181895,74,66
1181806,75,89
1182062,16,70
1182196,16,68
1182660,16,80
1183354,16,32
1183483,16,74
1183592,16,85
1183727,16,74
1183982,16,82
1184206,16,67
1184470,16,89
1184650,16,66
1184874,16,74
1184581,16,68
1185239,32,32
1184702,191,85
1183614,66,74
1183630,86,75
1183702,70,70
1183709,82,89
1183463,74,70
1184535,78,32
1185142,74,109
1185086,71,109
1184734,32,109
1185536,66,32
1185951,86,48
1185999,83,16
1187044,68,39
1186574,74,39
1186382,67,39
1185990,89,39
1185825,70,39
1185642,89,39
1185443,66,39
1185647,65,39
1183144,32,32
1183174,84,81
1183054,186,83
1182822,82,89
1182526,70,89
1182510,78,84
1182141,32,74
1182024,70,68
1184366,8,37
1184103,68,37
1183451,32,37
1182937,191,37
1183415,16,37
1188781,16,50
1189172,16,16
1189484,16,88
1189699,16,70
1189382,16,72
1185110,66,68
1185344,66,189
1185278,87,8
1185399,70,187
1185576,86,76
1185551,72,90
1185519,74,72
1185408,65,69
1184767,89,70
1184879,66,80
1185352,32,50
1185558,66,16
1185566,86,32
1185655,70,54
1185520,82,16
1185159,74,16
1185040,78,16
1184898,74,16
1184738,71,16
1183955,32,16
1183812,66,16
1183702,86,16
1183479,66,16
1183144,79,16
1182913,190,16
1182568,69,16
1182396,68,16
1182115,78,16
1181910,67,16
1181573,78,16
1181375,84,16
1181191,68,16
1180832,78,16
1180617,74,16
1180286,74,16
1180077,67,16
1176885,32,16
1176710,84,16
1176542,66,16
1176400,89,16
1176249,84,16
1176002,75,16
1175578,68,16
1175420,70,16
1175252,72,16
1175117,71,16
1174831,69,16
1174671,32,16
1174552,84,16
1174258,186,16
1173875,82,16
1173815,70,16
1173887,78,74
1170599,32,89
1170504,90,77
1170543,188,75
1170143,8,66
1169158,190,68
1168942,84,70
1168942,67,72
1168902,32,71
1170398,68,57
1170231,32,16
1170103,78,16
1169873,84,16
1169721,70,16
1169878,88,16
1169758,190,32
1170278,75,88
1170359,82,70
1170327,68,72
1170229,32,68
1170366,84,189
1170422,66,76
1171671,78,90
1171591,90,72
1171750,89,69
1171693,74,70
1171831,71,80
1171401,16,16
1170481,32,16
1168867,191,16
1168156,48,16
1168013,16,16
1167792,74,16
1167631,85,16
1167344,84,16
1167002,88,16
1166570,74,16
1166451,72,16
1166284,71,16
1166038,32,16
1165926,66,16
1165767,32,16
1165638,66,16
1165481,82,16
1165258,66,16
1165108,89,16
1164781,219,16
1164437,84,16
1164198,78,16
1163712,57,16
1163736,16,16
1163736,16,16
1163737,16,16
1163735,16,16
1163269,16,16
1162941,32,16
1161742,90,16
1161375,72,16
1161168,70,16
1160977,78,16
1160705,89,16
1160556,84,16
1160349,68,16
1159998,89,16
1159804,66,16
1159646,32,16
1159496,74,16
1159354,85,16
1159219,74,16
1159059,68,16
1158613,74,16
1158485,78,16
1158327,74,16
1158149,85,16
1157680,32,16
1157544,66,16
1156770,32,16
1155923,81,16
1155747,84,16
1155446,75,16
1155119,70,16
1154928,78,16
1154697,84,16
1154298,76,16
1151546,32,16
1150955,191,16
1150515,16,16
1148758,68,16
1148549,74,16
1148431,75,16
1148137,70,16
1147947,66,16
1147820,72,16
1148127,84,16
1149031,78,13
1149757,70,88
1149974,86,70
1148093,32,72
1148118,90,68
1148551,66,189
1149646,89,76
1149823,84,90
1149903,89,72
1150109,70,69
1150142,72,70
1150014,219,80
1149710,8,16
1150830,8,16
1146590,72,17
1146472,67,8
1145943,32,8
1145833,66,8
1145651,32,8
1145523,66,8
1145179,186,8
1144341,70,8
1144022,76,8
1143446,74,8
1143328,72,8
1143184,71,8
1142040,32,8
1142061,191,8
1144385,16,72
1144601,16,68
1145520,16,189
1147078,16,76
1148796,16,90
1149012,16,72
1149428,16,69
1149593,16,70
1149978,16,80
1150338,16,16
-123934,16,70
-123632,16,80
-123177,16,66
-122707,16,75
-122450,16,70
-122285,16,89
-122511,16,74
-123192,66,66
-123184,82,87
-123016,80,70
-123104,74,72
-120936,68,32
-120927,84,66
-119368,72,32
-118144,84,82
-117873,71,84
-118311,32,186
-118240,191,72
-118144,16,84
-118905,66,76
-117768,82,80
-117830,71,66
-114712,69,32
-114575,82,190
-114424,70,66
-114498,80,87
-117609,32,70
-117682,8,80
-117401,8,66
-117426,8,86
-117328,8,66
-117863,32,78
-117968,54,71
-117713,54,74
-117329,54,32
-117175,54,70
-117441,16,89
-114657,16,32
-114201,16,70
-114082,16,8
-113482,16,66
-113341,16,89
-113196,16,84
-112861,16,75
-112510,16,68
-112328,16,70
-112010,16,72
-111858,16,71
-111667,16,70
-111492,16,89
-111309,16,32
-111150,16,70
-111015,16,82
-110672,16,66
-110329,16,78
-110100,16,67
-109907,16,66
-109675,16,85
-110000,16,74
-111583,90,16
-111672,66,75
-109958,89,32
-108486,84,191
-107614,186,66
-107961,8,86
-108079,79,70
-108350,188,82
-108304,70,74
-108328,89,78
-108600,67,74
-108638,32,71
-108367,84,32
-108736,67,66
-108753,67,86
-108583,84,83
-108696,87,68
-108456,74,74
-108384,72,67
-108143,71,89
-108272,32,70
-108232,68,89
-109008,32,66
-110529,66,65
-107560,86,32
-107592,70,84
-107424,82,186
-107391,74,82
-107128,78,70
-107121,74,78
-106705,71,32
-106607,32,70
-106622,66,8
-106176,86,68
-105871,83,32
-105766,89,16
-105921,77,191
-100760,75,66
-100801,70,66
-100944,66,87
-100583,72,70
-100591,84,86
