up,timedelta,down
32,925596,32
82,925489,84
70,925601,66
89,925554,89
80,926107,70
32,926516,88
68,926353,84
32,929673,86
82,929642,66
66,929594,72
89,929721,71
76,929873,32
80,929980,74
70,930236,78
72,929805,8
71,929773,8
32,930627,8
81,930722,8
83,929929,32
89,930325,74
76,930618,78
74,930855,32
72,930708,222
70,930565,16
89,930243,32
32,929286,191
81,928249,84
66,928380,84
82,928252,32
67,928321,68
89,928273,66
70,928263,89
68,928052,75
67,928088,74
32,930275,71
81,930134,74
66,930121,76
89,930016,32
68,929937,69
84,930181,78
72,930209,82
76,930505,84
32,931991,74
189,932638,72
32,933661,71
70,935616,32
188,935642,77
74,936133,88
72,936036,74
71,936106,86
86,935898,74
70,936081,71
75,935128,32
16,935385,84
71,-23687,78
32,-20324,84
84,-20284,186
66,-20665,74
89,-20636,86
70,-21084,32
88,-21035,83
84,-20994,68
86,-20867,16
66,-20745,16
72,-20570,16
71,-21012,16
32,-21266,32
74,-21563,191
78,-22523,84
8,-22360,72
8,-22431,69
8,-22466,78
8,-22560,77
32,-21692,75
74,-21748,69
78,-21805,82
32,-21523,32
222,-21774,74
16,-21981,32
32,-22575,66
191,-19199,77
84,-18332,78
84,-18261,70
32,-18120,78
68,-18087,67
66,-18408,32
89,-19535,70
75,-19313,82
74,-19312,68
71,-19356,74
74,-19103,78
76,-19021,74
32,-18663,85
69,-18740,70
78,-18730,80
82,-19006,32
84,-18943,74
74,-18973,78
72,-19154,222
71,-19062,16
32,-18929,16
77,-18771,16
88,-19139,16
74,-19303,32
86,-20456,191
74,-20347,84
71,-20388,84
32,-19291,32
84,-19349,68
78,-19461,66
84,-19517,89
186,-19637,75
74,-19292,74
86,-19294,71
32,-19021,74
83,-19134,76
68,-19545,32
16,-20187,191
32,-19331,16
191,-19253,69
84,-18370,78
72,-18072,82
69,-18021,84
78,-17942,74
77,-17896,72
75,-17834,71
69,-17832,32
82,-17831,77
32,-17766,88
74,-17832,74
32,-17526,86
66,-16296,74
77,-16166,71
78,-19411,32
70,-19355,84
78,-19310,78
67,-19326,84
32,-18918,186
70,-17943,74
82,-17901,86
68,-18808,32
74,-18945,83
78,-19078,68
74,-19111,16
85,-19104,32
70,-19043,191
80,-19482,8
32,-19470,8
74,-19522,8
78,-19547,8
222,-19387,8
16,-19818,86
32,-19112,32
191,-18001,83
84,-17971,68
84,-18022,16
32,-18251,32
68,-18840,66
66,-18828,66
89,-19004,80
75,-19301,69
74,-19516,72
71,-19662,85
74,-19412,16
76,-19315,32
32,-18883,74
16,-18640,32
191,-18734,66
69,-18809,77
78,-18693,78
82,-18740,70
84,-18617,78
74,-18682,67
72,-19642,32
71,-19710,70
32,-19733,82
77,-19747,68
88,-19901,74
74,-19737,78
86,-19847,74
74,-19778,85
71,-19871,70
32,-16490,80
84,-17754,32
78,-17870,74
84,-17885,78
186,-18078,222
74,-17684,16
86,-17579,16
32,-16450,16
83,-16198,16
68,-15871,16
16,-15903,16
32,-15513,16
191,-15292,16
8,-14714,16
8,-14348,16
8,-14599,16
8,-15425,16
8,-17030,13
86,-17312,76
32,-17218,74
83,-17206,82
68,-17016,32
16,-17183,77
32,-16507,78
66,-15949,66
66,-15925,68
80,-15730,70
69,-15621,72
72,-15332,72
16,-15299,71
85,-15715,220
32,-16013,77
74,-15992,78
32,-15853,66
66,-15784,68
77,-15302,70
78,-15292,72
70,-15312,71
78,-15540,32
67,-21183,90
32,-20180,66
70,-20193,89
82,-20105,70
68,-20103,88
74,-20663,84
78,-20653,86
74,-20659,66
85,-20678,72
70,-20420,71
80,-20648,13
32,-22132,76
74,-22271,74
78,-22204,82
222,-21916,32
16,-22080,77
16,-20822,78
13,-18771,66
76,-18200,68
74,-18139,70
82,-18564,72
32,-18580,71
77,-18841,220
78,-19429,77
66,-19434,78
68,-19484,66
70,-19396,68
72,-19142,70
72,-19782,8
71,-19800,8
220,-19556,8
77,-19174,8
78,-19208,8
66,-20690,77
68,-21057,78
70,-21048,66
72,-21026,70
71,-21073,70
32,-20990,72
90,-15214,71
66,-15896,32
89,-15856,84
70,-15915,186
88,-16604,82
84,-15833,70
86,-15804,78
66,-15864,32
72,-15722,84
71,-15691,78
13,-15440,66
76,-12709,72
74,-12537,78
82,-12618,74
32,-12677,86
77,-12717,67
78,-13958,13
66,-31709,76
68,-31954,74
70,-31894,82
72,-31456,32
71,-31488,77
220,-31290,78
77,-30658,66
78,-30656,68
66,-30627,70
68,-30710,72
70,-30624,71
8,-31071,220
8,-33018,77
8,-32963,78
8,-32962,66
8,-32941,68
77,-31767,70
78,-31447,72
66,-32098,8
70,-32390,8
70,-32337,8
72,-32327,8
71,-32368,8
32,-31718,8
84,-32646,78
186,-32635,66
82,-31881,68
70,-31929,70
78,-31928,72
32,-31887,72
84,-31965,71
78,-32484,32
66,-32506,84
72,-32488,66
78,-32511,89
74,-32466,70
86,-32350,68
67,-32349,74
13,-31090,89
76,-13485,76
74,-13482,80
82,-13917,70
32,-14020,72
77,-14045,71
78,-14013,16
66,-15151,13
68,-17721,89
