up,timedelta,down
70,-17830,84
72,-17787,73
71,-17936,72
220,-16923,84
77,-15089,68
78,-15168,70
66,-15137,80
68,-16056,32
70,-15714,84
72,-15741,89
8,-15539,32
8,-15299,75
8,-15826,84
8,-15822,8
8,-16244,75
8,-16497,76
78,-15679,80
66,-15812,70
68,-15837,72
70,-16511,32
72,-16549,78
72,-16535,74
71,-16564,78
32,-16268,222
84,-16363,13
66,-23231,76
89,-23366,74
70,-23410,82
68,-23355,32
74,-23417,77
89,-23409,78
76,-23216,66
80,-22993,68
70,-22595,70
72,-22762,72
71,-22772,71
16,-23940,220
13,-23808,77
89,-21281,78
84,-21149,66
73,-21095,68
72,-20937,70
84,-20888,72
68,-20789,71
70,-21406,32
80,-37082,67
32,-39547,77
84,-39534,78
89,-39489,83
32,-38938,72
75,-39030,82
84,-38931,32
8,-53278,66
75,-52813,66
76,-52770,76
80,-53147,84
70,-52992,71
72,-53084,74
32,-52380,75
78,-52426,82
74,-52516,66
78,-52495,87
222,-52546,89
13,-52643,222
76,-46129,32
74,-45883,81
82,-45923,74
32,-45955,89
77,-46050,76
78,-46259,74
66,-46246,188
68,-46451,74
70,-46370,68
72,-46278,67
71,-48016,37
220,-47236,37
77,-46139,37
78,-46960,39
66,-46790,39
68,-46695,39
70,-46530,39
72,-46371,39
71,-46211,39
32,-45378,39
67,-29406,39
77,-26055,39
78,-25912,39
83,-25864,39
72,-25718,39
82,-25438,39
32,-24873,39
66,-10373,39
66,-10175,39
76,-9845,39
84,-9250,39
71,-9114,39
74,-8856,39
75,-8661,39
82,-8429,39
66,-8197,39
87,-8078,39
89,-7667,39
222,-7283,39
32,-7320,39
81,-7735,38
74,-8867,13
89,-9280,32
76,-9665,189
74,-10568,8
188,-10978,8
74,-10859,8
68,-11627,32
67,-11548,189
37,-10114,39
37,-11633,32
37,-11621,66
39,-10706,66
38,-9247,76
13,-8392,84
32,-8025,71
189,-7555,66
8,-6441,82
8,-5993,66
8,-6118,68
32,-6211,16
189,-5399,32
39,-5129,80
32,-3717,66
66,-4181,32
66,-4241,75
76,-4132,70
84,-3818,66
71,-3809,72
66,-3657,84
82,-3808,78
66,-3774,70
16,-3705,86
68,-3993,16
32,-4272,13
80,-8338,70
66,-8035,188
32,-7771,74
75,-7767,72
70,-7786,71
66,-7814,86
72,-11299,70
84,-11906,75
78,-11648,16
70,-11534,16
86,-11785,16
16,-13246,38
13,-13231,13
70,-12374,90
188,-12334,66
74,-11953,72
72,-11941,74
71,-11910,78
86,-11876,67
70,-8527,66
75,-7900,16
16,-8407,13
38,-8878,66
13,-8190,82
90,-5002,75
66,-5223,8
72,-5854,76
74,-6035,83
78,-6145,67
67,-6141,67
66,-6160,13
16,-7056,90
13,-6604,66
66,-4310,89
82,-4297,70
75,-4440,88
8,-4462,84
76,-4328,86
83,-5195,66
67,-5011,72
67,-5003,71
13,-5518,13
90,-5148,84
66,-5185,186
89,-5655,82
70,-5744,70
88,-5620,78
84,-5434,32
86,-5018,191
66,-4717,86
72,-4756,67
71,-4984,13
13,-5140,84
84,-4806,66
186,-4755,89
82,-4093,70
70,-3913,68
78,-3986,74
32,-3915,89
191,-3931,76
86,-3317,80
67,-3446,70
13,-3191,72
84,-2396,71
66,-3464,13
89,-3594,90
70,-3922,66
68,-3905,72
74,-4260,74
89,-4226,78
76,-4000,67
80,-3942,66
70,-4081,13
72,-4954,84
71,-4946,66
13,-3992,89
90,-3945,70
66,-3705,186
72,-4849,72
74,-4549,84
78,-4555,76
67,-4812,74
66,-4856,67
13,-4424,16
84,-3863,16
66,-5267,13
89,-21654,13
70,-24489,191
186,-24888,83
72,-23738,78
84,-23776,67
76,-23886,74
74,-23760,78
67,-23895,32
16,-24358,78
13,-22670,190
13,-6269,70
191,-3508,86
83,-3044,66
78,-3009,89
67,-3250,76
74,-3233,74
78,-3220,71
32,-3135,32
78,-2813,66
190,-2709,32
70,-2524,83
86,-2554,68
66,-2643,78
89,-2624,66
76,-2472,75
74,-2330,74
71,-2353,86
32,-2352,32
66,-2338,78
32,-2533,190
83,-2843,70
68,-2782,78
78,-2636,66
66,-2623,88
75,-4561,32
74,-4609,83
86,-4857,89
32,-4871,70
78,-4892,68
190,-4808,67
70,-5268,32
78,-5352,70
66,-5489,87
88,-5679,89
32,-3808,75
83,-3776,74
89,-3546,67
70,-4802,32
68,-4769,81
67,-4674,84
32,-4421,88
70,-4506,69
87,-4318,75
89,-5034,32
75,-5401,219
74,-6782,83
67,-6891,68
32,-5657,72
81,-5589,84
84,-5595,71
88,-28091,32
69,-48690,32
75,-48886,90
32,-47963,66
219,-47491,89
83,-46331,84
68,-46301,75
72,-46296,68
84,-46506,90
71,-46630,74
32,-24667,8
32,-4151,8
90,-3962,8
66,-3915,8
89,-3785,8
84,-3503,8
75,-3332,8
68,-3185,8
90,-2912,8
74,-3069,8
8,-3910,71
8,-4188,32
8,-4254,90
8,-4262,66
8,-4257,89
71,-1919,84
32,-1393,75
90,-1591,68
66,-2167,72
89,-2050,84
84,-1991,71
75,-2988,32
68,-2704,90
72,-2098,66
84,-2165,89
71,-2315,84
32,-1373,75
90,-1465,68
66,-1555,90
89,-1595,74
84,-1390,71
75,-1948,32
68,-1904,74
90,-1856,76
74,-3151,32
71,-3256,77
32,-2680,88
74,-2695,74
76,-2662,89
32,-1932,32
77,-2327,8
88,-3503,8
74,-4456,8
89,-5197,74
32,-4579,89
8,-4233,32
8,-3140,190
8,-2363,67
74,-1650,68
89,-1456,16
32,-1678,16
190,-5450,72
67,-5238,8
68,-6845,78
16,-6960,84
72,-6347,67
8,-11560,16
78,-9829,16
84,-9617,16
67,-5597,16
16,-224,16
32,919,16
191,2146,16
83,3404,16
75,3698,16
74,4106,16
78,3782,16
67,3622,32
32,2527,191
90,1452,83
67,1512,75
78,1358,74
190,1547,78
70,1747,67
68,1724,32
83,1755,90
72,1760,67
82,1754,78
70,1706,190
89,1454,70
32,1770,68
84,1736,83
186,1630,72
32,1995,82
86,1847,70
70,1839,89
78,1467,32
32,3560,84
191,3648,186
16,3048,32
68,3356,86
74,3421,70
75,3489,78
84,1741,32
82,1554,191
70,1595,16
65,1466,68
32,1450,74
80,1644,75
66,1852,84
32,3312,82
72,3350,70
84,3227,65
78,3174,32
67,3771,80
74,3274,66
82,1892,32
32,3675,72
81,3818,84
74,4152,78
73,3443,67
77,3657,74
75,3558,82
74,1757,32
188,1746,81
32,1704,74
90,1643,73
67,1495,77
78,1536,75
84,1521,74
70,1521,188
68,1251,32
83,1293,90
76,1205,67
70,1361,78
75,1350,84
82,1619,70
67,1674,68
32,1626,83
84,1638,76
72,1418,70
74,1618,75
68,1258,82
76,1388,67
32,3937,32
86,3956,84
74,4027,72
89,3874,74
68,3855,68
74,4218,76
82,1594,32
72,1697,86
84,1736,74
87,1759,89
32,1789,68
70,1306,74
89,1538,82
16,1287,72
32,10810,84
191,10898,87
84,11883,32
82,11934,70
83,11919,89
80,11805,16
90,2658,32
32,2809,191
86,1782,84
74,1782,82
82,1620,83
67,2687,80
89,2657,90
70,2459,32
68,2429,86
67,2958,74
32,4022,82
70,2924,67
89,2732,89
32,3373,70
66,3349,68
86,2748,67
90,1959,32
89,1986,70
67,1994,89
84,1528,32
71,1511,66
32,1531,86
67,1354,90
32,1685,89
66,1741,67
68,1526,84
82,1756,71
72,1618,32
89,2163,67
84,1748,32
87,1681,66
32,1912,68
69,1666,82
89,1416,72
74,1249,89
72,1240,84
74,1218,87
78,999,32
67,1008,69
32,1081,89
68,951,74
32,935,72
90,921,74
67,1025,78
78,1021,67
84,1219,32
90,1363,68
75,1398,32
68,1446,90
70,1498,67
72,1452,78
71,1298,84
70,1171,90
89,1133,75
32,4208,68
66,4137,70
86,4168,72
70,4237,71
75,4369,70
8,4686,89
84,3373,32
53,3175,66
82,3148,86
70,3106,70
65,3193,75
32,3235,8
66,1454,53
86,1641,84
66,1660,82
79,2116,70
90,2266,65
72,1929,32
74,1958,66
85,1918,86
32,1915,66
67,1374,79
32,1096,90
89,1069,72
66,1079,74
88,1099,85
186,1287,32
69,1483,67
86,1719,32
32,1712,89
84,1683,66
66,1738,88
68,1432,186
78,1257,69
67,1117,86
68,1106,32
84,1135,84
73,1390,66
16,1141,68
13,3527,78
191,44412,67
81,44639,68
84,45287,84
78,44987,73
67,44736,16
70,42867,13
88,1968,191
32,1905,81
74,1359,84
82,1310,78
77,1291,67
75,1275,70
74,1129,88
82,1090,32
67,1125,74
84,1174,82
89,1270,77
32,1850,75
70,1779,74
89,1740,82
32,2119,67
90,2164,84
67,2258,89
78,1712,32
84,1723,70
90,1881,89
75,1438,32
71,1585,90
84,4678,67
79,4675,78
67,5448,84
70,5400,90
72,5431,75
32,5627,71
74,3975,84
85,3959,79
74,3157,67
72,3107,70
74,3123,72
78,2757,32
8,1701,74
8,1751,85
74,2519,74
32,2481,72
74,2427,74
82,2413,78
32,2078,8
70,2070,8
82,1304,74
73,1304,32
69,1657,74
219,1734,82
72,2370,32
84,2330,70
68,2362,82
32,2320,73
191,1862,69
16,1772,219
70,3831,72
68,3932,84
84,4091,68
72,4032,32
84,3863,191
76,3682,16
32,1468,70
70,1353,68
75,1245,84
74,1560,72
68,1609,84
78,2060,76
67,1943,32
32,3078,70
74,3459,75
85,3117,74
8,4380,68
74,4758,78
74,4920,67
89,3928,32
77,3667,74
75,3618,85
84,2579,8
87,1732,74
32,1660,74
80,1723,89
66,1919,77
32,1926,75
90,1592,84
67,1674,87
78,1441,32
66,1401,80
8,1678,66
78,2156,32
8,3189,90
78,3810,67
68,3784,78
74,3838,66
78,3249,8
74,2807,78
85,1810,8
32,3638,78
75,3761,68
84,4072,74
82,4046,78
70,4079,74
65,4124,85
16,1425,32
32,45607,75
16,45572,84
49,45448,82
82,50300,70
66,50170,65
88,50302,16
77,50496,16
75,50163,16
70,6597,32
86,6188,49
32,6094,16
66,1704,82
32,21495,66
77,21528,88
78,21486,77
83,21520,75
188,22946,70
32,23253,86
78,23180,32
84,23167,66
186,3453,32
8,4705,77
76,5359,78
74,5582,83
86,3932,188
32,3615,32
74,3638,78
78,3595,84
222,3912,186
32,2950,8
77,2345,76
76,2147,74
84,2362,86
68,2480,32
32,6208,74
16,7006,78
191,6524,222
78,6980,32
66,6984,77
67,6833,76
74,6658,84
89,6559,68
32,3406,32
70,2537,191
89,2743,16
74,2944,16
32,3259,16
74,2962,16
85,2856,78
74,2869,66
72,2907,67
74,2926,74
78,2933,89
74,2310,32
82,2281,70
32,2746,89
191,2973,74
16,2647,32
70,3249,74
82,3332,85
89,3309,74
84,3397,72
188,3247,74
84,3375,78
72,3356,74
32,4577,82
77,4093,32
78,3805,191
67,3737,16
84,3495,70
88,3609,82
32,3643,89
68,3552,84
32,4639,188
75,4665,84
84,4860,72
82,3675,32
70,3749,77
65,3857,78
32,6644,67
90,6579,84
67,6615,88
78,6600,32
84,6585,68
70,5623,32
85,5498,75
66,5395,84
186,5587,82
70,6638,70
80,6483,65
32,4026,32
74,3955,90
78,3825,67
32,3867,78
16,4020,84
191,3811,70
70,6235,85
89,6181,66
66,6019,186
79,5119,70
89,5553,80
84,5311,32
186,5296,74
32,5788,78
90,5711,32
70,5973,191
89,5918,16
89,3975,70
84,3960,89
86,3874,66
84,3801,79
72,3299,89
84,3213,84
188,3216,186
32,3193,32
77,3182,90
78,2789,70
67,2564,89
84,2678,89
32,3090,84
84,3038,86
86,2984,84
74,3106,72
76,3171,84
32,3659,188
68,3020,32
32,2981,77
66,2985,78
75,3051,67
67,3046,84
84,2708,32
32,2802,84
16,2662,86
70,2601,74
32,6730,76
191,6461,32
84,6727,68
77,6899,32
86,6859,66
84,7103,75
67,7048,67
32,6993,84
68,6848,32
32,6732,70
89,6865,16
66,2786,32
88,2613,191
186,2676,84
69,2746,77
86,2840,86
32,2710,84
74,2678,67
82,2582,32
77,2625,68
75,2678,32
74,2664,89
82,2607,66
67,2751,88
32,2586,186
68,2314,69
74,2270,86
75,2105,32
84,2170,74
82,2182,82
70,2282,77
65,2396,75
32,2702,74
74,2738,82
82,2491,67
77,2537,32
75,2589,68
74,2816,74
78,3084,75
67,3061,84
32,3000,82
90,2932,70
67,2989,65
78,2735,32
84,2800,74
70,2813,82
85,2818,77
66,2858,75
186,2844,74
70,2584,78
80,2561,67
32,5541,32
66,5609,90
66,5471,67
78,5485,78
84,5479,84
89,6410,70
70,6454,85
68,6416,66
16,6363,186
67,6173,70
32,7958,80
219,5399,32
70,5367,66
86,5438,66
74,5418,78
76,5431,84
32,4812,89
68,4717,70
32,4835,68
70,5317,67
188,5582,16
74,5977,16
72,6125,16
71,6294,16
86,6498,16
70,6691,16
16,7003,16
75,6992,16
32,7304,16
77,7482,16
89,7700,16
84,7860,16
76,8075,16
32,8876,16
16,9072,16
68,9094,16
13,41412,16
32,42308,16
191,42694,16
81,43292,16
74,43560,16
80,43903,16
84,44683,16
71,44858,16
70,45057,16
72,44739,16
78,44360,32
32,44073,219
81,43973,70
74,43917,86
89,45809,74
88,46479,76
66,46400,32
89,46497,68
76,46527,32
80,45957,70
70,46114,188
72,45895,74
71,45926,72
32,47402,71
66,47421,86
32,48205,70
66,48132,75
86,48185,16
90,48122,32
66,48193,77
68,48086,89
78,48193,84
67,48199,76
84,47639,32
73,47592,68
32,48470,16
66,48640,16
86,48825,16
83,48942,16
89,49290,16
77,49663,16
75,49354,16
84,18212,13
82,17514,32
70,17386,191
65,17081,81
32,17633,74
16,17696,80
191,16885,84
68,17686,71
8,18367,70
86,18979,72
74,18953,78
72,18905,32
78,18988,81
67,19150,74
74,17224,89
82,16457,88
32,16469,66
86,16735,89
84,16622,76
66,16673,80
89,16456,70
70,16420,72
85,16417,71
66,15665,32
186,15854,66
80,15060,32
8,15786,66
8,15770,86
8,15746,90
8,15844,66
32,18677,68
86,18650,78
84,18584,67
66,18507,84
89,18478,73
70,17686,32
85,17650,66
66,17720,86
186,18223,83
80,19099,89
8,19201,77
79,19591,75
8,19411,84
219,19889,82
67,20063,70
70,19924,65
72,19278,32
32,19105,191
16,19241,16
191,18430,68
68,18545,8
74,18111,86
82,18131,74
76,18200,72
84,18597,78
72,18419,67
71,18445,74
32,19754,82
86,19525,32
84,19181,86
66,19138,84
89,19018,66
84,18977,89
68,19007,70
74,18999,85
89,18229,66
66,19225,186
8,19305,80
74,20107,8
86,20194,8
74,20468,8
71,20423,8
32,20846,8
67,20993,8
32,21637,8
83,21912,8
89,22170,8
70,22379,8
80,22048,8
90,19876,32
68,20033,86
67,20082,84
32,20993,66
70,21025,89
82,21129,70
66,21144,85
89,21081,66
76,20774,186
80,19819,80
70,19592,8
72,19193,79
71,19203,8
32,21255,219
90,21164,67
66,21275,70
78,21322,72
90,21151,32
8,22438,191
83,26098,16
66,25687,68
72,25613,74
71,25608,82
74,25739,76
72,25254,84
84,25253,72
86,25337,71
32,25376,32
84,25333,86
8,26610,84
84,27840,66
83,27786,89
89,27821,84
68,27819,68
74,27798,74
89,27829,89
67,26652,66
74,26397,8
16,25310,74
32,26228,86
191,27155,74
84,27331,71
75,27152,32
70,27239,67
72,26835,32
68,28078,83
84,28820,89
65,29969,70
32,30327,80
68,30283,90
32,32412,68
90,32307,67
67,31681,32
78,31689,70
84,31729,82
70,33122,66
88,33164,89
84,33378,76
86,33351,80
78,33405,70
74,33434,72
32,35443,71
16,32991,32
191,32659,90
74,33617,66
75,33663,78
66,33834,90
68,32522,8
70,28754,83
72,28631,66
71,28583,72
32,28612,71
82,28625,74
70,28619,72
82,28629,84
32,28557,86
191,27351,32
16,27155,84
66,25991,8
219,26120,84
67,26670,83
70,26736,89
16,26947,68
71,26818,74
32,28918,89
74,28931,67
76,28481,74
32,29534,16
77,28769,32
75,27565,191
84,27323,84
76,27217,75
84,27289,70
89,27325,72
32,27403,68
77,26667,84
78,25485,65
90,25186,32
67,25389,68
84,23517,32
76,23498,90
32,23614,67
70,23498,78
80,23445,84
32,23288,70
189,23178,88
32,22825,84
90,23187,86
70,23551,78
79,23640,74
90,21465,32
76,21424,191
74,21782,16
219,22124,16
84,22759,16
72,22723,16
84,22968,16
71,23160,16
32,23316,16
70,22927,16
82,22653,74
66,22648,75
89,22516,66
76,22710,68
80,22724,70
70,22959,72
72,23003,71
71,22938,32
32,24590,82
70,24878,70
78,24770,82
70,24753,32
76,24831,191
16,24688,16
32,25373,66
191,24554,219
190,24720,67
66,25968,70
85,25913,71
72,25981,16
74,24269,32
84,24173,74
85,24404,76
16,23138,32
32,24463,77
69,24434,75
86,24725,84
74,24722,76
78,24556,84
90,26734,89
68,25940,32
67,26045,77
32,26708,78
81,26585,90
83,26496,67
89,26165,84
89,26114,76
84,25816,32
79,25866,70
90,25776,80
68,25138,32
67,25312,189
74,25353,32
71,24827,90
32,24410,70
66,24322,79
32,24532,90
66,44096,76
86,43937,74
70,44467,219
85,43952,84
70,44327,72
72,44331,84
68,44273,71
32,44996,32
76,45414,70
70,45728,82
89,45829,66
32,47289,89
83,47056,76
76,47210,80
84,47247,70
188,47368,72
74,47685,71
71,45767,32
32,45479,70
82,45568,78
70,45524,70
89,45399,76
80,45897,16
32,45671,32
68,45293,191
32,47828,190
82,46499,66
66,46341,85
89,46074,72
76,46246,74
80,46331,84
70,46323,85
72,46077,16
71,45120,32
32,46003,69
81,45732,86
83,45840,74
89,46248,78
76,44280,90
74,43979,68
72,43881,67
70,43199,32
89,43177,81
32,45891,83
81,45928,89
66,46095,89
82,45984,84
67,46071,79
89,45841,90
70,45658,68
68,45550,67
67,45607,74
32,47786,71
81,47844,32
66,47929,66
89,47862,32
68,28217,66
84,28413,86
72,27738,70
76,28035,85
32,29203,70
189,29880,72
32,30809,68
70,32049,32
188,31698,76
74,31835,70
72,31797,89
71,30344,32
86,30362,83
70,30277,76
75,30384,84
16,30084,188
