down,timedelta,up
74,427675,8
72,427820,70
16,427939,71
32,427995,16
70,-952,67
78,-976,74
89,-984,72
84,-1032,16
76,-880,32
66,-936,70
80,-856,78
84,-824,89
72,-752,84
71,-840,76
16,-727,66
32,-759,80
80,-792,84
70,-840,72
82,-751,16
8,-816,71
8,-728,32
8,-664,80
8,-744,70
8,-784,82
71,-1297,8
16,-1183,8
32,-1344,8
80,-1336,8
70,-1336,8
72,-872,16
69,-1055,71
16,-856,32
13,-952,80
90,-1432,70
66,-1487,72
89,-1344,16
70,-1488,69
88,-1169,13
84,-840,90
86,-712,66
66,-800,89
72,-824,70
71,-1081,88
16,-968,84
13,-4600,86
48,-5504,66
16,-5408,72
51,-5416,16
48,-5496,71
48,-1856,13
50,-920,16
8,-1313,48
8,-1112,51
8,-1136,48
48,-1136,48
48,-1207,50
51,-935,8
32,-1096,8
90,-1112,8
75,-1048,48
84,-1024,48
72,-912,51
8,-736,32
84,-872,90
71,-943,75
70,-936,84
32,-1064,72
51,-1080,8
50,-1000,84
57,-1416,71
16,-1456,70
32,-1384,32
75,-1720,51
74,-1648,50
67,-1184,16
74,-2184,57
71,-2112,32
32,-1768,75
81,-1688,74
83,-1648,67
89,-839,74
88,-912,71
74,-944,32
86,-944,81
74,-1136,83
89,-912,89
75,-816,88
74,-816,74
71,-855,86
32,-768,74
66,-768,89
32,-809,75
81,-744,74
83,-711,71
89,-881,32
81,-968,66
70,-1016,32
88,-1032,81
83,-1239,83
68,-1128,89
80,-1192,81
84,-1120,70
72,-1024,88
88,-984,83
16,-928,68
13,-1120,80
48,-1640,84
16,-1656,72
55,-1857,88
48,-2376,16
48,-1983,13
50,-1816,16
32,-2033,48
90,-1928,55
72,-1415,48
188,-1464,48
90,-1415,50
74,-1288,32
89,-984,90
32,-1089,72
56,-1064,188
50,-968,90
57,-1360,74
16,-1408,89
16,-1600,32
32,-1663,56
70,-1680,50
67,-1288,16
67,-1439,57
70,-1311,16
75,-968,32
82,-896,70
32,-831,67
49,-767,67
32,-1039,70
82,-1279,75
66,-1184,82
89,-1207,32
89,-1192,49
70,-1008,32
75,-894,82
67,-888,66
74,-800,89
71,-791,89
32,-720,70
81,-720,75
8,-736,67
8,-704,74
81,-855,71
32,-969,32
83,-1016,81
8,-1129,8
8,-1096,8
8,-1217,81
8,-1017,32
8,-915,83
8,-659,8
8,-548,8
8,-647,8
70,-103,70
75,-81,75
67,-80,67
74,-96,74
71,-103,71
32,-119,32
83,-135,81
81,-63,83
89,-80,89
88,-112,88
74,-80,74
86,-79,86
74,-89,74
89,-127,89
75,-57,75
74,-81,74
71,-103,71
32,-111,32
66,-89,66
32,-96,32
81,-119,81
83,-121,83
89,-79,89
81,-95,81
70,-87,70
88,-105,88
8,-55,8
8,-47,8
8,-72,8
8,-55,8
8,-95,8
8,-120,8
8,-80,8
8,-47,8
8,-64,8
8,-80,8
32,-64,32
66,-104,66
32,-104,32
81,-111,81
83,-128,83
89,-81,89
81,-105,81
70,-103,70
88,-80,88
81,-119,81
83,-40,83
68,-120,68
80,-88,80
84,-127,84
72,-79,72
88,-127,16
16,-249,88
13,-23,13
48,-88,16
16,-151,48
51,-112,51
48,-96,48
48,-48,48
50,-121,50
32,-103,32
90,-88,90
75,-96,75
84,-120,84
72,-80,72
71,-87,71
70,-80,70
32,-79,32
52,-105,52
50,-89,50
57,-88,57
16,-208,16
16,-231,16
32,-65,32
70,-72,70
8,-127,8
32,-113,32
67,-73,67
67,-55,67
70,-71,70
75,-89,75
82,-105,82
32,-135,32
50,-96,50
32,-95,32
82,-144,82
66,-112,66
89,-71,89
89,-65,89
70,-49,70
75,-95,75
67,-89,67
74,-96,74
71,-104,71
32,-112,32
81,-1576,9
83,-161,81
89,-392,83
88,-319,89
74,-231,88
86,-193,74
8,-704,86
8,-287,8
8,-712,8
8,-1376,8
74,-2928,8
88,-113,74
74,-232,88
89,-160,74
75,-192,89
74,-247,75
71,-176,74
32,-200,71
66,-207,32
32,-520,66
81,-263,32
83,-176,81
89,-416,83
81,-256,89
70,-265,81
88,-168,70
81,-376,88
83,-152,81
68,-176,83
8,-184,68
8,-256,8
68,-385,8
89,-535,68
80,-304,89
84,-696,80
72,-152,84
88,-680,72
16,-319,16
13,-647,88
191,-1336,13
69,-336,191
78,-247,69
74,-216,78
188,-216,74
70,-144,70
72,-168,188
32,-209,72
190,-280,32
69,-248,190
89,-198,69
78,-375,89
67,-544,78
84,-1040,67
68,-120,84
74,-344,68
67,-159,74
74,-352,67
72,-289,74
188,-344,72
74,-311,188
76,-272,74
32,-1039,76
190,-336,32
190,-232,190
89,-200,190
78,-544,89
84,-248,78
75,-248,84
74,-471,75
85,-271,74
74,-216,85
89,-167,74
86,-256,89
32,-361,86
66,-208,32
32,-328,66
66,-296,32
66,-304,66
87,-320,66
70,-312,87
72,-255,70
84,-280,72
76,-208,84
84,-432,76
65,-320,84
16,-255,16
16,-520,65
32,-440,16
81,-200,32
74,-216,81
82,-240,74
67,-240,82
81,-313,67
66,-296,81
67,-184,66
67,-273,67
74,-255,67
72,-311,74
16,-248,72
32,-584,16
70,-817,32
67,-273,70
72,-191,67
69,-232,72
82,-168,69
32,-312,82
74,-264,32
85,-264,74
74,-240,85
82,-192,74
67,-264,82
84,-408,67
88,-160,84
66,-456,88
78,-184,66
66,-240,78
75,-232,66
74,-272,75
71,-192,74
84,-288,71
89,-168,84
73,-376,89
84,-280,73
89,-184,84
68,-272,89
32,-568,68
190,-1128,32
66,-191,190
87,-207,66
8,-872,87
8,-257,8
8,-216,8
66,-624,8
81,-223,66
69,-312,81
70,-233,69
80,-232,70
66,-303,80
75,-305,66
70,-264,75
84,-313,70
72,-152,84
32,-407,72
68,-200,32
32,-416,68
76,-497,32
70,-168,76
75,-224,70
82,-169,75
8,-200,82
75,-447,8
68,-544,75
32,-240,68
70,-217,32
80,-248,70
32,-471,80
189,-304,32
32,-288,189
48,-424,32
16,-184,16
70,-416,48
76,-232,70
74,-327,76
85,-304,74
32,-488,85
16,-776,32
55,-800,16
49,-336,55
48,-216,49
50,-264,48
8,-183,50
49,-608,8
32,-377,49
90,-256,32
75,-265,90
84,-232,75
