down,timedelta,up
82,1000547,82
66,1000555,67
88,1000538,89
71,1000402,84
69,1000353,86
67,1000458,77
32,1000442,75
219,1004410,66
70,1004665,66
71,1004745,72
70,1004834,71
80,1004865,16
32,-2367,70
75,-2337,82
70,-2312,66
68,-2272,88
74,-2159,71
68,-2040,69
78,-2032,67
67,-1969,32
68,-2016,219
69,-2248,70
88,-2288,71
74,-2440,70
71,-2424,80
32,-2455,32
90,-2512,75
16,-2720,70
8,-3463,68
8,-3480,74
8,-3466,68
8,-3464,78
8,-3448,67
8,-3399,68
8,-3128,69
8,-3063,88
8,-2872,74
8,-2848,71
8,-2760,32
8,-2729,90
8,-2792,16
8,-1704,8
8,-1688,8
8,-1665,8
8,-1641,8
8,-1624,8
8,-1639,8
191,-3552,8
16,-3504,8
81,-3656,8
83,-3704,8
89,-3760,8
67,-3769,8
69,-3840,8
82,-3856,8
68,-3920,8
32,-4055,8
75,-4095,8
83,-4103,8
188,-4144,8
32,-2360,16
82,-2482,191
66,-2224,81
88,-2184,83
71,-2248,89
69,-2575,67
67,-2696,69
16,-2752,82
66,-4912,68
32,-8136,32
191,-8192,75
90,-8240,83
67,-8512,188
77,-8520,32
78,-8497,82
70,-8472,66
71,-8471,88
8,-8376,71
70,-8248,69
83,-8200,67
67,-8584,16
74,-6200,66
72,-2896,32
71,-2832,191
32,-2760,90
90,-2446,67
67,-2472,77
75,-2472,78
70,-2504,70
68,-2504,71
83,-2528,8
80,-2392,70
70,-2360,83
82,-2112,67
78,-2152,74
74,-2127,72
32,-2200,71
81,-2175,32
66,-2336,90
89,-2312,67
90,-2320,75
84,-2448,70
75,-2439,68
80,-2504,83
74,-2744,80
68,-2664,70
32,-2744,82
219,-2728,78
66,-2736,74
89,-2792,32
73,-2840,81
70,-2840,66
72,-2840,89
84,-2816,90
88,-3615,84
68,-3848,75
32,-3736,80
84,-3456,74
75,-3367,68
67,-3280,32
74,-3296,219
8,-3936,66
8,-3871,89
74,-4102,73
70,-3916,70
71,-3766,72
32,-3797,84
81,-2838,88
83,-2630,68
72,-2622,32
74,-2637,84
78,-2749,75
74,-2726,67
82,-2710,74
32,-2126,8
191,-2156,8
16,-1918,74
8,-2664,70
8,-2799,71
8,-2745,32
8,-2744,81
8,-2736,83
74,-2872,72
82,-2984,74
32,-3303,78
191,-3328,74
226,-3263,82
70,-3353,32
78,-3319,191
72,-3479,16
84,-2472,8
188,-2584,8
77,-2608,8
75,-2704,8
70,-2777,8
16,-2728,74
32,-2968,82
69,-2639,32
82,-2663,191
73,-2848,226
66,-2656,70
78,-2639,78
70,-2616,72
72,-2655,84
188,-2913,188
32,-2840,77
74,-2800,75
85,-2759,70
84,-2808,16
32,-2312,32
77,-2256,69
78,-2225,82
66,-2192,73
86,-2112,66
72,-2712,78
74,-2759,70
82,-2744,72
74,-2416,188
71,-2416,32
32,-2455,74
77,-2415,85
88,-2456,84
74,-2504,32
86,-2560,77
8,-3031,78
8,-3168,66
8,-3127,86
72,-3751,72
74,-3736,74
82,-3719,82
74,-3760,74
71,-3784,71
32,-4054,32
90,-4120,77
89,-4456,88
84,-4360,74
86,-4384,86
32,-4192,8
75,-4200,8
66,-4081,8
67,-2954,72
74,-2906,74
72,-2880,82
71,-2840,74
74,-2816,71
71,-2512,32
32,-2696,90
77,-2424,89
8,-2479,84
78,-2751,86
89,-2775,32
84,-2953,75
88,-3009,66
74,-2993,67
32,-3454,74
191,-3511,72
16,-3527,71
70,-3817,74
76,-3847,71
80,-3641,32
84,-3705,77
74,-3632,8
72,-3311,78
71,-2984,89
32,-2838,84
74,-2720,88
85,-2712,74
74,-2312,32
86,-2272,16
84,-2457,191
8,-2063,70
86,-2399,76
69,-2504,80
72,-2472,84
66,-2463,74
78,-2439,72
82,-2503,71
84,-2488,32
74,-2664,74
72,-2655,85
71,-2615,74
32,-2625,86
66,-2512,84
32,-2520,8
81,-2103,86
74,-2023,69
89,-1952,72
78,-2048,66
89,-2071,78
8,-2065,82
78,-2256,84
74,-2495,74
86,-2519,72
84,-2593,71
72,-2631,32
74,-2697,66
89,-2751,32
74,-2783,81
