down,up,timedelta
32,71,260005
84,70,260036
79,68,260144
78,32,-19
16,84,-17
32,79,-13
54,78,-21
16,16,-21
84,32,-16
65,54,-38
69,16,-42
86,84,-42
65,65,-20
67,69,-23
16,86,-14
190,65,-14
84,67,-25
82,16,-32
79,190,-25
80,84,-31
80,82,-15
85,79,-20
83,80,-15
32,80,-15
69,85,-35
83,83,-34
73,32,-39
82,69,-29
80,83,-23
82,73,-23
69,82,-20
84,80,-26
78,82,-15
69,69,-19
32,84,-19
70,78,-15
79,69,-20
32,32,-15
75,70,-37
67,79,-42
65,32,-37
76,75,-45
32,67,-21
76,65,-26
65,76,-22
82,32,-19
69,76,-26
78,65,-21
69,82,-24
71,69,-19
32,78,-15
69,69,-19
72,71,-13
84,32,-14
32,69,-16
68,72,-17
78,84,-40
65,32,-36
32,68,-42
188,78,-21
68,65,-23
73,32,-24
79,188,-16
82,68,-29
68,73,-26
78,79,-31
65,82,-20
16,68,-12
32,78,-12
70,65,-13
79,16,-15
32,32,-31
80,70,-31
79,79,-36
84,32,-30
32,80,-18
78,79,-28
79,84,-23
32,32,-27
83,78,-22
69,79,-18
67,32,-23
73,83,-17
86,69,-25
82,67,-23
69,73,-23
83,86,-29
32,82,-16
68,69,-20
69,83,-14
80,32,-14
79,68,-21
76,69,-17
69,80,-39
86,79,-38
69,76,-42
68,69,-30
32,86,-15
69,69,-21
76,68,-15
71,32,-16
79,69,-28
79,76,-27
71,71,-33
16,79,-15
32,79,-14
87,71,-15
79,16,-18
72,32,-15
32,87,-29
78,79,-28
69,72,-33
86,32,-29
73,78,-19
71,69,-28
32,86,-22
188,73,-26
83,71,-21
76,32,-15
79,188,-21
79,83,-14
84,76,-21
32,79,-17
69,79,-18
83,84,-37
69,32,-32
72,69,-39
84,83,-22
32,69,-19
82,72,-24
79,84,-21
70,32,-27
32,82,-21
69,79,-19
76,70,-23
71,32,-20
79,69,-25
79,76,-18
71,71,-16
16,79,-9
32,79,-17
78,71,-17
79,16,-31
80,32,-28
85,78,-31
32,79,-25
68,80,-17
78,85,-23
69,32,-16
80,68,-28
69,78,-27
68,69,-26
32,80,-28
79,69,-22
84,68,-28
32,32,-23
84,79,-25
78,84,-24
65,32,-20
87,84,-27
32,78,-22
89,65,-24
69,87,-22
72,32,-20
84,89,-26
32,69,-20
82,72,-16
69,84,-23
72,32,-24
84,82,-30
69,69,-32
72,72,-32
87,84,-28
32,69,-32
83,72,-21
73,87,-26
32,32,-23
82,83,-19
69,73,-23
87,32,-21
83,82,-26
78,69,-19
65,87,-16
32,83,-16
79,78,-15
84,65,-20
32,32,-16
68,79,-15
69,84,-22
69,32,-17
78,68,-40
32,69,-39
76,69,-44
76,78,-32
73,32,-19
87,76,-27
32,76,-22
83,73,-25
69,87,-23
73,32,-19
78,83,-23
65,69,-15
80,73,-20
77,78,-15
79,65,-16
67,80,-20
32,77,-16
69,79,-35
77,67,-35
79,32,-35
83,69,-43
32,77,-20
78,79,-26
79,83,-19
73,32,-17
84,78,-20
83,79,-18
69,73,-23
85,84,-19
81,83,-16
32,69,-20
69,85,-15
72,81,-21
84,32,-16
32,69,-17
188,72,-45
69,84,-39
86,32,-45
73,188,-23
84,69,-26
67,86,-23
69,73,-20
80,84,-27
83,67,-22
82,69,-24
69,80,-19
80,83,-14
32,82,-19
69,69,-13
83,80,-20
73,32,-15
82,69,-15
80,83,-35
82,73,-35
69,82,-41
84,80,-33
78,82,-20
69,69,-27
32,84,-23
78,78,-25
65,69,-21
32,32,-15
77,78,-22
79,65,-16
82,32,-28
70,77,-28
16,79,-24
190,82,-30
55,70,-18
49,16,-20
48,190,-24
50,55,-16
32,49,-27
82,48,-26
69,50,-25
66,32,-30
79,82,-13
84,69,-21
67,66,-19
79,79,-32
16,84,-31
32,67,-28
78,79,-27
73,16,-37
32,32,-23
188,78,-25
87,73,-23
79,32,-18
76,188,-27
70,87,-21
16,79,-18
82,76,-25
79,70,-17
83,16,-19
78,82,-23
69,79,-22
84,83,-27
16,78,-17
32,69,-16
82,84,-16
79,16,-28
70,32,-21
32,82,-26
69,79,-20
76,70,-18
85,32,-22
68,69,-14
79,76,-18
77,85,-15
32,68,-32
72,79,-39
80,77,-34
65,32,-42
82,72,-22
71,80,-26
32,65,-22
78,82,-20
79,71,-24
73,32,-22
84,78,-27
65,79,-21
84,73,-24
85,84,-27
80,65,-18
77,84,-23
79,85,-15
67,80,-28
32,77,-32
67,79,-30
73,67,-35
77,32,-21
65,67,-24
78,73,-24
89,77,-21
68,65,-27
32,78,-21
65,89,-22
32,68,-18
188,32,-15
82,65,-20
69,32,-15
71,188,-14
65,82,-10
69,69,-9
16,71,-7
32,65,-14
68,69,-18
69,16,-52
67,32,-48
85,68,-51
68,69,-22
79,67,-19
82,85,-27
84,68,-23
78,79,-25
73,82,-24
32,84,-19
69,78,-27
76,73,-19
71,32,-22
79,69,-17
79,76,-15
71,71,-16
16,79,-9
190,79,-14
78,71,-16
79,16,-45
73,190,-50
84,78,-48
85,79,-50
76,73,-21
79,84,-26
83,85,-22
32,76,-23
76,79,-28
16,83,-17
68,32,-18
16,76,-8
32,16,-18
69,68,-19
83,16,-25
85,32,-24
79,69,-19
72,83,-23
173,85,-15
78,79,-21
73,72,-17
32,173,-17
83,78,-21
0,73,-16
69,32,-24
76,83,-34
71,0,-31
79,69,-48
79,76,-45
71,71,-47
16,79,-17
32,79,-17
70,71,-18
79,16,-27
32,32,-23
70,70,-25
76,79,-23
65,32,-21
72,70,-26
32,76,-20
69,65,-22
78,72,-17
79,32,-15
32,69,-20
83,78,-15
73,79,-23
32,32,-17
87,83,-18
79,73,-40
76,32,-35
70,87,-41
16,79,-17
82,76,-14
