down,timedelta,up
16,-46091,16
16,-45987,72
16,-46094,67
32,-45919,67
50,-46535,67
16,-45127,32
70,-46351,70
76,-46437,78
80,-46631,84
84,-46631,68
68,-46734,74
80,-46766,16
16,-46911,67
32,-46311,32
90,-46383,74
70,-46509,85
78,-46591,74
74,-46616,89
75,-46798,68
74,-46696,74
80,-46581,219
50,-46417,72
16,-46197,84
16,-46409,68
32,-47159,16
77,-45856,32
75,-45758,70
70,-45671,86
76,-45423,69
84,-45080,66
86,-45191,76
189,-48048,66
8,-48136,80
8,-48080,84
84,-48672,8
86,-48415,66
32,-49073,72
32,-49305,71
13,-49696,16
191,-49911,32
16,-49897,80
48,-51384,70
54,-51640,82
49,-51807,16
48,-52221,69
53,-51968,16
51,-56016,57
16,-53807,32
16,-53679,66
16,-52760,89
16,-52467,84
16,-52337,71
16,-52165,84
16,-51980,78
16,-51876,67
16,-51661,32
16,-51612,16
32,-52193,18
70,-52170,16
89,-52449,73
66,-52049,17
89,-52249,16
84,-52344,18
75,-51500,32
16,-51338,83
32,-51801,89
89,-51744,81
84,-51592,74
76,-51664,68
72,-51711,32
74,-51745,81
189,-52928,74
32,-53241,89
32,-54824,89
13,-58383,84
52,-58920,68
48,-60561,78
16,-60687,67
70,-60761,84
76,-60664,88
74,-60497,84
85,-60435,78
32,-60809,16
52,-60993,74
52,-59840,32
57,-60841,89
49,-61105,84
32,-61305,76
70,-61225,72
78,-61321,74
72,-60881,189
70,-60696,13
86,-59754,191
32,-58041,32
57,-57016,55
49,-55678,52
32,-55680,53
78,-55336,55
74,-53017,32
32,-50696,16
72,-50913,51
16,-49744,32
67,-50104,16
67,-49807,50
67,-48121,70
16,-48136,76
32,-48217,80
70,-48194,84
78,-48176,68
84,-48258,16
68,-48552,80
74,-47946,32
67,-47916,90
16,-47683,70
32,-47962,78
74,-47907,74
85,-47814,75
74,-47813,74
89,-47784,16
68,-47935,80
74,-47855,50
219,-47199,32
72,-47423,77
84,-47302,75
68,-47400,70
16,-47575,76
32,-47831,84
70,-47951,86
86,-45088,189
69,-45048,8
66,-45280,8
76,-44657,84
66,-44808,86
80,-44338,32
84,-44593,32
72,-44329,13
71,-43784,16
16,-44232,191
32,-42784,48
80,-42625,54
70,-42416,49
82,-42162,48
69,-42136,53
16,-38400,16
57,-38800,51
16,-37616,32
32,-37383,70
70,-37888,89
80,-37872,66
190,-38014,89
8,-38199,84
188,-38561,16
74,-38808,75
67,-37887,32
32,-37962,89
74,-37902,84
85,-37880,76
74,-37736,72
82,-37680,74
67,-35848,189
78,-35679,32
8,-34216,32
67,-30784,13
84,-30496,16
68,-30657,52
74,-29529,48
67,-28880,70
16,-28869,76
32,-28999,74
81,-28968,85
74,-28791,32
72,-28743,52
84,-28799,52
85,-27695,57
16,-27503,49
32,-27543,32
84,-27447,70
66,-27463,78
89,-27438,72
70,-27209,70
68,-27200,86
8,-26686,32
70,-26951,57
80,-26847,49
16,-26409,32
189,-26551,78
13,-28072,74
13,-31728,32
90,-33057,16
66,-33472,72
89,-32736,16
70,-32905,67
68,-32730,67
8,-32696,67
