down,timedelta,up
89,729459,74
69,729420,85
8,729494,66
8,728042,16
8,-2838,74
68,-3433,89
74,-3971,69
89,-4226,8
68,-3069,8
84,-3053,8
72,-2478,68
16,-1733,74
32,-1605,89
189,-1691,68
32,-1668,84
70,-1989,16
89,-2350,72
66,-2113,32
82,-1925,189
88,-2149,32
66,-1842,70
78,-1709,89
71,-1739,66
16,-1532,82
32,-1779,88
191,-1896,66
89,-1934,78
16,-1668,16
191,-1913,71
84,-1577,32
16,-1331,191
8,-1898,16
8,-2029,89
32,-2996,191
189,-2956,84
32,-3576,16
50,-3480,8
16,-3471,8
86,-3226,32
74,-3402,189
75,-2997,32
70,-2424,16
72,-2582,50
84,-1573,86
89,-1169,74
84,-1069,75
85,-1038,70
32,-1568,72
67,-1488,84
32,-1609,89
70,-1639,84
188,-1758,85
77,-1378,32
76,-1536,67
70,-1909,32
68,-1840,70
67,-1874,188
16,-1659,77
50,-2095,76
16,-1620,70
32,-3061,68
189,-2947,67
32,-3099,16
57,-2952,16
55,-3053,50
57,-1748,32
49,-1880,189
32,-4191,32
48,-4006,57
16,-3911,55
49,-4073,57
49,-3827,49
32,-2492,32
52,-3066,16
16,-3182,48
81,-3088,49
70,-3464,49
75,-2646,32
84,-2752,16
89,-2832,52
84,-2304,81
86,-2090,70
16,-1867,75
32,-1808,84
189,-2967,89
32,-2970,84
70,-3361,16
219,-3541,86
70,-2592,32
188,-1901,189
89,-2365,32
84,-1817,70
65,-2279,219
8,-2919,70
8,-2515,188
8,-2067,89
8,-1991,84
8,-1589,65
8,-944,8
70,-2286,8
219,-2269,8
70,-2265,8
188,-2877,8
89,-3247,8
84,-3153,70
65,-3537,219
74,-3818,70
16,-3225,188
32,-3320,89
191,-2486,84
186,-2282,65
16,-1992,16
32,-2838,74
50,-3470,32
16,-2978,191
70,-3893,16
89,-4052,186
84,-3200,32
75,-2155,16
84,-3942,50
16,-2863,70
32,-3038,89
90,-3211,84
70,-3131,75
89,-1598,16
67,-1697,84
70,-1549,32
72,-1460,90
82,-1268,70
84,-1281,89
72,-1467,67
71,-1382,70
16,-1363,72
50,-2136,82
16,-1908,84
32,-2305,72
189,-3489,16
32,-3793,71
56,-3860,16
55,-3928,50
57,-3507,32
49,-2314,189
32,-3258,32
48,-2706,56
16,-2676,55
48,-2912,57
49,-2801,49
32,-2053,32
52,-2315,16
16,-2354,48
89,-2603,48
66,-2869,49
82,-2612,32
75,-2293,16
84,-2531,52
72,-1966,89
70,-1671,66
78,-1904,82
16,-1580,75
32,-3426,84
189,-3170,72
32,-3136,70
70,-3484,78
72,-3670,16
84,-1790,32
82,-1668,189
75,-1824,32
74,-1288,70
82,-1424,72
16,-1260,84
32,-1376,82
191,-1637,75
89,-1749,74
16,-1585,16
191,-1859,82
70,-1898,32
16,-1495,191
32,-1781,16
50,-2453,89
16,-2203,191
74,-2079,16
75,-2203,70
84,-1904,32
76,-1757,16
16,-1833,50
50,-1732,74
16,-1789,75
32,-1728,84
52,-2163,16
16,-2104,76
66,-3490,16
76,-3898,50
72,-3801,32
70,-3268,16
188,-3357,52
86,-1723,66
74,-1570,76
75,-1382,72
16,-1330,70
32,-3274,188
72,-3345,86
74,-3235,74
78,-3066,75
82,-4085,16
74,-2150,32
76,-2031,72
32,-2087,74
189,-2635,78
32,-1807,82
70,-3121,74
72,-3058,76
84,-3122,32
82,-2587,189
75,-2719,32
74,-1515,70
82,-1689,72
16,-1435,84
32,-1724,82
191,-2402,75
89,-2421,74
16,-2136,16
191,-2611,82
70,-2409,32
16,-1542,191
32,-1651,16
50,-3105,89
16,-2782,191
74,-2898,16
89,-2981,70
66,-2707,32
76,-1340,16
77,-2311,50
75,-2386,74
70,-2469,89
65,-3493,66
65,-3502,76
69,-3033,77
72,-2599,75
78,-2660,70
16,-1496,65
50,-2527,65
16,-2046,69
32,-3638,72
189,-3450,78
32,-3583,16
55,-2725,16
55,-2763,50
57,-1200,32
49,-1238,189
32,-4281,32
48,-4421,55
16,-4370,55
57,-4421,57
32,-5043,49
52,-3125,32
16,-2702,16
70,-5570,48
69,-5578,57
67,-5158,32
89,-4281,16
70,-4456,52
72,-1700,70
65,-1713,69
16,-1452,67
