down,timedelta,up
70,522350,16
76,522043,16
16,522058,16
16,522059,16
16,522049,16
16,522053,16
16,522054,16
16,522069,16
16,522057,16
16,522074,16
191,518021,191
48,517258,90
16,517418,66
82,517381,65
67,517531,70
77,517563,72
75,517605,85
74,517695,74
188,517678,66
74,518126,188
78,518074,16
16,-10752,75
32,-10970,70
68,-11114,16
57,-11477,76
16,-5219,191
32,-3978,16
77,-6208,48
72,-5894,82
66,-5871,67
188,-5849,77
66,-5784,75
67,-5917,74
16,-5944,188
32,-6055,74
68,-6519,78
32,-6740,16
83,-6415,32
89,-6167,68
70,-5867,16
75,-6003,57
67,-5648,32
83,-3729,77
68,-3786,72
32,-3883,66
66,-4187,188
75,-4198,66
83,-4058,67
188,-4209,16
32,-3670,32
66,-3156,68
89,-3135,32
74,-3168,83
16,-3351,89
32,-3511,70
191,-3639,75
89,-3768,67
84,-3565,83
75,-3396,68
71,-3190,32
32,-3106,66
81,-3676,75
66,-3815,83
82,-3863,188
67,-3965,32
81,-4048,66
66,-4199,89
67,-4524,74
67,-4689,16
74,-4267,32
72,-4134,191
32,-4253,89
68,-4271,84
32,-4330,75
70,-4447,71
75,-4211,32
70,-3592,81
71,-3493,66
74,-3373,82
71,-3272,67
32,-3205,81
86,-3038,66
84,-2674,67
186,-2635,67
69,-2656,74
86,-2708,72
32,-2555,32
67,-2566,68
32,-2667,32
84,-2734,70
78,-2794,75
67,-2826,70
84,-2848,71
86,-2937,74
68,-3079,71
32,-3194,32
70,-4316,86
68,-4290,84
74,-4369,186
219,-4705,69
83,-4819,86
188,-5153,32
16,-5198,67
32,-5173,32
83,-5068,84
76,-5094,78
70,-5310,67
67,-5256,84
74,-5275,86
32,-5268,68
90,-5101,32
86,-4017,70
84,-4045,68
72,-3978,74
68,-3602,219
32,-3466,83
74,-3021,188
68,-3150,16
32,-2975,32
57,-4474,83
53,-4762,76
54,-4767,70
49,-4970,67
32,-5598,74
90,-5995,32
72,-6100,90
188,-6022,86
70,-5942,84
82,-6023,72
84,-6170,68
8,-6581,32
89,-7151,74
76,-7223,68
32,-7672,32
52,-6331,57
32,-6275,53
191,-6429,54
48,-8119,49
16,-7679,32
90,-7287,90
70,-7229,72
88,-7317,188
84,-7464,70
89,-7641,82
16,-7652,84
32,-7279,8
83,-6764,89
75,-6857,76
66,-6520,32
89,-6192,52
70,-6894,32
76,-6538,191
16,-4635,48
32,-4863,16
70,-5582,90
78,-5433,70
70,-5342,88
72,-5257,84
188,-5188,16
57,-5551,89
16,-5273,32
32,-5235,83
39,-6740,75
39,-6582,66
39,-6536,89
39,-5512,70
39,-5464,16
39,-5461,76
39,-5066,32
39,-3758,70
39,-3675,78
39,-4096,70
66,-4368,72
16,-4434,188
8,-4163,16
39,-5117,57
8,-4942,32
37,-3652,39
37,-3468,39
37,-2442,66
37,-2603,16
37,-2404,8
37,-1553,39
37,-1516,8
37,-1254,37
37,-1238,37
37,-1250,37
37,-1312,37
90,-2476,37
70,-2554,37
88,-2608,37
84,-2992,37
89,-3077,37
16,-3142,37
32,-3463,37
70,-2383,90
89,-2200,70
70,-2091,88
68,-1742,84
66,-1772,89
90,-1919,16
32,-1498,32
70,-1402,70
82,-1482,89
66,-1585,70
89,-1531,68
68,-1417,66
74,-1523,90
82,-1169,32
75,-1062,70
74,-1049,82
71,-916,66
32,-1009,89
70,-1133,68
80,-1171,74
32,-1508,82
186,-2923,75
8,-2940,74
76,-3572,71
69,-3507,32
86,-3505,70
70,-3548,80
80,-3235,32
32,-2006,186
8,-2279,8
8,-1833,76
8,-1978,69
8,-1794,86
8,-1617,70
8,-1509,80
8,-1240,32
8,-1206,8
70,-1583,8
80,-1349,8
32,-304,70
186,-380,80
69,-371,32
86,-422,186
70,-477,69
80,-355,86
70,-1100,70
75,-1153,80
73,-442,70
83,-549,75
68,-660,73
32,-995,83
85,-875,68
48,-1635,32
53,-1509,85
54,-400,48
49,-689,53
32,-957,54
84,-908,49
89,-541,32
66,-349,84
76,-419,89
84,-380,66
72,-346,76
84,-251,84
67,-381,72
32,-488,84
68,-989,67
32,-1204,32
189,-661,68
32,-854,32
90,-1283,189
70,-959,32
82,-537,90
87,-469,70
66,-570,82
89,-563,87
77,-364,66
75,-355,89
84,-472,77
86,-530,75
219,-1383,84
16,-1546,86
32,-878,219
37,-2899,16
78,-6169,32
8,-4487,37
37,-1237,78
37,-1073,8
37,-391,37
37,-382,37
37,-397,37
37,-386,37
37,-411,37
70,-2995,37
76,-2986,37
66,-1119,70
89,-1203,76
70,-544,66
71,-540,89
84,-647,70
78,-625,71
67,-477,84
16,-436,78
54,-2867,16
16,-3330,67
66,-1399,54
78,-1563,16
84,-425,66
76,-528,78
16,-672,84
13,-2417,16
191,-12969,76
74,-11210,13
82,-891,191
86,-604,74
74,-510,82
67,-592,86
16,-618,74
8,-505,67
8,-659,16
74,-935,8
67,-891,8
32,-492,74
83,-601,67
89,-441,32
89,-353,83
70,-454,89
16,-562,89
32,-631,70
81,-1485,16
84,-1207,32
73,-507,81
68,-320,84
84,-380,73
75,-420,68
74,-306,84
188,-458,75
32,-527,74
77,-854,188
78,-754,32
72,-452,77
84,-373,78
86,-363,72
67,-417,84
32,-488,86
74,-1505,67
75,-1434,32
66,-400,74
72,-407,75
74,-483,66
82,-405,72
67,-371,74
8,-585,82
87,-1081,67
69,-770,8
32,-289,69
84,-469,87
66,-455,32
89,-392,84
84,-515,66
76,-565,89
70,-339,84
71,-347,76
70,-466,70
89,-438,71
32,-454,70
74,-470,89
78,-430,32
222,-378,74
32,-349,78
191,-422,222
16,-349,32
74,-2217,191
89,-2308,16
186,-425,74
8,-1123,89
8,-1182,186
74,-761,8
186,-792,8
8,-642,74
8,-880,186
8,-733,8
74,-1312,8
186,-1560,8
89,-606,74
74,-388,186
86,-423,89
80,-375,74
74,-512,86
68,-453,80
16,-617,74
32,-883,68
191,-1422,16
16,-1463,32
69,-1386,191
76,-852,16
90,-421,69
72,-616,76
188,-586,90
74,-432,72
32,-435,188
69,-390,74
86,-457,32
74,-434,69
82,-340,86
67,-382,74
84,-477,82
88,-546,67
66,-541,84
75,-418,88
74,-338,66
78,-450,75
70,-370,74
82,-377,78
32,-469,70
74,-451,82
71,-319,32
32,-367,74
81,-510,71
84,-556,32
89,-448,81
32,-290,84
70,-362,89
89,-351,32
32,-397,70
90,-966,89
67,-902,32
75,-449,90
66,-334,67
89,-349,75
84,-375,66
186,-385,89
32,-668,84
66,-806,186
32,-604,32
75,-583,66
70,-453,32
72,-374,75
82,-871,70
83,-932,72
68,-488,82
32,-615,83
48,-1769,68
16,-1533,32
8,-555,16
48,-1362,48
191,-1168,8
16,-467,48
86,-985,16
83,-1233,191
68,-499,86
74,-397,83
72,-416,68
70,-388,74
86,-364,72
74,-714,70
78,-705,86
67,-737,74
74,-790,78
82,-638,67
16,-558,74
32,-568,82
86,-784,16
74,-424,32
82,-279,86
66,-360,74
72,-485,82
74,-454,66
78,-445,72
67,-323,74
66,-371,78
32,-481,67
86,-435,66
83,-492,32
86,-534,86
66,-544,83
76,-423,86
74,-1008,66
68,-1048,76
66,-338,74
72,-399,68
71,-333,66
32,-484,72
86,-1035,71
90,-1003,32
66,-563,86
89,-444,90
84,-374,66
76,-337,89
84,-269,84
68,-388,76
67,-486,84
32,-499,68
8,-402,67
8,-362,32
68,-595,8
67,-693,8
74,-669,68
71,-495,67
57,-2540,74
16,-2603,71
32,-437,16
74,-956,57
75,-790,32
66,-734,74
89,-699,75
70,-353,66
76,-450,89
16,-463,70
32,-667,76
48,-4416,16
16,-4247,32
74,-1589,48
85,-1757,16
