timedelta,down,up
953423,188,70
953082,16,20
952960,190,32
952443,72,77
952432,71,75
953849,70,222
954997,89,66
954445,57,72
954985,16,188
952646,32,70
952545,66,85
952597,78,20
952736,67,32
952826,74,65
953265,89,74
953049,77,78
953072,75,67
953388,70,66
953253,78,72
953298,89,82
953024,66,20
-7168,86,188
-6592,66,190
-6040,78,72
-6389,89,71
-6525,84,70
-6659,67,89
-6277,32,16
-6389,86,57
-5613,74,32
-5400,78,66
-5590,192,78
-5624,75,67
-5849,8,74
-6153,32,89
-5984,70,77
-5984,89,75
-6457,32,70
-6355,67,78
-6435,32,89
-6175,74,66
-6209,89,86
-6050,32,66
-6120,188,78
-5749,16,89
-5771,219,84
-7176,83,67
-7476,89,32
-7650,77,86
-5961,75,74
-5995,84,78
-5827,78,192
-5771,90,75
-5737,70,8
-5568,188,32
-5647,74,70
-5849,32,89
-5298,189,32
-5366,32,67
-6479,84,32
-6491,78,74
-6952,84,89
-6917,76,32
-6974,32,16
-9495,82,188
-9213,74,219
-7660,78,83
-8488,8,89
-8639,8,77
-9482,8,75
-10426,69,84
-10765,74,78
-10697,78,90
-10856,222,70
-11148,69,188
-11586,78,74
-11452,70,32
-11463,78,189
-11440,67,32
-10417,32,84
-10314,74,78
-9932,82,84
-9911,77,76
-9910,75,32
-7446,74,82
-7425,82,74
-7514,67,78
-6379,84,8
-6040,89,8
-5467,32,8
-5140,75,69
-5309,90,74
-5511,70,78
-5073,68,222
-4769,80,69
-4274,66,78
-4544,32,70
-4544,89,78
-4589,74,67
-4443,32,32
-4533,192,74
-4994,84,82
-5096,89,77
-6142,32,75
-6097,90,74
-6141,75,82
-6771,76,67
-6552,20,84
-6626,32,89
-6525,190,32
-6040,72,75
-6378,69,90
-6816,76,70
-7131,70,68
-7086,71,80
-7075,86,66
-7458,74,32
-7514,71,89
-7533,20,74
-7525,32,32
-7537,84,192
-7132,76,84
-7481,32,89
-7402,83,32
-7953,80,90
-8335,66,75
-8116,82,20
-7975,72,76
-7852,70,32
-7773,86,190
-9371,32,72
-8538,86,69
-7920,74,76
-7649,68,70
-7672,78,71
-7672,67,86
-7076,77,74
-7065,75,71
-7172,84,20
-6974,78,32
-6997,66,84
-6850,68,76
-6547,74,32
-5658,72,83
-5084,82,80
-5287,74,66
-5264,71,82
-5072,32,72
-5118,90,70
-5129,67,86
-3397,75,32
-3543,70,86
-3442,68,74
-3542,74,68
-3791,80,78
-3892,77,67
-3869,75,77
-4645,74,75
-4612,71,84
-4612,32,78
-4544,77,66
-4634,75,68
-4713,70,74
-4826,85,72
-4860,66,82
-4341,71,74
-4317,20,71
-4353,32,32
-4847,68,90
-5522,74,67
-5545,76,75
-5377,74,70
-5455,85,68
-5635,32,74
-5912,219,80
-6220,189,77
-6265,48,75
-5534,53,74
-7053,55,71
-7109,49,32
-7683,32,77
-7559,84,75
-9034,66,70
-8897,89,85
-9270,84,66
-9422,88,20
-9652,84,71
-9539,78,32
-9061,32,68
-8538,68,74
-8343,20,76
-8561,13,74
-8932,13,85
-8965,190,32
-8999,190,219
-8775,68,189
-9539,77,48
-9539,75,53
-8391,84,55
-8830,188,49
-8578,20,32
-9854,32,84
-8842,84,66
-8954,8,89
-8718,89,84
-8493,87,88
-8999,8,84
-9010,8,78
-9179,89,32
-9258,69,68
-10221,72,20
-10023,74,13
-9573,68,13
-9393,76,190
-9606,32,190
-9495,74,68
-8673,68,77
-8865,32,75
-8481,70,84
-9199,89,20
-9336,84,188
-7603,79,32
-7503,84,84
-7503,86,8
-7425,74,89
-7492,71,87
-7042,32,8
-7109,90,8
-7131,70,89
-7062,85,69
-6141,69,72
-6423,72,74
-6501,76,68
-6434,32,76
-5636,70,32
-5680,32,74
-5657,188,68
-5771,16,32
-7334,67,70
-6198,86,89
-6705,81,84
-6738,84,79
-6400,72,84
-6217,20,86
-6164,32,74
-6176,68,71
-7345,32,32
-7267,70,90
-7029,8,70
-7256,66,85
-7256,89,69
-6894,84,72
-7413,75,76
-7300,68,32
-7390,70,70
-7323,72,32
-7458,71,16
-7886,78,188
-5881,74,67
-6220,32,86
-5681,70,81
-5624,89,84
-5733,76,20
-5871,74,72
-7031,32,32
-7053,219,68
-5636,83,32
-8324,72,70
-8448,74,8
-8133,78,66
-8280,74,89
-8212,82,84
-7930,32,75
-7953,80,68
-7897,66,70
-8042,32,72
-8019,188,71
-7605,16,78
-7852,17,74
-8672,86,32
-8717,88,70
-9548,20,89
-9776,17,76
-9944,32,74
-8752,70,32
-8658,82,219
-8831,66,83
-6130,68,72
-6287,74,74
-6367,76,78
-6535,190,74
-6704,75,82
-6408,20,32
-6868,32,80
-6783,66,66
-7098,69,32
-7379,78,16
-7602,70,188
-7243,78,17
-6093,67,20
-6107,32,86
-6130,84,88
-4826,68,17
-4510,76,32
-4724,32,70
-4769,66,82
-5186,32,66
-5950,68,68
-7244,74,74
-7285,76,76
-7075,66,190
-6970,75,20
-7188,70,75
-6648,68,32
-6851,89,66
-6434,66,69
-6127,20,78
-8515,32,70
-9854,66,78
-9910,68,67
-10472,82,32
-10822,72,84
-10878,84,68
-10957,87,76
-10979,32,32
-11091,90,66
-10395,75,32
-9629,76,68
-8211,32,74
-8437,83,76
-8730,89,66
-8842,89,75
-8954,74,70
-8999,76,68
-8909,70,89
-8972,86,20
-9106,20,66
-7751,32,32
-6490,84,66
-6535,66,68
-5860,89,82
-5636,90,72
-5703,70,84
-5501,68,87
-5355,80,32
-5399,66,90
-8841,32,75
-9044,83,76
-8954,89,32
-8808,89,83
-8257,84,89
-8268,89,89
-8144,75,74
-8178,74,76
-7964,71,70
-7908,67,86
-8027,8,20
-6986,86,32
-6940,66,84
-8291,32,66
-8302,66,89
-8212,75,90
-7998,83,70
-8223,188,68
-8594,32,80
-8549,86,66
-5162,66,32
-5287,32,83
-6299,69,89
-6231,89,89
-6547,66,84
-6614,76,89
-6682,74,75
-6614,72,74
-6693,32,71
-6580,70,67
-6535,89,8
-6388,32,86
-6592,90,66
-5455,75,32
-5872,70,66
-5939,85,75
-6569,66,83
-6636,71,188
-6138,20,32
-6220,32,86
-6186,66,66
-7492,66,32
-6423,89,69
-6446,84,89
-6219,79,66
-6333,70,76
-6231,72,74
-6232,68,72
-6513,80,32
-6659,74,70
-6817,68,89
-7503,32,32
-7255,74,90
-7210,71,75
-6892,20,70
-7267,32,85
-6693,190,66
-7315,66,20
-7340,66,71
-7379,75,32
-7616,70,66
-6119,78,66
-6249,66,89
-6081,20,84
-6569,32,79
-6356,68,70
-6401,32,72
-6445,90,68
-6108,86,80
-5995,84,74
-5849,72,68
-5039,68,32
-5601,32,74
-5547,84,71
-5736,74,20
-5265,72,32
-5141,74,190
-4263,78,66
-4405,74,66
-4106,82,75
-4443,8,70
-4521,8,78
-4495,8,20
-4611,8,66
-5297,75,32
-5343,74,68
-5227,82,32
-5455,67,90
-5579,84,86
-5546,89,84
-6175,32,72
-6175,75,68
-5692,66,32
-6119,186,84
-6749,32,74
-6558,86,72
-6659,74,74
-6569,78,78
-6524,74,74
-6524,71,82
-6063,32,8
-5939,188,8
-6266,16,8
-6569,70,8
-5657,89,75
-6074,70,74
-6479,69,82
-7795,86,67
-7851,84,84
-8178,75,89
-7589,20,32
-7762,32,75
-7682,66,66
-7975,32,186
-7357,70,32
-7435,89,86
-7537,84,74
-7718,72,78
-7852,72,74
-7976,74,71
-8088,75,32
-8202,75,16
-8448,84,188
-8178,75,70
-7971,20,89
-9561,32,70
-9100,86,69
-7806,74,86
-7491,68,84
-7498,78,20
-7588,67,75
-7593,76,32
-7710,74,66
-6873,68,32
-6918,74,70
-6851,82,89
-6715,69,84
-6704,72,72
-7031,32,72
-6997,76,74
-7086,74,75
-7008,71,75
