down,timedelta,up
87,598624,70
78,598503,16
74,-529,87
32,-654,78
74,-776,74
71,-569,32
32,-610,74
90,-2073,71
76,-1860,32
90,-415,90
76,-608,76
16,-658,90
32,-636,76
191,-1136,16
70,-2592,32
75,-2213,191
70,-393,70
188,-518,75
66,-709,70
89,-736,188
89,-491,66
70,-563,89
85,-735,89
16,-512,70
32,-698,16
70,-1710,85
82,-1342,32
88,-564,70
69,-759,82
89,-821,88
68,-497,69
32,-687,89
191,-1125,68
16,-818,32
48,-1628,16
16,-1683,191
54,-692,16
51,-852,48
56,-1043,54
49,-1109,51
32,-714,56
189,-654,49
32,-494,32
53,-2691,189
55,-2772,32
55,-580,53
49,-556,55
57,-926,55
16,-823,49
32,-618,16
70,-2082,57
89,-1828,32
68,-493,70
74,-457,89
71,-621,68
66,-786,74
67,-567,71
74,-667,66
16,-657,67
32,-550,74
70,-1297,16
76,-1007,32
186,-488,70
84,-638,76
76,-566,186
70,-695,84
89,-934,76
16,-708,70
32,-589,16
189,-973,89
32,-922,32
70,-1256,189
89,-1810,32
66,-1383,70
82,-558,89
73,-520,66
69,-591,82
71,-773,73
16,-675,69
32,-477,71
77,-1218,16
78,-986,32
70,-693,77
86,-784,78
16,-466,70
32,-2297,86
191,-2745,16
77,-3336,32
75,-3122,191
84,-469,77
78,-451,75
66,-451,84
188,-530,78
190,-571,66
75,-610,188
189,-1187,190
78,-1432,75
222,-1083,189
74,-1004,78
71,-637,222
32,-426,74
66,-413,71
32,-377,32
68,-1853,66
74,-4424,32
75,-3060,68
67,-648,74
74,-575,75
72,-467,67
78,-565,74
67,-517,72
74,-405,78
32,-2542,67
81,-2573,74
66,-605,32
82,-573,81
8,-1128,66
8,-1086,82
8,-399,8
8,-408,8
8,-398,8
32,-882,8
81,-1444,8
66,-896,32
82,-580,81
68,-660,66
67,-839,82
78,-851,68
84,-1753,67
68,-2032,78
67,-899,84
32,-599,68
191,-516,67
16,-467,32
8,-902,16
32,-2708,191
48,-2333,8
16,-607,32
56,-1278,16
52,-1412,48
56,-683,56
49,-1051,52
32,-1935,56
189,-2294,49
32,-1148,32
48,-734,189
55,-1005,32
55,-591,48
49,-756,55
57,-4539,55
16,-4104,49
8,-770,16
56,-1628,57
16,-1148,8
32,-547,16
89,-844,56
66,-876,32
82,-681,89
73,-602,66
69,-599,82
71,-762,73
16,-724,69
32,-561,71
88,-1235,16
66,-1354,32
68,-887,88
74,-482,66
68,-398,68
77,-571,74
75,-897,68
16,-754,77
32,-560,16
81,-1086,75
84,-1106,32
85,-760,81
72,-642,84
84,-831,85
67,-775,72
16,-597,84
32,-1294,16
189,-1466,67
32,-454,32
87,-802,189
84,-1111,32
78,-863,87
74,-667,84
16,-574,78
32,-2089,74
191,-2411,16
89,-941,32
70,-779,191
78,-441,89
66,-526,70
71,-610,78
70,-568,66
82,-636,71
32,-782,70
66,-1294,82
66,-1126,32
76,-581,66
72,-781,66
70,-830,76
68,-597,72
85,-560,70
32,-856,68
191,-1440,85
16,-1049,32
82,-717,16
66,-902,191
89,-482,82
68,-447,66
74,-702,89
82,-688,68
75,-463,74
74,-572,82
71,-536,75
32,-497,74
66,-1126,71
66,-1082,32
72,-567,66
84,-523,66
75,-410,72
75,-370,84
66,-512,75
78,-496,75
72,-560,66
70,-696,78
16,-1607,72
32,-1586,70
189,-1044,16
32,-1912,32
88,-2360,189
66,-1556,32
68,-809,88
74,-475,66
72,-399,68
76,-573,74
89,-845,72
70,-827,76
67,-574,89
82,-707,70
84,-1257,67
75,-1070,82
70,-818,84
16,-711,75
32,-559,70
68,-1214,16
84,-1063,32
75,-705,68
16,-556,84
32,-766,16
69,-1671,75
87,-1372,32
78,-649,69
74,-530,87
32,-712,78
74,-791,74
71,-565,32
32,-435,74
76,-568,71
84,-747,32
76,-849,76
16,-597,84
32,-2853,16
70,-5707,76
8,-3477,32
191,-5898,70
86,-5694,8
74,-747,191
75,-536,86
70,-517,74
72,-600,75
84,-481,70
89,-375,72
84,-362,84
85,-413,89
32,-608,84
66,-565,85
32,-1098,32
86,-1133,66
74,-533,32
72,-500,86
84,-430,74
89,-403,72
8,-776,84
84,-1309,89
84,-1115,8
186,-532,84
89,-692,84
66,-787,186
32,-606,89
86,-594,66
83,-793,32
89,-745,86
89,-500,83
84,-446,89
74,-506,89
68,-488,84
32,-859,74
86,-1851,68
74,-1785,32
78,-767,86
74,-425,74
71,-419,78
32,-660,74
70,-624,71
32,-424,32
191,-639,70
16,-481,32
74,-1037,16
85,-1249,191
74,-546,74
68,-497,85
72,-446,74
84,-724,68
71,-781,72
16,-414,84
32,-533,71
70,-673,16
72,-440,32
78,-530,70
84,-790,72
71,-802,78
16,-398,84
32,-1416,16
86,-1681,71
74,-561,32
82,-469,86
66,-594,74
89,-759,82
89,-580,66
70,-466,89
78,-438,89
66,-486,70
71,-556,78
67,-511,66
74,-488,71
68,-499,67
8,-955,74
8,-937,68
74,-842,8
71,-857,8
32,-487,74
66,-433,71
32,-419,32
81,-1289,66
74,-1463,32
85,-660,81
69,-802,74
75,-746,85
67,-498,69
32,-440,75
74,-545,67
85,-579,32
84,-461,74
73,-420,85
68,-633,84
70,-833,73
78,-700,68
67,-468,70
32,-467,78
191,-605,67
16,-516,32
70,-1013,191
75,-1151,16
70,-442,70
188,-579,75
66,-907,70
89,-790,188
89,-447,66
70,-609,89
85,-830,89
16,-616,70
32,-567,16
70,-1646,85
88,-1577,32
66,-1116,70
68,-1022,88
74,-490,66
72,-359,68
8,-887,74
78,-1702,72
78,-1172,8
84,-702,78
71,-760,78
16,-462,84
32,-680,16
70,-809,71
86,-411,32
70,-414,70
72,-461,86
188,-603,70
70,-999,72
16,-903,188
32,-705,16
66,-1403,70
87,-1199,32
89,-634,66
70,-522,87
82,-535,89
66,-730,70
72,-610,82
65,-648,66
70,-969,72
32,-1833,65
189,-1791,70
32,-737,32
66,-666,189
72,-783,32
84,-563,66
78,-447,72
70,-435,84
86,-526,78
32,-600,70
74,-634,86
71,-551,32
32,-648,74
70,-1363,71
76,-1250,32
84,-542,70
76,-390,76
70,-568,84
72,-637,76
71,-376,70
32,-698,72
74,-954,71
85,-904,32
84,-657,74
74,-479,85
68,-485,84
67,-502,74
32,-583,68
69,-1689,67
80,-1801,32
70,-650,69
72,-467,80
188,-525,70
74,-676,72
32,-819,188
82,-680,74
32,-457,32
66,-433,82
32,-424,32
84,-2600,66
86,-2855,32
8,-1160,84
8,-928,86
86,-2636,8
89,-5032,8
48,-4672,86
16,-2153,89
84,-729,16
72,-1017,48
74,-689,84
65,-647,72
32,-1592,74
81,-1483,65
74,-540,32
89,-571,81
84,-799,74
68,-664,89
78,-400,84
67,-410,68
84,-658,78
186,-689,67
74,-1277,84
76,-1448,186
69,-814,74
219,-669,76
32,-1020,69
68,-1010,219
8,-804,32
8,-801,68
32,-2726,8
66,-2705,8
32,-459,32
84,-446,66
75,-541,32
67,-644,84
66,-498,75
88,-423,67
32,-509,66
86,-548,88
74,-421,32
78,-327,86
32,-476,74
68,-660,78
57,-887,32
16,-801,68
32,-571,16
90,-1630,57
67,-1319,32
75,-716,90
70,-826,67
79,-570,75
70,-1278,70
72,-1288,79
188,-586,70
74,-688,72
32,-747,188
89,-596,74
74,-422,32
32,-1181,89
80,-1569,74
70,-916,32
72,-461,80
32,-502,70
84,-629,72
89,-610,32
16,-375,84
86,-6524,16
78,-8730,89
8,-2832,86
32,-3364,78
191,-3420,8
50,-1217,32
16,-766,191
74,-603,16
85,-718,50
74,-499,74
66,-750,85
89,-709,74
74,-569,66
85,-673,89
50,-806,74
16,-627,85
32,-765,16
66,-895,50
32,-605,32
81,-1226,66
84,-1505,32
75,-744,81
84,-358,84
77,-369,75
66,-831,84
68,-1120,77
70,-828,66
72,-642,68
71,-425,70
32,-1258,72
66,-1508,71
78,-671,32
67,-486,66
74,-409,78
89,-551,67
89,-541,74
74,-575,89
75,-534,89
82,-527,74
67,-781,75
74,-679,82
85,-554,67
70,-518,74
75,-445,85
188,-618,70
32,-801,75
74,-1162,188
85,-1262,32
84,-719,74
73,-438,85
68,-681,84
70,-847,73
82,-754,68
67,-736,70
66,-788,82
89,-768,67
67,-555,66
32,-2443,89
84,-2576,67
89,-546,32
32,-553,84
74,-621,89
89,-649,32
32,-714,74
191,-694,89
16,-466,32
69,-1429,16
68,-1848,191
78,-652,69
67,-412,68
84,-507,78
88,-774,67
84,-1047,84
78,-1026,88
74,-872,84
32,-768,78
74,-1696,74
85,-1591,32
84,-498,74
73,-424,85
68,-665,84
66,-950,73
186,-718,68
69,-630,66
75,-729,186
67,-480,69
32,-474,75
74,-636,67
89,-690,32
78,-678,74
67,-732,89
84,-566,78
88,-399,67
32,-909,84
191,-1249,88
16,-662,32
70,-676,16
76,-798,191
74,-594,70
72,-535,76
32,-1895,74
74,-2112,72
85,-598,32
84,-438,74
89,-353,85
68,-447,84
8,-969,89
8,-1005,68
8,-463,8
8,-412,8
74,-779,8
85,-813,8
84,-487,74
89,-493,85
84,-787,84
72,-713,89
76,-501,84
32,-704,72
191,-707,76
16,-509,32
50,-3049,16
16,-3145,191
66,-568,16
66,-679,50
78,-492,66
70,-643,66
72,-552,78
82,-442,70
74,-609,72
78,-509,82
67,-358,74
66,-643,78
72,-680,67
70,-415,66
50,-941,72
16,-899,70
32,-983,16
81,-1046,50
74,-411,32
89,-576,81
89,-566,74
66,-512,89
78,-537,89
67,-587,66
66,-558,78
32,-2957,67
87,-3161,66
84,-1126,32
80,-1103,87
70,-621,84
72,-448,80
188,-552,70
74,-666,72
32,-894,188
219,-2591,74
70,-2407,32
82,-781,219
76,-659,70
84,-529,82
72,-498,76
71,-425,84
32,-448,72
219,-758,71
66,-934,32
74,-672,219
68,-457,66
67,-701,74
32,-694,68
68,-484,67
32,-413,32
75,-523,68
84,-528,32
76,-429,75
66,-670,84
68,-664,76
32,-521,66
89,-580,68
74,-444,32
32,-2854,89
191,-2987,74
16,-447,32
84,-756,16
80,-998,191
74,-750,84
72,-559,80
71,-340,74
32,-488,72
66,-527,71
32,-3000,32
219,-3300,66
70,-763,32
219,-343,219
66,-575,70
78,-593,219
8,-738,66
8,-755,78
66,-878,8
66,-1715,8
67,-1241,66
32,-460,66
68,-432,67
32,-386,32
81,-1514,68
74,-1629,32
89,-749,81
68,-648,74
74,-459,89
75,-501,68
67,-520,74
74,-532,75
76,-608,67
74,-699,74
72,-743,76
32,-1709,74
81,-1630,72
84,-911,32
74,-856,81
68,-432,84
67,-613,74
32,-711,68
74,-613,67
32,-641,32
75,-670,74
8,-1026,32
8,-886,75
74,-1224,8
32,-1517,8
70,-1816,74
67,-1476,32
66,-556,70
71,-639,67
32,-1768,66
74,-1905,71
89,-682,32
78,-660,74
70,-567,89
72,-457,78
82,-646,70
74,-823,72
89,-602,82
76,-604,74
74,-712,89
84,-558,76
89,-434,74
32,-567,84
89,-1219,89
66,-1284,32
82,-587,89
73,-536,66
69,-753,82
71,-892,73
16,-528,69
32,-1908,16
191,-2144,71
84,-789,32
73,-601,191
78,-638,84
70,-950,73
72,-907,78
16,-583,70
32,-2065,72
50,-2671,16
16,-819,32
69,-750,16
89,-909,50
78,-739,69
67,-943,89
84,-753,78
88,-507,67
32,-546,84
69,-656,88
186,-496,32
69,-418,69
86,-716,186
50,-1482,69
16,-1197,86
32,-808,16
82,-868,50
32,-412,32
84,-1785,82
76,-1778,32
89,-792,84
84,-801,76
85,-385,89
84,-362,84
75,-446,85
32,-2021,84
81,-2226,75
74,-591,32
82,-858,81
67,-939,74
84,-447,82
88,-436,67
66,-1613,84
85,-2009,88
74,-1008,66
75,-649,85
70,-524,74
84,-798,75
89,-703,70
84,-350,84
85,-357,89
32,-539,84
74,-649,85
71,-516,32
32,-2601,74
74,-3043,71
85,-1005,32
