down,up,timedelta
78,76,604577
16,32,605841
32,189,605792
90,32,605033
66,74,605224
89,68,605209
70,74,605264
68,89,605311
74,70,605324
80,89,605312
70,74,605440
72,82,605858
188,16,606157
74,84,-2717
32,78,-3209
74,16,-3274
85,32,-3162
74,90,-2399
89,66,-2361
77,89,-2424
75,70,-2450
70,68,-2456
8,74,-2471
66,80,-2704
71,70,-2798
66,72,-2812
8,188,-2703
8,74,-2676
8,32,-2143
8,74,-2201
75,85,-2420
70,74,-2393
66,89,-2424
71,77,-2378
87,75,-2526
66,70,-2582
89,8,-2635
69,66,-2331
86,71,-2409
32,66,-2796
70,8,-3498
72,8,-3433
78,8,-3394
89,8,-3414
84,75,-3178
87,70,-3235
32,66,-3263
74,71,-3199
76,87,-3192
32,66,-3821
191,89,-3701
16,69,-3828
86,86,-4008
82,32,-3629
32,70,-3036
51,72,-3160
55,78,-3427
32,89,-4210
189,84,-4272
32,87,-4229
70,32,-5767
85,74,-5780
190,76,-5782
78,32,-5137
67,191,-5173
69,16,-5349
16,86,-4888
32,82,-8753
74,32,-8646
85,51,-8583
74,55,-8345
66,32,-7551
82,189,-7636
75,32,-7526
84,70,-5962
68,85,-6031
16,190,-5903
32,78,-5888
70,67,-6698
72,69,-6554
78,16,-6638
89,32,-2708
84,74,-2724
87,85,-2715
32,74,-4415
74,66,-4355
85,82,-4348
74,75,-4584
89,84,-4676
89,68,-4664
74,16,-6218
81,32,-6207
70,70,-5425
72,72,-5515
32,78,-5509
74,89,-5427
76,84,-5507
32,87,-5665
84,32,-5145
85,74,-5245
74,85,-5665
72,74,-5499
74,89,-5463
76,89,-5454
74,74,-4515
78,81,-4482
68,70,-4319
70,72,-4362
32,32,-4405
74,74,-4426
71,76,-4336
32,32,-4127
84,84,-2861
66,85,-2851
89,74,-2354
90,72,-2306
74,74,-2235
78,76,-2183
67,74,-1963
67,78,-1935
70,68,-2107
72,70,-2101
16,32,-2040
13,74,-2396
191,71,-2795
78,32,-2994
84,84,-3032
68,66,-3074
74,89,-3111
67,90,-3066
77,74,-3124
75,78,-3004
84,67,-2729
67,67,-2758
32,70,-3393
81,72,-3415
66,16,-3602
82,13,-3238
67,191,-2907
72,78,-2680
74,84,-2730
85,68,-2670
74,74,-2754
75,67,-2717
71,77,-2746
84,75,-2948
78,84,-3133
16,67,-3056
32,32,-2411
68,81,-2336
32,66,-2726
189,82,-2675
32,67,-2692
90,72,-2951
66,74,-3038
89,85,-2966
84,74,-2908
75,75,-2967
84,71,-2885
76,84,-2722
32,78,-3153
74,16,-3217
85,32,-3135
74,68,-3170
89,32,-2705
77,189,-2821
75,32,-2700
70,90,-2506
66,66,-2456
72,89,-2447
74,84,-2473
78,75,-2524
66,84,-3196
72,76,-3181
72,32,-2653
84,74,-2703
78,85,-2632
32,74,-3046
74,89,-4036
85,77,-3997
74,75,-4111
89,70,-4138
68,66,-4179
66,72,-4515
78,74,-4634
70,78,-4652
72,66,-3926
78,72,-3942
67,72,-3882
66,84,-4027
89,78,-4046
66,32,-3559
86,74,-2549
8,85,-2548
89,74,-3258
76,89,-3411
70,68,-3398
32,66,-3633
90,78,-3607
66,70,-3670
89,72,-3748
84,78,-3714
72,67,-3836
80,66,-3724
32,89,-3852
66,66,-3856
82,86,-3878
88,8,-3882
74,89,-3079
78,76,-2972
8,70,-2879
74,32,-2514
32,90,-2594
67,66,-2443
32,89,-4476
90,84,-5153
66,72,-5140
89,80,-5041
84,32,-5021
75,66,-4979
84,82,-4920
67,88,-4929
74,74,-4999
71,78,-4959
32,8,-5818
74,74,-5612
85,32,-5434
74,67,-5554
82,32,-3507
67,90,-3322
77,66,-3266
75,89,-3263
84,84,-3159
67,75,-3243
32,84,-4326
74,67,-4260
85,74,-4248
74,71,-4344
82,32,-3421
67,74,-3461
72,85,-3464
74,74,-3438
85,82,-3474
74,67,-3139
75,77,-3070
71,75,-3106
8,84,-3140
8,67,-3120
74,32,-2467
75,74,-2421
84,85,-2369
78,74,-2354
16,82,-2381
32,67,-2626
68,72,-4455
70,74,-4458
78,85,-4384
67,74,-4245
74,75,-4315
67,71,-4248
32,8,-4281
68,8,-4228
32,74,-4125
78,75,-4210
66,84,-4163
76,78,-4153
74,16,-4287
219,32,-4032
68,68,-2259
16,70,-2157
13,78,-2242
191,67,-2685
66,74,-3336
78,67,-3397
67,32,-3303
70,68,-3337
75,32,-3040
188,78,-3030
74,66,-3123
32,76,-3198
81,74,-3122
74,219,-3085
82,68,-2966
67,16,-3084
76,13,-2892
74,191,-2608
85,66,-2039
74,78,-2149
75,67,-2187
74,70,-2246
68,75,-2391
16,188,-2330
32,74,-2882
84,32,-2734
89,81,-2772
74,74,-2785
81,82,-2920
70,67,-2896
72,76,-2900
32,74,-2912
86,85,-3331
74,74,-3411
82,75,-3457
67,74,-3436
85,68,-3993
190,16,-4555
78,32,-4058
67,84,-4164
69,89,-4225
74,74,-4756
82,81,-4669
66,70,-4715
75,72,-4912
84,32,-5120
68,86,-4851
16,74,-4669
32,82,-4681
68,67,-4658
32,85,-4043
90,190,-4434
89,78,-4317
68,67,-4423
84,69,-4840
72,74,-4544
84,82,-4544
76,66,-4465
32,75,-4371
189,84,-4105
32,16,-3939
74,68,-4583
68,32,-4345
74,68,-4338
89,32,-4356
70,90,-3338
89,89,-3259
74,68,-3155
82,84,-2660
16,72,-2438
13,84,-2871
191,76,-3285
74,32,-4274
68,189,-4259
74,32,-4227
89,74,-3737
70,68,-3778
8,74,-4417
8,89,-4376
8,70,-4495
8,89,-4510
74,74,-4765
68,82,-4807
74,16,-4802
70,13,-4424
86,191,-4004
70,74,-3044
8,68,-3099
86,74,-3445
78,89,-4124
70,70,-4097
68,8,-3432
16,8,-3413
32,8,-3441
191,8,-3364
16,74,-3044
74,68,-3113
68,74,-3107
74,70,-3842
89,86,-3914
72,70,-4124
84,8,-4006
76,86,-3804
16,78,-3114
32,70,-3674
191,68,-3598
16,16,-3689
70,32,-3653
72,191,-3691
74,16,-3830
85,74,-3660
16,68,-3655
32,74,-2722
70,89,-2659
89,72,-2388
66,84,-2470
82,76,-2634
69,16,-2915
75,32,-2237
16,191,-2270
8,16,-2318
76,70,-2624
16,72,-2619
32,74,-2665
191,85,-2598
16,16,-2925
70,32,-3056
82,70,-3108
77,89,-3092
8,66,-3153
82,82,-3152
89,69,-3178
84,75,-3670
68,16,-3769
84,8,-3770
8,76,-3370
8,16,-3485
8,32,-3349
72,191,-3571
84,16,-3798
68,70,-3342
72,82,-3323
84,77,-3535
76,8,-3480
16,82,-3289
32,89,-3347
189,84,-2838
32,68,-2841
83,84,-3271
78,8,-3410
82,8,-3378
89,8,-3361
69,72,-3172
71,84,-3193
32,68,-3267
84,72,-3183
83,84,-3034
89,76,-2945
89,16,-3058
84,32,-2727
75,189,-2727
84,32,-2696
67,83,-2541
70,78,-2496
89,82,-2418
32,89,-2689
84,69,-2741
66,71,-2694
73,32,-2676
81,84,-2868
70,83,-2941
186,89,-3022
66,89,-2978
75,84,-3027
188,75,-3111
32,84,-3191
191,67,-2783
16,70,-2658
86,89,-3230
52,32,-3143
32,84,-3065
189,66,-2998
32,73,-2880
90,81,-3161
8,70,-3332
190,186,-3463
77,66,-3686
72,75,-3857
74,188,-4001
85,32,-4010
74,191,-4126
75,16,-4158
71,86,-3464
84,52,-3297
78,32,-3331
16,189,-3311
32,32,-4384
90,90,-3942
66,8,-3718
89,190,-3428
70,77,-3242
68,72,-3029
74,74,-2797
80,85,-2764
70,74,-2700
72,75,-2794
188,71,-2854
74,84,-2932
32,78,-5219
74,16,-5255
85,32,-4145
74,90,-4336
89,66,-4324
77,89,-4486
75,70,-4452
70,68,-4469
66,74,-4586
71,80,-4556
66,70,-5014
89,72,-5006
69,188,-4979
86,74,-4962
32,32,-2841
70,74,-3828
72,85,-3730
78,74,-3561
89,89,-3538
84,77,-3418
87,75,-3508
32,70,-3516
74,66,-3393
76,71,-3394
32,66,-3057
191,89,-2983
16,69,-3097
86,86,-3580
82,32,-3446
32,70,-2726
51,72,-2875
8,78,-2820
50,89,-2912
55,84,-3011
32,87,-3995
189,32,-3950
32,74,-4007
70,76,-4971
85,32,-4908
8,191,-4966
70,16,-5500
190,86,-5096
78,82,-5102
67,32,-4913
69,51,-4868
16,8,-4905
32,50,-4804
74,55,-4740
85,32,-3696
74,189,-3777
82,32,-3739
66,70,-2805
75,85,-2798
8,8,-2937
82,70,-2893
84,190,-2674
68,78,-2702
16,67,-3022
32,69,-3364
70,16,-3498
72,32,-3340
78,74,-3396
89,85,-3403
84,74,-3333
87,82,-3437
32,66,-3920
74,75,-3839
85,8,-3759
74,82,-3380
89,84,-3315
89,68,-3243
74,16,-3449
81,32,-2675
70,70,-2678
72,72,-2685
32,78,-2676
74,89,-2593
76,84,-2676
32,87,-4419
84,32,-3881
85,74,-3921
74,85,-3917
72,74,-3931
74,89,-3946
76,89,-4038
74,74,-5659
78,81,-5654
68,70,-5533
70,72,-5615
32,32,-5626
74,74,-5631
71,76,-5534
32,32,-5385
84,84,-5433
66,85,-5456
89,74,-5440
90,72,-5600
74,74,-5583
78,76,-5520
67,74,-3773
67,78,-3715
70,68,-3847
72,70,-3808
16,32,-3802
13,74,-3851
13,71,-4647
191,32,-3346
74,84,-4263
68,66,-4146
74,89,-4222
89,90,-4092
70,74,-4067
86,78,-4038
78,67,-4287
70,67,-4251
68,70,-4265
16,72,-4242
32,16,-4388
191,13,-4302
16,13,-3490
74,191,-3356
85,74,-3072
74,68,-3144
89,74,-3101
72,89,-3336
84,70,-3363
76,86,-3413
16,78,-3233
32,70,-4098
191,68,-4054
16,16,-4117
